Orthogroup	Brassica_oleracea	Capsella_rubella
OG0000000	XP_013631219.1	XP_023632598.1
OG0000000	XP_013639798.1	XP_023644510.1, XP_023644490.1
OG0000000	XP_013589383.1, XP_013589700.1, XP_013601857.1, XP_013622853.1, XP_013601345.1, XP_013632715.1, XP_013634222.1, XP_013623801.1, XP_013595032.1, XP_013589172.1, XP_013589702.1, XP_013617761.1, XP_013624139.1, XP_013600971.1, XP_013594922.1, XP_013639569.1, XP_013639421.1	XP_023637681.1
OG0000000	XP_013639528.1, XP_013623967.1, XP_013595003.1, XP_013608296.1, XP_013617205.1, XP_013594406.1, XP_013601638.1, XP_013594455.1, XP_013607556.1, XP_013624151.1, XP_013628112.1, XP_013632833.1, XP_013594838.1, XP_013624723.1, XP_013617764.1	XP_023633614.1
OG0000000	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1	XP_023634268.1, XP_023644256.1
OG0000000	XP_013624473.1, XP_013616899.1, XP_013614454.1	XP_023633451.1
OG0000000	XP_013632885.1, XP_013624410.1	XP_023638968.1
OG0000000	XP_013632878.1	XP_023632892.1
OG0000002	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1, XP_013624612.1, XP_013615241.1, XP_013624472.1, XP_013632468.1	XP_023638855.1
OG0000003	XP_013589605.1, XP_013624294.1	XP_023641338.1
OG0000003	XP_013613468.1, XP_013617596.1, XP_013617356.1, XP_013627043.1, XP_013617494.1, XP_013632789.1, XP_013601566.1, XP_013639497.1, XP_013624636.1, XP_013614100.1, XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1, XP_013639556.1, XP_013617158.1, XP_013594697.1	XP_023644456.1
OG0000004	XP_013624852.1, XP_013624387.1, XP_013633000.1	XP_023644517.1, XP_023638874.1
OG0000005	XP_013601863.1	XP_023633718.1
OG0000005	XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1	XP_023640321.1
OG0000005	XP_013633002.1, XP_013624018.1, XP_013624595.1, XP_013624390.1, XP_013601099.1, XP_013624698.1, XP_013601267.1, XP_013624493.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013617697.1, XP_013617299.1, XP_013624966.1, XP_013601292.1, XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1	XP_023639598.1
OG0000005	XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1	XP_023638126.1
OG0000005	XP_013614903.1	XP_023645768.1
OG0000005	XP_013628485.1, XP_013624301.1	XP_023636063.1
OG0000007	XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013632751.1, XP_013639708.1	XP_023640317.1
OG0000007	XP_013603784.1, XP_013635455.1	XP_023635039.1
OG0000007	XP_013601610.1, XP_013595036.1	XP_023639048.1, XP_023644546.1
OG0000007	XP_013632862.1	XP_023643663.1
OG0000007	XP_013594580.1	XP_023643356.1
OG0000007	XP_013607658.1	XP_023634292.1
OG0000008	XP_013614821.1	XP_023641963.1
OG0000008	XP_013608259.1, XP_013584735.1, XP_013639639.1	XP_023633343.1
OG0000008	XP_013639623.1, XP_013639271.1	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1
OG0000008	XP_013601615.1	XP_023638567.1
OG0000008	XP_013615550.1, XP_013624694.1	XP_023633352.1
OG0000009	XP_013616938.1	XP_023639354.1
OG0000009	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1	XP_023640352.1
OG0000009	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1	XP_006292284.1
OG0000011	XP_013617429.1	XP_023638113.1, XP_023633028.1
