Orthogroup	Rorippa_islandica	Cochlearia_excelsa
OG0000000	Roisl.0185s0067.1.p	g14627, g14949, g4309
OG0000000	Roisl.0053s0186.1.p	g34710, g46576
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	g15642
OG0000000	Roisl.0023s0049.1.p, Roisl.0214s0436.1.p, Roisl.0214s0718.1.p, Roisl.0047s0012.1.p	g14417
OG0000000	Roisl.0038s0044.1.p, Roisl.0022s0187.1.p, Roisl.0210s1364.1.p	g53018, g52608, g29057
OG0000000	Roisl.0185s0050.1.p, Roisl.0185s0025.1.p, Roisl.0006s0325.1.p, Roisl.0214s0371.1.p, Roisl.0005s0243.1.p, Roisl.0083s0016.1.p, Roisl.0037s0056.1.p	g25560, g14010, g2958, g51905, g52688, g4646, g53415, g25281, g16626
OG0000000	Roisl.0020s0052.1.p	g53079, g43739, g16627
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	g14424, g36335, g24433, g25323, g18049, g47718, g34709, g4497, g26082, g48927, g1710, g51108, g47070, g43826, g49581, g54001, g52927, g54256, g38083, g2287, g14237, g42083, g4557, g53247, g34457, g4555, g49069, g36273, g5773, g24974, g35002, g51196, g51906, g42028, g26236, g5187, g16421, g2957, g32683, g38285, g41764, g11448, g14009, g53488, g24758, g37816, g4647, g16228, g1650, g4603, g33021, g53553, g474, g53928, g43468, g31046, g45106, g24897, g34861, g52921, g13894, g26632, g16472, g53084, g17875, g36758, g23493
OG0000000	Roisl.0213s0280.1.p	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263, g30907
OG0000002	Roisl.0006s0264.1.p	g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257
OG0000002	Roisl.0012s0025.1.p	g16055, g23051, g18890, g45322
OG0000002	Roisl.0038s0052.1.p, Roisl.0184s0176.1.p	g36393, g17831
OG0000002	Roisl.0213s0015.1.p	g51104, g47320, g38468
OG0000002	Roisl.0008s0085.1.p	g39577, g40258, g23771, g52214
OG0000002	Roisl.0204s0005.1.p	g50077
OG0000002	Roisl.0188s0060.1.p, Roisl.0040s0101.1.p	g3932
OG0000002	Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p	g28791, g41750
OG0000002	Roisl.0047s0024.1.p	g3258, g32516
OG0000003	Roisl.0058s0055.1.p	g14063
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165
OG0000003	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p	g24632
OG0000003	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p	g42622
OG0000003	Roisl.0198s0065.1.p, Roisl.0179s0091.1.p, Roisl.0214s0894.1.p	g46643, g3725, g24106
OG0000004	Roisl.0022s0436.1.p	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000005	Roisl.0040s0022.1.p, Roisl.0036s0006.1.p	g41974
OG0000005	Roisl.0006s0578.1.p	g49126, g35025, g4314, g3006, g14436, g25221, g43590
OG0000005	Roisl.0046s0518.1.p	g36078
OG0000005	Roisl.0195s0004.1.p	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357
OG0000005	Roisl.0025s0107.1.p	g49196
OG0000005	Roisl.0027s0145.1.p	g15073
OG0000005	Roisl.0189s0112.1.p	g33153, g15339, g49854, g21989
