Raphanus_sativus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_018432515.1	254	AT5G63510.2	AT5G63510.2	other	GO:0010228;GO:0045271;GO:0004089;GO:0009737;GO:0009536;GO:0009651;GO:0005739;GO:0031966;GO:0005515;GO:0009853;GO:0046872	Gamma carbonic anhydrase like 1;Gamma carbonic anhydrase-like 1, mitochondrial (AtCAL1) (GAMMA CAL1)
XP_018432516.1	69	AT5G63500.1	AT5G63500.1	orthologue	GO:0016020;GO:0003674	At5g63500 (Emb|CAB62355.1) (GPI-anchored protein) (Transmembrane protein, putative (DUF 3339))
XP_018432517.1	754	AT1G12380.1	AT1G12380.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
XP_018432518.1	445	AT1G55680.1	AT1G55680.1	orthologue	GO:0003674;GO:0080008;GO:0005737;GO:0008150;GO:0005515	Transducin/WD40 repeat-like superfamily protein
XP_018432519.1	181	AT3G09980.1	AT3G09980.1	orthologue	GO:0002218;GO:0005829;GO:0008017;GO:1900426;GO:0005886;GO:0005634	Ankyrin repeat 30A-like protein (DUF662) (At3g09980)
XP_018432521.1	153	AT3G10020.1	AT3G10020.1	orthologue	GO:0005829;GO:0071456;GO:0003674;GO:0006979;GO:0005634;GO:0009061	AT3g10020/T22K18_16 (Plant/protein);Plant/protein
XP_018432522.1	804	AT2G18940.1	AT2G18940.1	orthologue	GO:0048255;GO:0003729;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At2g18940, chloroplastic
XP_018432523.1	317	AT3G05580.1	AT3G05580.1	orthologue	GO:0048768;GO:0009860;GO:0004722;GO:0005737;GO:0006470;GO:0005634;GO:0017018;GO:0005829;GO:0046872;GO:0016787	Serine/threonine-protein phosphatase (EC 3.1.3.16);Serine/threonine-protein phosphatase PP1 isozyme 9 (EC 3.1.3.16) (Type one protein phosphatase 9)
XP_018432524.1	124	AT3G05560.1	AT3G05560.1	orthologue	GO:0003735;GO:0003729;GO:0002181;GO:0005737;GO:0022625;GO:0022626;GO:0005730;GO:0005829;GO:0003723;GO:0009506;GO:0006412;GO:0005840	Large ribosomal subunit protein eL22z (60S ribosomal protein L22-2)
XP_018432525.1	501	AT3G42950.1	AT3G42950.1	orthologue	GO:0004650;GO:0009507;GO:0005975;GO:0016020;GO:0016829	AT3g42950/F18P9_110 (Pectin lyase-like superfamily protein) (Polygalacturonase-like protein)
XP_018432527.1	679	AT5G65685.5	AT5G65685.5	orthologue	GO:0062052;GO:0019252;GO:0009011;GO:0005515;GO:0009507;GO:0005739;GO:0030246;GO:0016020	starch synthase (EC 2.4.1.21)
XP_018432529.1	677	AT5G65685.5	AT5G65685.5	orthologue	GO:0062052;GO:0019252;GO:0009011;GO:0005515;GO:0009507;GO:0005739;GO:0030246;GO:0016020	starch synthase (EC 2.4.1.21)
XP_018432530.1	514	AT3G62120.1	AT3G62120.1	orthologue	GO:0017101;GO:0009506;GO:0005737;GO:0004827;GO:0006433;GO:0005829;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Proline--tRNA ligase, cytoplasmic (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS);proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)
XP_018432531.1	496	AT3G62330.1	AT3G62330.1	orthologue	GO:0005634;GO:0008270;GO:0003676;GO:0008150	At3g62330 (Zinc knuckle (CCHC-type) family protein);Zinc knuckle (CCHC-type) family protein
XP_018432533.1	188	AT5G48350.1	AT5G48350.1	orthologue	GO:0008408;GO:0005634;GO:0005737;GO:0003676;GO:0008150;GO:0008310;GO:0016740;GO:0031047;GO:1905172;GO:2000630	exoribonuclease II (EC 3.1.13.1)
XP_018432534.1	836	AT3G18370.1	AT3G18370.1	orthologue	GO:0003674;GO:0005783;GO:0006869;GO:0008289;GO:0016020	AT3g18370/MYF24_8 (C2 domain-containing protein)
XP_018432536.1	494	AT3G09880.1	AT3G09880.1	orthologue	GO:0009554;GO:0005515;GO:0000159;GO:0051177;GO:0005634;GO:0000779;GO:0005737;GO:0019888;GO:0009556;GO:0009742;GO:0007165	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform (AtB' beta) (PP2A, B' subunit, beta isoform)
XP_018432537.1	578	AT3G56550.1	AT3G56550.1	orthologue	GO:0008270;GO:0009451;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g56550
XP_018432538.1	160	AT1G55670.1	AT1G55670.1	orthologue	GO:0009773;GO:0009535;GO:0003674;GO:0030093;GO:0009534;GO:0009941;GO:0042550;GO:0009579;GO:0009780;GO:0009507;GO:0005634;GO:0050821;GO:0015979;GO:0031969;GO:0009522;GO:0016020	Photosystem I reaction center subunit V, chloroplastic (PSI-G)
XP_018432539.1	487	AT3G56480.1	AT3G56480.1	orthologue	GO:0007623;GO:0007015;GO:0003674;GO:0010119;GO:0005634;GO:0003779;GO:0005737;GO:0005856	Stomatal closure-related actin-binding protein 3
