Orthogroup	Capsella_rubella	Cardamine_amara
OG0000000	XP_023644517.1	evm.model.RL_4.710
OG0000000	XP_023632701.1	evm.model.RL_3.1962, evm.model.RL_6.1375, evm.model.RL_6.904, evm.model.RL_8.1136
OG0000000	XP_023633832.1	evm.model.RL_4.599
OG0000003	XP_023640434.1, XP_023642103.1	evm.model.RL_1.3305
OG0000003	XP_023636063.1	evm.model.RL_5.2504
OG0000003	XP_023643044.1	evm.model.RL_6.652
OG0000004	XP_023638968.1, XP_006300431.2, XP_023632892.1, XP_023635799.1	evm.model.RL_2.303
OG0000006	XP_023643663.1	evm.model.RL_1.2522
OG0000006	XP_023636902.1	evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_023640317.1	evm.model.RL_4.552
OG0000006	XP_023644546.1, XP_023639048.1, XP_023641260.1, XP_023644414.1	evm.model.RL_5.2330
OG0000007	XP_023644256.1	evm.model.RL_4.2369
OG0000007	XP_023637681.1	evm.model.RL_2.2279, evm.model.RL_4.1690, evm.model.RL_7.1569
OG0000008	XP_006305876.2, XP_023641963.1, XP_023633343.1, XP_006303816.2, XP_023644880.1, XP_023633617.1	evm.model.RL_4.1914
OG0000008	XP_023638567.1	evm.model.RL_7.1211
OG0000010	XP_023639612.1	evm.model.RL_5.2484
OG0000010	XP_023636068.1	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395
OG0000013	XP_023638853.1	evm.model.RL_6.609, evm.model.RL_4.752
OG0000013	XP_023638858.1	evm.model.RL_5.2591
OG0000013	XP_023634267.1, XP_023644229.1	evm.model.RL_6.796
OG0000014	XP_023636038.1	evm.model.RL_3.2283
OG0000015	XP_023633382.1	evm.model.RL_1.2714
OG0000017	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1	evm.model.RL_7.1888
OG0000017	XP_006279199.1	evm.model.RL_3.613
OG0000017	XP_006302668.2	evm.model.RL_2.1821, evm.model.RL_6.717
OG0000017	XP_023636109.1	evm.model.RL_7.1516
OG0000017	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1	evm.model.RL_3.2130
OG0000018	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1	evm.model.RL_6.190
OG0000018	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1	evm.model.RL_7.1872
OG0000020	XP_023634318.1	evm.model.RL_8.1178, evm.model.RL_7.1677, evm.model.RL_7.2128
OG0000023	XP_006284983.1	evm.model.RL_2.1848
OG0000023	XP_023634683.1	evm.model.RL_2.1843
OG0000023	XP_006283253.1	evm.model.RL_2.1842
OG0000023	XP_006287218.1	evm.model.RL_8.636
OG0000023	XP_006289052.2	evm.model.RL_8.624
OG0000023	XP_023635860.1	evm.model.RL_8.630
OG0000023	XP_006285954.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	XP_006286185.1	evm.model.RL_2.1841
OG0000023	XP_023634702.1	evm.model.RL_2.1826
OG0000023	XP_023634698.1	evm.model.RL_2.1827
OG0000024	XP_023638107.1	evm.model.RL_5.2480
OG0000025	XP_023634475.1	evm.model.RL_2.872
OG0000026	XP_023639056.1	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710
OG0000026	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1	evm.model.RL_7.315
OG0000027	XP_023633039.1	evm.model.RL_5.2839
OG0000028	XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1	evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1, XP_023640355.1, XP_023640390.1, XP_023635785.1, XP_023637682.1	evm.model.RL_4.1689
OG0000030	XP_023644481.1	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	XP_006301297.1	evm.model.RL_3.205
OG0000033	XP_006291260.2	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	XP_006287210.1	evm.model.RL_8.413
OG0000034	XP_023635220.1	evm.model.RL_5.2588
OG0000035	XP_023632757.1	evm.model.RL_6.1297
OG0000036	XP_023636066.1, XP_023633448.1, XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1, XP_023638869.1, XP_023636060.1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000038	XP_023633386.1	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	XP_023644219.1	evm.model.RL_5.2445, evm.model.RL_3.1691
OG0000040	XP_023644289.1	evm.model.RL_3.1121
OG0000042	XP_023640353.1	evm.model.RL_6.2221
OG0000043	XP_023637997.1	evm.model.RL_1.2849
OG0000044	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000045	XP_023635342.1	evm.model.RL_7.883, evm.model.RL_8.1002, evm.model.RL_1.930, evm.model.RL_6.267
OG0000046	XP_006290703.1, XP_023638915.1	evm.model.RL_2.391
OG0000046	XP_006286158.2	evm.model.RL_2.1379
OG0000046	XP_023638604.1, XP_023638598.1, XP_006290694.2	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	XP_023643067.1	evm.model.RL_3.1072
OG0000046	XP_023643066.1, XP_023643076.1	evm.model.RL_3.1060
OG0000046	XP_023644283.1	evm.model.RL_3.1059, evm.model.RL_3.1065
OG0000046	XP_006290268.1	evm.model.RL_2.398
OG0000052	XP_006304062.1	evm.model.RL_5.167
