Orthogroup	Euclidium_syriacum	Camelina_sativa
OG0000000	ESY2_g36604_DN3_SP0_c0.t1	XP_010413204.1, XP_010437344.1, XP_010474056.1
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	XP_010484922.1, XP_010430686.1, XP_019088171.1, XP_010418622.1, XP_019094484.1, XP_010469202.1, XP_010419000.1, XP_010431245.1
OG0000000	ESY14_g19960_DN1_SP0_c0.t1	XP_019098248.1, XP_019093248.1, XP_019092295.1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_010451318.1, XP_019089215.1, XP_010468898.1, XP_010451603.1, XP_010424741.1, XP_010495427.1, XP_010480610.1, XP_010451602.1, XP_010451170.2, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010424499.1, XP_010480911.1, XP_019089153.1, XP_019085481.1, XP_010451667.1, XP_019089100.1, XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2, XP_010450988.1, XP_010490420.1, XP_010412505.1, XP_019087469.1, XP_019092364.1, XP_010473468.1, XP_010501788.1, XP_010462995.1, XP_010445389.1, XP_010468817.1, XP_010412566.1, XP_010456779.1, XP_010495410.1, XP_010495202.1, XP_019094475.1, XP_010495711.1, XP_010496877.1, XP_010412728.1, XP_010513419.1, XP_010513400.1, XP_019087345.1, XP_010480889.1, XP_019096180.1, XP_010457030.1, XP_010420641.1, XP_019085487.1, XP_019091135.1, XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1, XP_010513476.1, XP_010484771.1, XP_010475671.1, XP_010480715.1, XP_010431341.1, XP_019092262.1, XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1, XP_010506877.1, XP_010424742.1, XP_010495565.1, XP_019096313.1, XP_010413056.1, XP_010501936.1, XP_019082648.1, XP_010445318.1, XP_019096392.1, XP_010462569.1, XP_010412811.1, XP_010495640.1, XP_019086824.1, XP_010495465.1, XP_010513345.1
OG0000003	ESY7_g19226_DN2_SP0_c46.t1	XP_019085419.1
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	XP_010489852.1
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	XP_019087435.1
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	XP_010436867.1
OG0000003	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	XP_019089103.1
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	XP_019096757.1
OG0000004	ESY3_g28075_DN1_SP0_c100.t1	XP_019095344.1, XP_019085777.1, XP_019094874.1
OG0000004	ESY15_g65683_DN1_SP0_c52.t1	XP_019088092.1
