Orthogroup	Cochlearia_excelsa	Camelina_sativa
OG0000000	g26033	XP_010445863.1
OG0000000	g33141	XP_010445376.1
OG0000000	g32763	XP_010445388.1, XP_010501566.1, XP_010507019.1, XP_019084411.1, XP_010518611.1
OG0000000	g52631, g9018, g26280, g14798	XP_019096716.1, XP_019096480.1
OG0000000	g26443, g3622, g35407, g2952, g33829, g15061, g43736	XP_010424301.1
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176	XP_010495705.2
OG0000000	g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504	XP_010462917.1, XP_010476476.1
OG0000000	g3780, g17945, g33478	XP_019091276.1, XP_019085476.1
OG0000000	g11402, g42267	XP_010508146.1, XP_010451681.1, XP_019097313.1
OG0000000	g3552	XP_019094576.1, XP_010481112.1, XP_010468397.1
OG0000000	g20497, g34087, g33029, g34395	XP_010494905.1
OG0000000	g19851, g19846, g42293, g19831, g19868, g3616	XP_010510109.2
OG0000000	g3617	XP_019100804.1
OG0000000	g26369, g53691, g29897, g17778, g52768, g3993, g34250, g49067, g39618, g21507, g33660, g48079, g36483, g14733, g38645, g35277, g16169, g53172	XP_010474081.1, XP_010506881.1, XP_010462935.1
OG0000000	g48652, g52367	XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1
OG0000000	g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287	XP_010488713.1
OG0000002	g26238, g91, g25759, g5461, g22857, g4776, g34979, g16823, g16351, g32695, g11929, g28129, g37738, g26240, g26182, g34796, g19117, g42699, g1903	XP_010484771.1, XP_010513476.1
OG0000002	g35474	XP_010423585.1, XP_010495565.1, XP_010424742.1
OG0000002	g24257, g43934	XP_010480715.1, XP_010475671.1
OG0000002	g51595, g22499, g38313, g49645	XP_019100353.1
OG0000002	g46798	XP_019090079.1
OG0000002	g28460	XP_010507127.1, XP_010513345.1
OG0000002	g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239	XP_010473468.1, XP_010501788.1, XP_010412728.1, XP_019087345.1, XP_019087469.1, XP_010513419.1, XP_010496877.1, XP_010462995.1, XP_010495202.1, XP_010495410.1, XP_010445389.1, XP_010495711.1, XP_019094475.1, XP_010412566.1, XP_010456779.1, XP_010468817.1, XP_010513400.1, XP_010480889.1, XP_010450988.1, XP_010412505.1, XP_010490420.1, XP_019092364.1
OG0000002	g40366, g51791, g33609, g22707, g54221, g17420	XP_010457030.1, XP_010420641.1
OG0000002	g33085, g52853, g12053, g57, g36475, g22753	XP_019091135.1
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	XP_019100799.1, XP_010431635.1, XP_019101801.1
OG0000002	g41750, g28791, g47542, g49137, g35212, g4894, g16051, g40258, g39577, g23771, g3932, g19116, g52852, g43884, g51104, g38468, g47320, g16056	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1
OG0000003	g36078, g35024, g42010, g53526, g35068	XP_010480943.1
OG0000003	g25223, g43589, g14824, g15574	XP_019098106.1
OG0000003	g4576, g20561, g20558	XP_010497063.1, XP_010445703.1
OG0000003	g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590	XP_010412456.1
OG0000003	g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_010468230.1
OG0000003	g50217	XP_010501919.1, XP_010419138.1
OG0000003	g12377	XP_010484739.1
OG0000003	g4552	XP_010445304.1
OG0000003	g45643	XP_019098958.1
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	XP_019086518.1, XP_019094534.1
OG0000003	g21658, g15405, g9357, g42284, g8878	XP_010451581.1
OG0000003	g35853	XP_010445897.1
OG0000003	g24932, g6068, g34187	XP_010484749.1, XP_010470568.1
OG0000003	g21727	XP_019092325.1
OG0000003	g8684	XP_010485042.1
OG0000004	g10434, g43405, g12783, g14416, g3096	XP_010474601.1, XP_019095662.1, XP_010425346.1, XP_010490159.1, XP_010419021.1
OG0000004	g31287	XP_010463143.1
OG0000004	g43468, g53079, g36758	XP_010451888.1, XP_019085420.1, XP_010431327.1, XP_010436659.1
OG0000004	g41934	XP_019089229.1, XP_010431244.1
OG0000004	g30019, g3548, g30029, g42941, g35332, g31777, g32178, g5307, g25530, g17500, g34547, g51511, g41298, g36857, g54045, g24111, g31980, g41669, g35091, g35077, g25913, g41938	XP_010412832.1
OG0000004	g3574	XP_010430888.1
OG0000004	g16471	XP_010419180.1
OG0000004	g2536, g39580	XP_010445465.1, XP_010513536.1, XP_010468748.2, XP_019101856.1, XP_010418809.1, XP_010445461.1, XP_010424753.1, XP_019094536.1, XP_010480989.1, XP_010446022.1
OG0000004	g36335	XP_019087439.1, XP_010456766.1, XP_019092328.1, XP_010424493.1
OG0000004	g53040	XP_010495441.1, XP_010495306.1, XP_010468796.1, XP_010480636.1, XP_010481232.1
OG0000005	g36068	XP_010445339.1, XP_010474119.1, XP_010419407.1, XP_019089129.1
OG0000005	g10943, g48006	XP_010462630.1
OG0000005	g22013	XP_010468460.1
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	XP_010424733.1, XP_010446224.1, XP_019101780.1, XP_019085473.1
OG0000005	g35969	XP_010445906.1
OG0000005	g53018, g11716, g40876	XP_010490225.1, XP_010431586.1
OG0000006	g52712	XP_010468811.1
OG0000006	g40546, g42738, g32471	XP_010489639.1
OG0000006	g41913, g42739	XP_010424794.1
OG0000006	g35540, g24723, g1457, g1504, g5172	XP_010451880.1
OG0000006	g24823, g23855	XP_010485068.1
OG0000006	g40547	XP_010462805.1, XP_019087471.1, XP_019096427.1, XP_010485281.1
OG0000006	g48115, g32111, g42023	XP_010478058.1, XP_010436672.1
OG0000006	g52350	XP_010421049.1
OG0000007	g18049, g47718	XP_010437344.1, XP_010474056.1, XP_010413204.1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	XP_010446064.1, XP_010518602.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_010418558.1, XP_010489824.1, XP_010495246.1, XP_019102134.1, XP_010436305.1
OG0000008	g25872	XP_010451903.1, XP_019085491.1
OG0000008	g27813	XP_010484870.1
OG0000008	g7452, g29339	XP_010412531.1, XP_010494551.1
OG0000008	g52586	XP_010484906.1
OG0000008	g25873	XP_019085490.1, XP_010451904.1
OG0000008	g34273, g35255	XP_010479356.2
OG0000008	g24450, g27833, g3220, g44274	XP_019097485.1
OG0000008	g26783	XP_010497028.1, XP_010480868.1, XP_010507052.1, XP_010445013.1, XP_010497042.1
OG0000008	g43762, g4391, g33124, g29630, g27680	XP_010462780.1
OG0000008	g26784, g43729, g37068	XP_010507012.1, XP_010423670.1, XP_019085556.1, XP_019097562.1
OG0000008	g49593	XP_019096484.1, XP_010424538.1
OG0000008	g27995	XP_010445463.1, XP_010480870.1, XP_010445485.1
OG0000008	g25554, g12608, g36094, g19408	XP_019086304.1, XP_010468434.1, XP_010496023.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1
OG0000008	g36794	XP_010451669.1
OG0000008	g11343	XP_019097389.1, XP_019092334.1
OG0000008	g33123	XP_019087202.1, XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010489748.1, XP_010424520.1, XP_010419764.1, XP_010484992.1, XP_010474114.1, XP_010445056.1, XP_010481160.1, XP_010480985.1, XP_010481083.1, XP_010424377.2, XP_010445494.1, XP_010456943.1
OG0000008	g39484	XP_019086305.1
OG0000008	g4392	XP_010456996.1
OG0000010	g48055, g21528, g3243, g30443, g48036	XP_019100932.1, XP_010495824.1
OG0000010	g47252	XP_010496850.1, XP_010507594.1, XP_019090131.1
