Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_Rawat
OG0000000	XP_018448502.1, XP_018460857.1	AL1G56600
OG0000000	XP_018435931.1	AL3G23500, AL3G28120, AL7G39870
OG0000000	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1	AL3G39580, AL2G19540
OG0000000	XP_018462157.1	AL2G10230, AL4G12690, AL532U10010, AL8G16910
OG0000000	XP_018460558.1	AL7G44950
OG0000000	XP_018472282.1	AL2G12570, AL4G43860
OG0000000	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1, XP_018453689.1, XP_018475855.1, XP_018479455.1	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1	AL6G33910, AL4G36510
OG0000000	XP_018461626.1	AL6G49130
OG0000000	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180
OG0000000	XP_018466708.1	AL7G47010
OG0000000	XP_018458409.1, XP_018458407.1	AL6G44150, AL5G22440
OG0000000	XP_018453573.1, XP_018462059.1	AL8G17990, AL4G17570
OG0000000	XP_018463022.1	AL7G35400
OG0000002	XP_018436085.1, XP_018453671.1, XP_018459832.1	AL8G20200
OG0000003	XP_018453894.1	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020
OG0000003	XP_018436038.1	AL4G18120
OG0000003	XP_018479479.1, XP_018458947.1	AL433U10010
OG0000003	XP_018460607.1	AL4G19540
OG0000003	XP_018458309.1, XP_018477029.1	AL5G39250
OG0000003	XP_018453463.1	AL3G42970
OG0000003	XP_018467654.1, XP_018473851.1, XP_018453891.1, XP_018443595.1, XP_018453583.1, XP_018479683.1, XP_018473762.1	AL3G46190
OG0000003	XP_018479294.1	AL8G18370
OG0000003	XP_018435818.1	AL668U10010, AL2G31940
OG0000003	XP_018443313.1, XP_018443314.1	AL96U10010
OG0000003	XP_018479089.1	AL7G34100, AL3G40240, AL2G10360
OG0000004	XP_018466160.1, XP_018473944.1	AL1G59120
OG0000004	XP_018467378.1, XP_018461339.1, XP_018458452.1, XP_018479562.1	AL7G43300
OG0000004	XP_018463541.1	AL4G11460
OG0000004	XP_018464654.1, XP_018459208.1, XP_018459207.1, XP_018448535.1	AL6G45170
OG0000004	XP_018462257.1, XP_018435900.1	AL1G65200
OG0000005	XP_018435852.1, XP_018435851.1	AL8G18430
OG0000005	XP_018453890.1, XP_018463384.1	AL63U10040
OG0000005	XP_018473854.1, XP_018453823.1, XP_018459047.1, XP_018459385.1	AL7G13490
OG0000005	XP_018436209.1, XP_018454154.1, XP_018462540.1, XP_018460030.1, XP_018459967.1, XP_018479006.1, XP_018460312.1, XP_018448667.1, XP_018448864.1, XP_018460938.1	AL97U10030, AL8G11290
OG0000007	XP_018455976.1, XP_018466179.1, XP_018462223.1	AL9U10810
OG0000007	XP_018448723.1, XP_018448724.1	AL1G53130
OG0000007	XP_018479518.1, XP_018479614.1	AL4G24120
OG0000007	XP_018437596.1, XP_018443492.1, XP_018477728.1, XP_018487830.1, XP_018436238.1, XP_018439630.1, XP_018454081.1, XP_018453629.1	AL8G18310, AL1G37680, AL3G20440
OG0000007	XP_018452687.1, XP_018464104.1, XP_018453152.1, XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1	AL5G31160
OG0000007	XP_018443248.1, XP_018459130.1, XP_018458777.1	AL5G15300
OG0000008	XP_018462957.1	AL8G22780
OG0000008	XP_018435390.1, XP_018435386.1, XP_018454008.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018475693.1, XP_018488090.1, XP_018458139.1, XP_018489767.1, XP_018444644.1, XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018479750.1, XP_018464703.1, XP_018488222.1, XP_018482699.1, XP_018473907.1, XP_018459798.1, XP_018490599.1, XP_018489331.1, XP_018469961.1, XP_018460935.1	AL2G17460, AL6G27010, AL5G18950, AL7G45220
OG0000008	XP_018459044.1	AL3G23450
OG0000008	XP_018462956.1	AL877U10020, AL6G44830
OG0000008	XP_018438736.1	AL5G32180, AL5G32140, AL5G32150
OG0000009	XP_018463485.1, XP_018435713.1	AL251U10020, AL3G32130
OG0000009	XP_018473642.1	AL5G14390, AL5G21470
OG0000009	XP_018448691.1	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360
OG0000009	XP_018458174.1, XP_018474243.1, XP_018435561.1, XP_018473658.1	AL8G14160
OG0000009	XP_018479430.1	AL4G34770
OG0000009	XP_018467418.1, XP_018443533.1, XP_018481184.1	AL2G39630
OG0000009	XP_018460890.1, XP_018454026.1, XP_018463890.1, XP_018466227.1, XP_018479847.1, XP_018473842.1, XP_018435552.1, XP_018443423.1	AL4G46120, AL8G23160
OG0000009	XP_018459193.1	AL1G62100
OG0000011	XP_018436176.1, XP_018465398.1, XP_018435783.1	AL1G50520, AL5G34620, AL5G17780
OG0000011	XP_018463028.1, XP_018463180.1, XP_018448497.1, XP_018479701.1, XP_018482968.1	AL2G26450
OG0000011	XP_018448643.1, XP_018436024.1	AL2G23260
OG0000015	XP_018475313.1	AL25U10010, AL6G22310, AL7G26200
OG0000020	XP_018439110.1	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	XP_018463043.1	AL6G40580, AL7G44020, AL3G44050, AL460U10020
OG0000020	XP_018460984.1, XP_018460983.1	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000022	XP_018446660.1	AL6G27650
OG0000022	XP_018452507.1	AL2G13120
OG0000022	XP_018456914.1, XP_018456330.1	AL2G13070
OG0000022	XP_018439379.1	AL1G24190
OG0000022	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1	AL1G23630, AL1G24180, AL1G23620
OG0000022	XP_018493478.1, XP_018487942.1	AL1G16610
OG0000022	XP_018478989.1	AL7G48260
OG0000022	XP_018437843.1	AL3G29640
OG0000023	XP_018453821.1, XP_018460031.1, XP_018458661.1, XP_018448717.1, XP_018458592.1	AL7G45280, AL8G19630
OG0000023	XP_018459711.1	AL1G65660, AL2G18620
OG0000023	XP_018459712.1, XP_018466264.1	AL8G19620
OG0000023	XP_018443761.1	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450
OG0000023	XP_018443767.1, XP_018458912.1	AL7G44260
OG0000023	XP_018466175.1, XP_018435516.1, XP_018435325.1, XP_018475621.1, XP_018459973.1, XP_018465360.1	AL5G21700, AL7G45880
OG0000023	XP_018480111.1	AL2G22450
OG0000024	XP_018485466.1, XP_018482596.1	AL4G16470
OG0000024	XP_018436387.1	AL3G45420, AL4G35160
OG0000024	XP_018487153.1	AL5G23680
OG0000024	XP_018448575.1, XP_018448576.1	AL1G45210
OG0000025	XP_018487947.1	AL6G41860
OG0000025	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1, XP_018479341.1	AL460U10010
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	AL6G45970
OG0000027	XP_018464962.1, XP_018461167.1, XP_018471375.1	AL6G45910
OG0000027	XP_018451933.1, XP_018448914.1	AL7G30160
OG0000027	XP_018451939.1, XP_018448955.1	AL7G30170
OG0000027	XP_018454312.1	AL1G66280
OG0000027	XP_018453781.1	AL6G46070
OG0000027	XP_018463400.1, XP_018480408.1	AL7G30260
OG0000028	XP_018467289.1, XP_018480012.1	AL594U10010, AL7G42840
OG0000028	XP_018461874.1, XP_018469470.1, XP_018469464.1	AL6G19150
