Orthogroup	Cardamine_glauca	Cochlearia_excelsa
OG0000000	Cg004G132730	g42971, g27882
OG0000000	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120	g34021, g33293, g26443, g3622, g35407, g2952, g33829, g15061, g43736
OG0000000	Cg002G062380, Cg002G069090, Cg005G186670	g34973, g34594, g8693, g34396, g42237
OG0000000	Cg003G090030, Cg003G090000	g3617
OG0000000	Cg014G332090	g16215
OG0000000	Cg005G186000	g29885, g42520, g43654, g8678, g51092, g18221, g42791, g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287
OG0000002	Cg005G163330	g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912, g22482, g23050, g45382
OG0000003	Cg006G209840	g10483, g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558, g41973, g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590
OG0000003	Cg005G163140	g53525, g41900, g41972
OG0000003	Cg007G261780	g50217
OG0000003	Cg001G032830	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560
OG0000003	Cg004G144080	g34916, g35398
OG0000003	Cg005G182650	g8684
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	g44957, g41488, g4394, g4401, g11275, g53238
OG0000005	Cg001G022240	g10943, g48006
OG0000005	Cg005G188160	g22013
OG0000005	Cg005G185830	g10582
OG0000005	Cg008G295320, Cg005G188150	g43359
OG0000005	Cg003G087270	g4402
OG0000005	Cg006G213190	g14949, g4309, g14417, g53018, g11716, g40876
OG0000006	Cg008G312070	g41913, g42739
OG0000006	Cg006G206830	g24823, g23855, g25855, g40547
OG0000007	Cg002G054650	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316
OG0000008	Cg008G312650	g35285
OG0000008	Cg007G263320	g33123
OG0000010	Cg001G010610	g48055, g21528, g3243, g30443, g48036
OG0000010	Cg008G314030	g42980, g43765, g53952, g52317, g42680, g43944, g4140
OG0000010	Cg006G205490	g14831, g34423, g35491, g35669, g35087, g35755, g18651, g26611, g4943, g52427, g52674, g21529, g41485, g33235, g36341, g8788, g16258, g52347, g35846, g35744, g30444, g14379, g42953, g14356, g14384, g52404, g17805, g25898, g25814, g30464, g35692, g16617, g9281, g32574, g26347, g32793, g35940, g14826, g7994, g49794, g8736, g4606, g33305, g14815, g34293, g14527, g14496, g14517, g14547, g14537, g11187, g16004, g53096, g14905, g53882, g22487, g35355, g4138, g42653, g16383, g53565, g43940, g30053, g4300, g16405, g16306, g25793, g26674, g48962, g8176, g30713, g21148, g21439, g22288, g16078, g52575, g42688, g53174, g49808, g18274, g39499, g12078, g35616, g50919, g24841, g33516, g27931, g19968, g46898, g24737, g1435, g4281, g11525, g30755, g47267, g13624, g15004, g21561, g16231, g25610, g53953, g24133, g5069, g6129, g43741, g18000, g35457, g1379, g18846, g35661, g42731, g26143, g18595, g43148, g35809, g16137, g34943, g43958, g3907, g43037, g19791, g52909, g16014, g4016, g43535, g4183, g33671, g41787, g41846, g43093, g53227, g43201, g4531, g16664, g33603, g14840, g43003, g4520, g52875, g24630, g26742, g52545, g53459, g3878, g21347, g41826, g18386, g3729, g13559, g3050, g16142, g44064, g25878, g20318, g15860, g36237, g50939, g25736, g30068, g18103, g14080, g41336, g27919, g3037, g33261, g25224, g28146, g53461, g17330, g43038, g43841, g24783, g17957, g10083, g33273, g44036, g3444, g6177, g25144, g15533, g22676, g52662, g49032, g19839, g12644, g27320, g24782, g24931, g1434, g4257, g2095, g35984, g45228, g14612, g42927, g25054, g53995, g45988, g42723, g37170, g13740, g50987, g44719, g14315, g44935, g40898, g35162, g46753, g17634, g44711, g42947, g14694, g30462, g52428
OG0000012	Cg003G089470, Cg006G226210	g6328
OG0000012	Cg003G096060	g32787, g15662
OG0000012	Cg003G096300	g52731
OG0000013	Cg001G029740	g14200, g48961
OG0000014	Cg007G281140	g10989
OG0000014	Cg008G312030	g44201, g25623
OG0000014	Cg007G266660	g43483, g43482, g50927, g53476, g50930, g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584, g25627
OG0000015	Cg008G310160	g1783, g40287, g27896, g24000, g1778, g40286
OG0000015	Cg004G140320	g26108, g43718, g42171, g26614, g12285
OG0000015	Cg007G254560	g3755, g43029, g21949, g24634
OG0000015	Cg001G025880	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986
OG0000015	Cg007G249020	g8683, g38798, g6105
OG0000019	Cg008G308170	g16593, g27930, g4588, g36529, g42561, g14492, g51080, g41576, g52671, g24908, g42560, g4839, g33386, g45605, g16592, g1020, g46208, g40680, g40322, g46628, g9756
OG0000019	Cg005G182050	g43707, g18316, g27825
OG0000020	Cg001G036750	g49592
OG0000020	Cg007G257890, Cg007G257790	g35283, g34310
OG0000021	Cg006G208570	g14063
OG0000021	Cg002G061370, Cg003G103950	g45682, g1448
OG0000021	Cg002G074750, Cg001G028510, Cg006G215630	g40050, g47160, g49473, g26165
OG0000021	Cg003G080250	g24107
OG0000023	Cg001G017610, Cg001G017600	g23897
OG0000023	Cg003G082330	g48946, g43193
OG0000023	Cg003G082320	g48943, g25723
OG0000023	Cg003G082240	g40374
OG0000023	Cg001G017690	g23907, g24643
OG0000027	Cg007G250820	g40788
OG0000027	Cg002G070600	g28294
OG0000027	Cg002G048550, Cg002G048720	g2269
