Orthogroup	Camelina_sativa	Aethionema_saxatile
OG0000000	XP_010445376.1	As006G148660, As007G164610, As002G036700, As010G230770
OG0000000	XP_019085399.1, XP_010468113.1	As002G040030
OG0000000	XP_019094707.1, XP_010479590.1, XP_019097715.1, XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1, XP_019096689.1	As001G006630, As006G147610
OG0000002	XP_010423585.1, XP_010495565.1, XP_010424742.1	As004G091160
OG0000002	XP_019090079.1	As006G147780
OG0000002	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1	As004G091170
OG0000003	XP_010451789.1, XP_010484756.1, XP_019085452.1, XP_019098342.1, XP_010451773.2, XP_010412462.1, XP_010467548.1, XP_010468230.1, XP_010456694.1	As008G191470
OG0000003	XP_019086518.1, XP_019094534.1	As012G280070
OG0000003	XP_019092325.1	As003G066700
OG0000003	XP_019098361.1	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480
OG0000004	XP_010513002.1, XP_019100869.1, XP_010468701.1, XP_019099765.1, XP_010495244.1, XP_010495165.1, XP_010462981.1	As007G177100
OG0000004	XP_010474601.1, XP_019095662.1, XP_010425346.1, XP_010490159.1, XP_010419021.1	As009G212350
OG0000004	XP_010463143.1	As010G231160
OG0000005	XP_010412393.1, XP_010490225.1, XP_010431586.1, XP_010497088.1	As007G177090, As005G111430
