Orthogroup	Capsella_rubella	Erysimum_linariifolium
OG0000000	XP_023632701.1	El003G183590
OG0000000	XP_023639960.1	El001G044730
OG0000002	XP_023638855.1	El002G130320
OG0000003	XP_023639598.1	El004G210360
OG0000003	XP_023640434.1, XP_023642103.1	El004G212250
OG0000003	XP_023638126.1	El006G306960
OG0000004	XP_006300431.2	El006G291650, El007G350510
OG0000004	XP_023632892.1, XP_023635799.1	El002G127280
OG0000004	XP_023644510.1	El001G052930, El004G230860, El003G157040
OG0000004	XP_023644490.1	El005G268240
OG0000004	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1, XP_023634309.1, XP_023640349.1	El006G321800
OG0000005	XP_023641325.1	El002G135600
OG0000005	XP_023639614.1	El006G308020, El003G156400
OG0000005	XP_023639354.1	El003G184490
OG0000005	XP_023644435.1, XP_023644436.1	El006G313160
OG0000005	XP_023634342.1	El002G123530
OG0000005	XP_023640809.1	El006G313170
OG0000006	XP_023644546.1, XP_023639048.1	El001G046690
OG0000006	XP_023641260.1, XP_023644414.1	El007G324910, El001G079730
OG0000007	XP_023633614.1	El006G310450, El004G211980, El007G348570
OG0000007	XP_023644256.1	El006G310200
OG0000007	XP_023637681.1	El002G114670
OG0000008	XP_023633645.1	El007G351000
OG0000008	XP_023641963.1	El003G182320
OG0000008	XP_023633617.1	El001G077860
OG0000008	XP_006299996.2	El003G167760
OG0000008	XP_023638567.1	El001G021990, El001G021710
OG0000010	XP_023639612.1	El007G350710
OG0000012	XP_023636242.1	El003G154210, El007G344400, El007G350120
OG0000013	XP_023638853.1	El007G349810
OG0000013	XP_023638858.1	El007G350800
OG0000015	XP_023633382.1	El060G376140, El053G375740
OG0000017	XP_006279199.1	El003G166860, El007G325530
OG0000017	XP_006302668.2	El007G356670, El004G210020
OG0000018	XP_023641905.1, XP_023634354.1, XP_023638482.1	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000018	XP_023637954.1	El002G082650
OG0000018	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1	El001G048290
OG0000018	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_023638958.1, XP_006285455.2	El001G077880, El004G225550
OG0000019	XP_023641372.1	El002G122780
OG0000020	XP_023632591.1	El002G120700, El006G296260
OG0000020	XP_023634318.1	El007G347970, El005G264160
OG0000023	XP_023634683.1	El007G357800
OG0000023	XP_023638659.1	El001G012210
OG0000023	XP_006289355.2, XP_023635858.1	El001G007540
OG0000023	XP_006285954.1	El003G162170
OG0000023	XP_023634688.1	El003G162000
OG0000023	XP_023634698.1	El003G192470
OG0000024	XP_023644211.1, XP_023634363.1	El006G293740
OG0000024	XP_023638107.1	El007G351440, El002G140900
OG0000025	XP_023634475.1	El001G014130, El001G014870, El001G014670, El003G176790
OG0000025	XP_006281712.1	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200
OG0000025	XP_023633414.1	El003G176780, El001G014170
OG0000026	XP_023639056.1	El003G164110, El005G264370, El003G183480
OG0000027	XP_023644420.1, XP_023644421.1, XP_023632644.1, XP_023632643.1	El001G054180
