Orthogroup	Alyssum_gmelinii	Eutrema_salsugineum
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700	XP_024004899.1
OG0000000	Ag055G4904400	XP_024011347.1
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	XP_024006886.1, XP_024011324.1
OG0000000	Ag020G2571600, Ag013G1635500	XP_024006398.1
OG0000000	Ag034G3852600, Ag034G3811600	XP_024013148.1
OG0000000	Ag067G5173700	XP_024014707.1
OG0000002	Ag027G3030200	XP_024009486.1, XP_024014438.1
OG0000003	Ag005G0787400	XP_024006573.1, XP_024005010.1, XP_024016553.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_024006452.1, XP_024009427.1, XP_024004072.1, XP_024004813.1, XP_024004020.1
OG0000003	Ag067G5203100	XP_024009611.1, XP_024010658.1, XP_024010659.1, XP_024010914.1, XP_024016317.1, XP_024013151.1, XP_024003873.1
OG0000003	Ag004G0525300	XP_024014348.1, XP_024011850.1, XP_024010650.1, XP_024010600.1, XP_024014297.1, XP_024004974.1, XP_024015880.1, XP_024014004.1, XP_024009942.1, XP_024014527.1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	XP_024011300.1, XP_024006615.1, XP_024014246.1
OG0000003	Ag025G2976100	XP_024007996.1
OG0000003	Ag011G1183800	XP_024004985.1, XP_024004030.1
OG0000004	Ag033G3561100	XP_024014993.1, XP_024010229.1
OG0000004	Ag062G5056100, Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600, Ag010G0992800, Ag014G1774700	XP_024007302.1
OG0000004	Ag039G4237400	XP_024009381.1, XP_024016564.1, XP_024011370.1
