Orthogroup	Raphanus_sativus	Cardamine_glauca
OG0000000	XP_018462401.1, XP_018463541.1, XP_018459749.1	Cg003G090030, Cg003G090000
OG0000000	XP_018435304.1, XP_018467378.1	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000003	XP_018448864.1, XP_018453890.1, XP_018463988.1, XP_018464531.1, XP_018459047.1, XP_018459385.1, XP_018453823.1, XP_018473854.1, XP_018462540.1, XP_018459967.1, XP_018479006.1, XP_018454154.1, XP_018436209.1, XP_018460030.1, XP_018460938.1, XP_018463384.1, XP_018435851.1, XP_018435852.1	Cg006G209840
OG0000003	XP_018461854.1	Cg005G184670
OG0000003	XP_018464076.1, XP_018465694.1, XP_018459974.1	Cg005G182650
OG0000004	XP_018462059.1, XP_018453573.1	Cg004G154080
OG0000004	XP_018435931.1	Cg005G167340
OG0000004	XP_018479791.1	Cg007G260170
OG0000005	XP_018479454.1	Cg007G268560
OG0000005	XP_018454182.1	Cg007G253430
OG0000005	XP_018443533.1, XP_018481184.1, XP_018467418.1	Cg005G186690, Cg003G078000, Cg005G192860
OG0000005	XP_018461258.1, XP_018435786.1	Cg003G086520
OG0000005	XP_018436426.1, XP_018436425.1, XP_018463676.1, XP_018474023.1, XP_018479849.1	Cg005G188160
OG0000005	XP_018473658.1	Cg008G295320
OG0000005	XP_018479530.1	Cg003G087270
OG0000006	XP_018480139.1	Cg008G312070
OG0000006	XP_018455976.1	Cg006G203530, Cg001G010040
OG0000006	XP_018466179.1	Cg005G192450
OG0000007	XP_018435927.1, XP_018463775.1, XP_018479789.1	Cg001G041960, Cg003G089200
OG0000007	XP_018473662.1, XP_018488005.1, XP_018487667.1, XP_018479790.1, XP_018488079.1, XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1	Cg002G061850
OG0000007	XP_018453541.1, XP_018474641.1	Cg002G054650
OG0000008	XP_018479533.1, XP_018464955.1, XP_018443584.1, XP_018443555.1, XP_018443557.1, XP_018473874.1, XP_018461035.1, XP_018453833.1, XP_018435951.1, XP_018453621.1, XP_018435954.1, XP_018473912.1, XP_018443581.1, XP_018462136.1	Cg002G071180
OG0000008	XP_018438736.1	Cg002G055170
OG0000010	XP_018461000.1	Cg001G010610
OG0000011	XP_018479604.1, XP_018459024.1, XP_018462958.1	Cg005G184960
OG0000012	XP_018480111.1	Cg003G089470, Cg006G226210
OG0000012	XP_018448573.1	Cg007G277670, Cg006G218130, Cg003G093950
OG0000014	XP_018453670.1	Cg008G312030
OG0000014	XP_018435497.1, XP_018478850.1, XP_018476436.1	Cg007G266660
OG0000015	XP_018448688.1, XP_018443665.1, XP_018458093.1, XP_018463612.1	Cg008G310160
OG0000015	XP_018435929.1	Cg007G254560
OG0000015	XP_018475313.1	Cg001G025880
OG0000017	XP_018463043.1	Cg004G142150
