Orthogroup	Cardamine_hirsuta	Noccaea_praecox
OG0000005	CARHR055780	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710
OG0000005	CARHR114650	Np006G356630
OG0000005	CARHR153540	Np002G074400
OG0000005	CARHR217600	Np004G197000
OG0000006	CARHR216870, CARHR256390, CARHR115290, CARHR262640	Np002G092120
OG0000006	CARHR183870, CARHR100700, CARHR111840, CARHR180780, CARHR055190, CARHR182530, CARHR258710, CARHR182520, CARHR057560, CARHR216050, CARHR096020, CARHR060330, CARHR271640, CARHR058320, CARHR060230, CARHR133710, CARHR054400, CARHR257440, CARHR221610, CARHR100290, CARHR029260, CARHR051850, CARHR156010, CARHR266890	Np005G313160
OG0000006	CARHR152010, CARHR257960, CARHR154010, CARHR128850, CARHR262650, CARHR183200, CARHR214540	Np008G427000
OG0000007	CARHR034550	Np007G402900, Np001G003900
OG0000008	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530, CARHR115010, CARHR215020, CARHR181140, CARHR034850, CARHR216990, CARHR118910, CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330	Np001G053530
OG0000011	CARHR190150, CARHR151420, CARHR057040	Np001G009230, Np006G351190
OG0000013	CARHR259710, CARHR057870, CARHR288340	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160
OG0000013	CARHR116230, CARHR285000	Np004G228920
OG0000015	CARHR258200	Np005G274380
OG0000015	CARHR055900	Np008G427030
OG0000015	CARHR110600	Np007G409210, Np007G416110
OG0000017	CARHR213120	Np003G171300
OG0000017	CARHR049310, CARHR034150	Np005G282110, Np005G282180, Np007G396400
OG0000019	CARHR218510	Np003G156030, Np004G211950
OG0000019	CARHR259400	Np001G027630
OG0000020	CARHR159350	Np002G099760
OG0000020	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870	Np002G102400
OG0000020	CARHR287070	Np005G303330, Np004G208430
OG0000020	CARHR289940	Np008G428370
OG0000020	CARHR287680, CARHR287700	Np004G226750
OG0000023	CARHR230500	Np005G283730
OG0000023	CARHR255050	Np003G180640
OG0000023	CARHR230410	Np005G283900
OG0000023	CARHR230390, CARHR230400	Np005G284120
OG0000023	CARHR230580, CARHR254990	Np005G284010
OG0000023	CARHR230440	Np005G283870
OG0000023	CARHR055330	Np005G284070
OG0000025	CARHR100770, CARHR248330, CARHR028790	Np003G164310
OG0000025	CARHR267840	Np003G160480
OG0000025	CARHR281120	Np003G159100, Np003G162910, Np003G159040, Np003G162820, Np007G382330, Np007G381790, Np007G382270
OG0000025	CARHR244240, CARHR242060	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000025	CARHR285330	Np003G183240
OG0000026	CARHR215490	Np002G101380, Np004G216210
OG0000027	CARHR052850	Np002G093210
OG0000027	CARHR045190	Np004G214870, Np005G271730, Np004G214850
