Orthogroup	Noccaea_praecox	Cardamine_hirsuta
OG0000005	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710	CARHR055780
OG0000005	Np006G356630	CARHR114650
OG0000005	Np002G074400	CARHR153540
OG0000005	Np004G197000	CARHR217600
OG0000006	Np002G092120	CARHR216870, CARHR256390, CARHR115290, CARHR262640
OG0000006	Np005G313160	CARHR183870, CARHR100700, CARHR111840, CARHR180780, CARHR055190, CARHR182530, CARHR258710, CARHR182520, CARHR057560, CARHR216050, CARHR096020, CARHR060330, CARHR271640, CARHR058320, CARHR060230, CARHR133710, CARHR054400, CARHR257440, CARHR221610, CARHR100290, CARHR029260, CARHR051850, CARHR156010, CARHR266890
OG0000006	Np008G427000	CARHR152010, CARHR257960, CARHR154010, CARHR128850, CARHR262650, CARHR183200, CARHR214540
OG0000007	Np007G402900, Np001G003900	CARHR034550
OG0000008	Np001G053530	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530, CARHR115010, CARHR215020, CARHR181140, CARHR034850, CARHR216990, CARHR118910, CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330
OG0000011	Np001G009230, Np006G351190	CARHR190150, CARHR151420, CARHR057040
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	CARHR259710, CARHR057870, CARHR288340
OG0000013	Np004G228920	CARHR116230, CARHR285000
OG0000015	Np005G274380	CARHR258200
OG0000015	Np008G427030	CARHR055900
OG0000015	Np007G409210, Np007G416110	CARHR110600
OG0000017	Np003G171300	CARHR213120
OG0000017	Np005G282110, Np005G282180, Np007G396400	CARHR049310, CARHR034150
OG0000019	Np003G156030, Np004G211950	CARHR218510
OG0000019	Np001G027630	CARHR259400
OG0000020	Np002G099760	CARHR159350
OG0000020	Np002G102400	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870
OG0000020	Np005G303330, Np004G208430	CARHR287070
OG0000020	Np008G428370	CARHR289940
OG0000020	Np004G226750	CARHR287680, CARHR287700
OG0000023	Np005G283730	CARHR230500
OG0000023	Np003G180640	CARHR255050
OG0000023	Np005G283900	CARHR230410
OG0000023	Np005G284120	CARHR230390, CARHR230400
OG0000023	Np005G284010	CARHR230580, CARHR254990
OG0000023	Np005G283870	CARHR230440
OG0000023	Np005G284070	CARHR055330
OG0000025	Np003G164310	CARHR100770, CARHR248330, CARHR028790
OG0000025	Np003G160480	CARHR267840
OG0000025	Np003G159100, Np003G162910, Np003G159040, Np003G162820, Np007G382330, Np007G381790, Np007G382270	CARHR281120
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	CARHR244240, CARHR242060
OG0000025	Np003G183240	CARHR285330
OG0000026	Np002G101380, Np004G216210	CARHR215490
OG0000027	Np002G093210	CARHR052850
OG0000027	Np004G214870, Np005G271730, Np004G214850	CARHR045190
OG0000027	Np004G215070	CARHR062310
OG0000027	Np001G057950, Np001G057940	CARHR168020, CARHR167830
OG0000028	Np003G168060, Np003G175100	CARHR153130
OG0000028	Np002G106380	CARHR056480
OG0000028	Np006G356860	CARHR116610, CARHR153140
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	CARHR176810, CARHR154270
OG0000029	Np001G034960, Np004G225420	CARHR287350
OG0000029	Np003G172500	CARHR287660
OG0000029	Np007G394270	CARHR006250
OG0000029	Np003G167270	CARHR036950
OG0000029	Np003G172510	CARHR213600
OG0000030	Np004G229860, Np003G173700	CARHR181500
OG0000030	Np002G096140, Np004G216100	CARHR116060
OG0000030	Np006G330890	CARHR260310, CARHR154720
OG0000031	Np004G244900	CARHR013000, CARHR012910
OG0000031	Np005G318980	CARHR213210
OG0000032	Np002G100550	CARHR257880
OG0000033	Np005G284050, Np005G284060	CARHR230270, CARHR230290
OG0000033	Np005G283960, Np005G284080	CARHR230320, CARHR230240, CARHR055320
OG0000033	Np005G284160	CARHR230230
OG0000035	Np002G092640, Np006G364470	CARHR207670
OG0000035	Np005G313520	CARHR042940, CARHR261700, CARHR261660, CARHR171660, CARHR219280, CARHR171670, CARHR219290, CARHR127720
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	CARHR141500
OG0000038	Np003G157800	CARHR265450
OG0000038	Np005G270740, Np005G270650, Np005G270700	CARHR174900, CARHR175950
OG0000040	Np001G009070	CARHR025790, CARHR162370
OG0000040	Np004G224970, Np004G224940	CARHR223790, CARHR158530, CARHR088850
OG0000040	Np007G407000	CARHR088870
OG0000040	Np004G224990	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440
OG0000041	Np006G342650	CARHR260230, CARHR034730
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	Np005G314650	CARHR263410
OG0000046	Np005G313240	CARHR214350, CARHR214340
OG0000046	Np002G093730	CARHR059200
OG0000046	Np005G292150	CARHR225000, CARHR225010
OG0000046	Np007G386460	CARHR214320
OG0000048	Np007G421470	CARHR077940
OG0000048	Np003G145480, Np003G145420	CARHR195020
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	CARHR002800
OG0000052	Np002G116290, Np002G116590	CARHR260850
OG0000052	Np006G328590, Np006G328570, Np006G328580	CARHR127280
OG0000052	Np003G173020	CARHR137550, CARHR137540
OG0000052	Np006G328390, Np006G328410, Np006G328470	CARHR256260
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	CARHR152130, CARHR102470, CARHR286550
OG0000053	Np001G040210, Np005G311290, Np006G327430	CARHR044830
OG0000054	Np007G389250	CARHR266430, CARHR150180
OG0000054	Np005G282410, Np004G256130, Np006G347850	CARHR056490
OG0000055	Np001G046730	CARHR155600
OG0000055	Np002G083070	CARHR050310
OG0000055	Np002G119400	CARHR050060
OG0000055	Np002G119520, Np002G119220, Np002G119170	CARHR049980, CARHR050290, CARHR050280, CARHR050160
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	CARHR219260, CARHR049910
OG0000057	Np007G375320	CARHR107830, CARHR108270, CARHR149830, CARHR094260, CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730
OG0000057	Np007G398210, Np010G435080, Np007G401600	CARHR090170
OG0000057	Np006G333600, Np006G333860, Np003G187520	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000058	Np001G038390, Np006G352050, Np005G294870	CARHR154060
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	CARHR153550
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820	CARHR217030
OG0000062	Np003G173970, Np003G170000	CARHR100910
OG0000063	Np006G337020	CARHR132050
OG0000063	Np003G152670, Np004G251810	CARHR007630
OG0000063	Np001G046020	CARHR121870
OG0000064	Np005G260880	CARHR247830
OG0000064	Np004G235840	CARHR020490
OG0000065	Np003G168940	CARHR184170
OG0000066	Np005G262320	CARHR246640, CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990, CARHR202310
OG0000066	Np003G136700	CARHR202910
OG0000066	Np004G250000, Np004G250510, Np003G136710	CARHR279310
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590	CARHR064230
OG0000068	Np002G089430	CARHR153260, CARHR182390
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	CARHR216710
OG0000069	Np003G152400	CARHR119500
OG0000071	Np001G013290	CARHR082570
OG0000074	Np004G229960	CARHR024090
OG0000074	Np004G229890	CARHR024100
OG0000074	Np003G180910, Np003G184200	CARHR024030, CARHR024020, CARHR024000
OG0000075	Np007G378600	CARHR119930, CARHR292150, CARHR011460, CARHR099040
OG0000075	Np004G233640	CARHR035940
OG0000076	Np007G423950	CARHR121130
OG0000076	Np001G021860	CARHR148060, CARHR148030, CARHR148020
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	CARHR214110, CARHR146390, CARHR254570, CARHR083750, CARHR103020, CARHR286150, CARHR286180, CARHR286090
OG0000077	Np005G261720	CARHR247150, CARHR221070, CARHR247140
OG0000079	Np007G422670	CARHR111250
OG0000079	Np001G064140	CARHR169400
OG0000080	Np006G334220	CARHR215660
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	CARHR270010
OG0000080	Np003G179540, Np002G124540	CARHR039590
OG0000080	Np002G124500, Np002G124510	CARHR151510, CARHR219570
OG0000080	Np005G318150, Np005G318140	CARHR123150, CARHR123070
OG0000080	Np004G240560, Np006G328080	CARHR123140
OG0000081	Np001G010770	CARHR121110
OG0000081	Np003G145640	CARHR194900
OG0000083	Np007G418940	CARHR118100, CARHR292140, CARHR291340, CARHR118080, CARHR118040
OG0000084	Np006G364930	CARHR116880, CARHR117860
OG0000084	Np006G364960	CARHR116710, CARHR116720
OG0000084	Np006G365060, Np006G365040	CARHR117030, CARHR118620
OG0000084	Np006G365050, Np006G365420	CARHR116910, CARHR116940
OG0000084	Np006G364950	CARHR117020
OG0000087	Np001G010980	CARHR189700
OG0000087	Np006G350150, Np008G428160	CARHR122890
OG0000087	Np003G139100	CARHR200860
OG0000087	Np001G039930	CARHR178800
OG0000087	Np005G287110	CARHR227450
OG0000087	Np002G077440	CARHR069200
OG0000088	Np003G148700, Np003G148740	CARHR192340, CARHR192330
OG0000088	Np001G052870	CARHR262970
OG0000089	Np003G136030	CARHR203590
OG0000089	Np007G395030	CARHR094190
OG0000089	Np007G409340	CARHR086670
OG0000089	Np006G336940	CARHR131960
OG0000089	Np001G046210	CARHR285740
OG0000089	Np003G153120	CARHR155270
OG0000090	Np004G235330	CARHR020650
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	CARHR069500
OG0000090	Np007G385680, Np001G065320, Np001G065030	CARHR288810
OG0000090	Np007G389920	CARHR010350
OG0000091	Np003G165480	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000093	Np001G063230	CARHR168740
OG0000093	Np001G005730	CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320
OG0000093	Np001G063180	CARHR168690
OG0000096	Np001G024770	CARHR145650, CARHR145640
OG0000096	Np002G112010, Np002G112580	CARHR054510
OG0000096	Np002G112530	CARHR158180, CARHR054500
OG0000096	Np001G034870	CARHR112200
OG0000096	Np001G038620	CARHR177990
OG0000096	Np001G038130	CARHR176910
OG0000097	Np003G185010	CARHR252090, CARHR252110
OG0000097	Np003G171600	CARHR252050
OG0000097	Np003G185030	CARHR252100, CARHR252070
OG0000098	Np002G116580	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300
OG0000099	Np002G123560, Np004G228320	CARHR046920
OG0000099	Np002G123530, Np004G215470	CARHR046950
OG0000099	Np002G121140	CARHR046930
OG0000100	Np004G233090, Np003G158140	CARHR100990
OG0000100	Np002G083340	CARHR181920, CARHR054690, CARHR054680
OG0000100	Np002G096510, Np006G363460	CARHR101000
OG0000101	Np002G111340	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270
OG0000101	Np002G122780	CARHR047710
OG0000101	Np002G123180	CARHR047060
OG0000104	Np004G251930	CARHR007350
OG0000104	Np006G360060	CARHR122140
OG0000104	Np006G360100	CARHR122240
OG0000104	Np004G195160	CARHR039100
OG0000104	Np007G381330	CARHR097260
OG0000104	Np006G360090	CARHR122150, CARHR122160
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860
OG0000106	Np007G372640	CARHR159090
OG0000107	Np007G398440, Np007G418450	CARHR119260, CARHR119250
OG0000107	Np007G398420	CARHR095650, CARHR095640, CARHR095620, CARHR055760
OG0000108	Np002G099090, Np002G099030, Np002G099040	CARHR253270
OG0000108	Np001G011650, Np001G011550	CARHR174970
OG0000108	Np004G259470	CARHR046250
OG0000108	Np005G305310, Np001G011560	CARHR000040, CARHR188170
OG0000109	Np004G230420	CARHR116840
OG0000110	Np001G064490	CARHR169600
OG0000110	Np001G064470	CARHR169580
OG0000110	Np001G064520	CARHR169630
OG0000110	Np001G064450	CARHR169570
OG0000110	Np001G064540	CARHR061850
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	CARHR214020, CARHR214040
OG0000111	Np005G313680, Np001G006020	CARHR214030
OG0000111	Np001G006010	CARHR221770
OG0000111	Np001G006030	CARHR277260
OG0000111	Np001G058370	CARHR164880
OG0000112	Np003G184320	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680
OG0000113	Np007G416190	CARHR256490, CARHR256450, CARHR175630
OG0000113	Np002G122980	CARHR149270, CARHR055020, CARHR047480, CARHR047200, CARHR047160, CARHR047260, CARHR262020, CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050
OG0000113	Np002G123190	CARHR047220
OG0000113	Np002G089300	CARHR175790, CARHR175830, CARHR174830
OG0000113	Np002G089320	CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210
OG0000114	Np003G137830	CARHR202050
OG0000118	Np001G044480, Np005G313880	CARHR148290
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	CARHR115250
OG0000119	Np002G102980	CARHR292260, CARHR102990
OG0000120	Np002G117060, Np002G116940	CARHR285170
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	Np003G129250	CARHR208650
OG0000122	Np003G157760	CARHR033430, CARHR033520
OG0000122	Np001G056320	CARHR269740, CARHR129080, CARHR269910, CARHR269890, CARHR031770, CARHR036540
OG0000123	Np003G131420	CARHR014030
OG0000123	Np004G243230	CARHR014050
OG0000123	Np005G279480	CARHR233830
OG0000125	Np001G056500	CARHR163570
OG0000125	Np003G126800	CARHR210790
OG0000125	Np003G151060	CARHR190650
OG0000125	Np003G152340	CARHR273520
OG0000125	Np006G359820	CARHR121850
OG0000127	Np007G413710	CARHR083490
OG0000131	Np003G174400	CARHR150440, CARHR283860, CARHR283870, CARHR035130, CARHR286300, CARHR258830, CARHR148220, CARHR118270, CARHR287300
OG0000132	Np003G171960, Np005G310370, Np003G146020	CARHR217650
OG0000132	Np004G192110, Np001G023710	CARHR101930
OG0000136	Np002G086710	CARHR058600
OG0000136	Np005G312700	CARHR214760, CARHR214790
OG0000136	Np005G302230	CARHR214860
OG0000136	Np005G312640	CARHR214810
OG0000136	Np002G095000	CARHR272990
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	CARHR180340
OG0000137	Np005G318010	CARHR261370
OG0000138	Np002G085260	CARHR113950
OG0000138	Np001G018700	CARHR153120
OG0000138	Np002G085240, Np002G085270, Np002G085250	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	Np003G153340	CARHR285530
OG0000140	Np003G153440	CARHR285410
OG0000140	Np003G153920	CARHR272760, CARHR272770, CARHR053670
OG0000140	Np003G153420	CARHR272750
OG0000140	Np003G153430, Np007G424390, Np003G153390	CARHR285460, CARHR285480
OG0000142	Np006G360490	CARHR122600, CARHR122570, CARHR122580, CARHR119640
OG0000146	Np003G160050	CARHR268710
OG0000146	Np003G160040	CARHR268720
OG0000146	Np003G160230	CARHR268680
OG0000146	Np003G160060, Np003G160140, Np003G160190	CARHR268700
OG0000146	Np003G160200	CARHR268690
OG0000147	Np005G273990	CARHR238090
OG0000147	Np003G156060	CARHR271150
OG0000147	Np002G071170	CARHR073860
OG0000147	Np001G043050	CARHR153650
OG0000147	Np007G389960	CARHR104060
OG0000149	Np001G046040	CARHR154790, CARHR154820
OG0000149	Np001G046110	CARHR154830
OG0000149	Np003G152730	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	Np003G152680	CARHR273240, CARHR273230, CARHR273250
OG0000149	Np001G046030	CARHR154780
OG0000150	Np003G183630	CARHR118700, CARHR273840
OG0000150	Np001G049320	CARHR207890, CARHR143200
OG0000151	Np003G164170	CARHR266340
OG0000151	Np005G277020	CARHR235660
OG0000151	Np007G376880	CARHR107000
OG0000151	Np003G158280	CARHR269520
OG0000151	Np002G123910	CARHR046700
OG0000154	Np004G240190	CARHR016540
OG0000154	Np007G408850	CARHR087080
OG0000154	Np006G330440	CARHR229590, CARHR069350
OG0000154	Np007G413420	CARHR083850
OG0000154	Np003G126710	CARHR210880
OG0000154	Np003G126700, Np003G127150, Np002G112020	CARHR210890
