Orthogroup	Euclidium_syriacum	Raphanus_sativus
OG0000000	ESY7_g16163_DN2_SP0_c0.t1	XP_018443468.1, XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1, XP_018487582.1
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	XP_018436035.1
OG0000000	ESY2_g36604_DN3_SP0_c0.t1	XP_018443420.1
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	XP_018448502.1, XP_018460857.1, XP_018453501.1, XP_018453416.1, XP_018443455.1, XP_018474257.1
OG0000000	ESY14_g19960_DN1_SP0_c0.t1	XP_018464511.1, XP_018474039.1, XP_018458646.1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_018459223.1, XP_018461909.1, XP_018479529.1, XP_018453822.1, XP_018463421.1, XP_018459136.1, XP_018453716.1, XP_018458091.1, XP_018465757.1, XP_018435975.1, XP_018459980.1, XP_018459052.1, XP_018460439.1, XP_018436084.1, XP_018461124.1, XP_018436085.1, XP_018453671.1, XP_018459832.1, XP_018435603.1, XP_018461761.1, XP_018479516.1, XP_018465012.1, XP_018453728.1, XP_018463383.1, XP_018462785.1, XP_018458683.1, XP_018473998.1, XP_018473713.1, XP_018463380.1, XP_018443656.1, XP_018473782.1, XP_018488094.1, XP_018463388.1, XP_018473643.1, XP_018453727.1, XP_018453623.1, XP_018435898.1, XP_018459427.1, XP_018436080.1, XP_018479330.1, XP_018454115.1, XP_018464980.1, XP_018462853.1, XP_018463118.1, XP_018471869.1, XP_018435987.1, XP_018466031.1, XP_018465756.1
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	XP_018453894.1
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	XP_018479479.1, XP_018458947.1
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	XP_018462893.1
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	XP_018443742.1, XP_018465542.1, XP_018459724.1, XP_018443678.1, XP_018459621.1, XP_018473790.1
OG0000003	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	XP_018473666.1
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	XP_018466160.1, XP_018473944.1
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	XP_018467378.1
OG0000004	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1	XP_018462257.1, XP_018435900.1
OG0000005	ESY8_g60803_DN3_SP0_c6.t1	XP_018464531.1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_018479657.1, XP_018455976.1, XP_018466179.1, XP_018462223.1, XP_018448723.1, XP_018448724.1, XP_018480139.1, XP_018489358.1, XP_018462149.1, XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1, XP_018464726.1, XP_018465240.1, XP_018435826.1, XP_018487693.1, XP_018479518.1, XP_018479614.1, XP_018468724.1, XP_018473766.1, XP_018466154.1, XP_018479922.1, XP_018482702.1, XP_018485455.1, XP_018483196.1, XP_018437596.1, XP_018443492.1, XP_018477728.1, XP_018487830.1, XP_018436238.1, XP_018439630.1, XP_018454081.1, XP_018453629.1, XP_018438060.1, XP_018465863.1, XP_018471975.1, XP_018453972.1, XP_018463970.1, XP_018455359.1, XP_018459674.1, XP_018448282.1, XP_018473323.1, XP_018436427.1, XP_018478071.1, XP_018478058.1, XP_018487797.1, XP_018462285.1, XP_018460028.1, XP_018443641.1, XP_018458760.1, XP_018487899.1, XP_018487674.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018461127.1, XP_018465497.1, XP_018487572.1, XP_018443685.1, XP_018474163.1, XP_018488171.1, XP_018461527.1, XP_018474045.1, XP_018487746.1, XP_018452687.1, XP_018464104.1, XP_018453152.1, XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1, XP_018443248.1, XP_018459130.1, XP_018458777.1, XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	XP_018463485.1, XP_018435713.1
OG0000009	ESY2_g34470_DN1_SP0_c0.t1	XP_018458816.1
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	XP_018479454.1
OG0000009	ESY13_g56733_DN2_SP0_c0.t1, ESY11_g54694_DN3_SP0_c0.t1	XP_018467691.1
OG0000009	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1	XP_018473642.1
OG0000009	ESY18_g63291_DN2_SP0_c0.t1, ESY8_g59590_DN3_SP0_c0.t1, ESY7_g17672_DN2_SP0_c0.t1, ESY2_g38373_DN2_SP0_c0.t1	XP_018473607.1
OG0000009	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	XP_018460890.1, XP_018454026.1, XP_018463890.1, XP_018466227.1, XP_018479847.1, XP_018473842.1, XP_018435552.1, XP_018443423.1
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	XP_018448673.1, XP_018475002.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_018436176.1, XP_018465398.1, XP_018435783.1, XP_018463028.1, XP_018463180.1, XP_018448497.1, XP_018479701.1, XP_018482968.1
OG0000011	ESY7_g17507_DN3_SP0_c53.t1	XP_018444097.1
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	XP_018475313.1
OG0000015	ESY4_g23103_DN1_SP0_c0.t1	XP_018467773.1
OG0000015	ESY3_g29176_DN1_SP0_c0.t1	XP_018459146.1
