Orthogroup	Camelina_sativa	Alyssum_gmelinii
OG0000000	XP_010484922.1, XP_010430686.1, XP_019088171.1	Ag034G3958400, Ag016G2362000, Ag076G5315100
OG0000000	XP_010418622.1	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800, Ag016G2390300, Ag014G2113800
OG0000000	XP_019094484.1, XP_010469202.1	Ag039G4294900, Ag016G2393600
OG0000000	XP_010497088.1, XP_010431321.2, XP_010480531.1	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	XP_010484733.1, XP_010507009.1	Ag036G4123700
OG0000000	XP_019084310.1, XP_010484878.1	Ag054G4887300
OG0000000	XP_010507236.1, XP_010513760.1, XP_010495271.1	Ag077G5323300, Ag003G0363000, Ag013G1740700
OG0000000	XP_019091045.1, XP_010418618.1, XP_010419439.1, XP_010419043.1, XP_019092333.1, XP_010436306.1	Ag055G4904400
OG0000000	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1	Ag061G5017100, Ag078G5391400, Ag048G4660900, Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500
OG0000000	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	XP_019092328.1, XP_019087439.1, XP_010456766.1	Ag045G4516900
OG0000000	XP_019101890.1	Ag066G5137400
OG0000000	XP_010463143.1	Ag013G1386400, Ag033G3486500
OG0000000	XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1	Ag031G3406900
OG0000000	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1	Ag034G3852600
OG0000000	XP_019100869.1	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300
OG0000000	XP_010495165.1, XP_010495244.1	Ag067G5173700
OG0000002	XP_019092262.1, XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1, XP_010506877.1, XP_010424742.1, XP_010495565.1	Ag027G3030200
OG0000002	XP_019096313.1	Ag013G1414500
OG0000003	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1	Ag005G0787400
OG0000003	XP_010430863.1, XP_010436564.1, XP_019082654.1, XP_010489852.1, XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1, XP_010418577.1, XP_010501871.1, XP_010501997.1, XP_010445721.1, XP_010445560.1, XP_019082529.1, XP_019100691.1	Ag022G2672700, Ag014G2084900
OG0000003	XP_010430973.1, XP_010412668.1, XP_019096351.1, XP_010501806.1, XP_010512971.1, XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1, XP_010496100.1, XP_010474339.1, XP_010418675.1	Ag067G5203100
OG0000003	XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010445454.1, XP_010430851.1, XP_010445963.1, XP_010418736.1, XP_010425414.1, XP_010430719.1, XP_010463243.1, XP_010495605.1, XP_010474252.1, XP_010423438.1, XP_019087502.1, XP_010462838.1, XP_019089261.1, XP_019100972.1, XP_010435962.1, XP_010513407.1	Ag004G0525300
OG0000003	XP_019087435.1, XP_010481038.1	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000003	XP_010473894.1, XP_010431475.1, XP_019095868.1	Ag025G2976100
OG0000003	XP_010446092.1	Ag013G1682200, Ag011G1271000
OG0000003	XP_010495645.1	Ag011G1183800
OG0000004	XP_010445863.1, XP_010495482.1, XP_010446038.1, XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1	Ag033G3561100
OG0000004	XP_010488713.1, XP_019098283.1, XP_019097715.1, XP_010479590.1, XP_019094707.1	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	XP_019096757.1	Ag014G1774700
OG0000004	XP_019084411.1, XP_010445388.1, XP_010501566.1, XP_010507019.1, XP_010518611.1	Ag050G4758900
OG0000004	XP_010495705.2	Ag039G4237400
OG0000004	XP_010480743.1, XP_010474178.1, XP_010468397.1, XP_010430704.1, XP_010495973.1, XP_010507007.1, XP_010418888.1, XP_010507177.1, XP_010424969.1, XP_019100923.1, XP_010470702.1, XP_010456912.1, XP_010451293.2, XP_019082581.1, XP_019094576.1, XP_010481112.1, XP_010468418.1, XP_010495146.1, XP_019089063.1	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400
OG0000004	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1	Ag066G5158800
OG0000005	XP_010484739.1	Ag013G1642000, Ag036G4090400
OG0000007	XP_010501923.1	Ag003G0374300
OG0000008	XP_010451669.1	Ag027G3059500
OG0000008	XP_010418963.1, XP_010494551.1, XP_019090719.1, XP_019085413.1	Ag005G0786100
OG0000008	XP_019100927.1, XP_010480868.1, XP_010497028.1, XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1, XP_010497042.1, XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1	Ag027G3054100
OG0000008	XP_019085490.1, XP_010451904.1	Ag014G2109900
