Orthogroup	Arabidopsis_lyrata_NCBI	Brassica_rapa
OG0000000	XP_020887909.1	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	XP_020883444.1	XP_033146952.1
OG0000000	XP_020890732.1	XP_033139897.1
OG0000000	XP_020874113.1	XP_033131605.1, XP_033131962.1, XP_033147600.1, XP_033146511.1, XP_033145007.1, XP_033135264.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033130565.1, XP_033134232.1, XP_033148785.1, XP_033142632.1, XP_033143073.1
OG0000003	XP_020881895.1	XP_033145314.1, XP_009145336.1
OG0000003	XP_020889841.1	XP_009123480.1, XP_033129481.1, XP_033134448.1, XP_033143250.1, XP_018510870.2
OG0000003	XP_020883515.1	XP_033142170.1, XP_033143214.1
OG0000004	XP_020870151.1, XP_020870162.1	XP_033140624.1
OG0000004	XP_020891399.1	XP_033138950.1, XP_033130324.1
OG0000004	XP_020880754.1, XP_020873125.1, XP_020887737.1	XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1, XP_033132457.1, XP_033132962.1
OG0000004	XP_020878681.1	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1
OG0000005	XP_020877200.1	XP_033144892.1
OG0000005	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1	XP_018511976.2
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	XP_009113007.1, XP_033148226.1, XP_009106784.1, XP_033147287.1, XP_018514447.1
OG0000005	XP_020874036.1	XP_033139286.1
OG0000007	XP_020882643.1	XP_033131877.1
OG0000007	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1
OG0000007	XP_020871008.1	XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1, XP_033145376.1, XP_033147221.1, XP_033128792.1, XP_018509939.2
OG0000007	XP_020880934.1	XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1
OG0000007	XP_020866419.1	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1
OG0000008	XP_020882642.1, XP_020879664.1	XP_033139686.1, XP_033140769.1
OG0000008	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1	XP_009115858.3
OG0000008	XP_020879836.1	XP_033138353.1
OG0000009	XP_020887659.1	XP_033139461.1, XP_009142536.1, XP_009111228.2, XP_033141077.1
OG0000009	XP_020883429.1	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1
OG0000009	XP_020877155.1, XP_020876055.1	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	XP_020881689.1	XP_009109961.2, XP_033148561.1, XP_009139324.1
OG0000009	XP_020882780.1	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1
OG0000009	XP_020867197.1	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1
OG0000011	XP_020873638.1	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1
OG0000011	XP_020878589.1, XP_020869090.1	XP_018509279.1, XP_033141867.1
OG0000011	XP_020876758.1, XP_020889800.1, XP_020881514.1	XP_033144010.1
OG0000011	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1	XP_033143559.1, XP_033143864.1, XP_033136826.1
OG0000011	XP_020885819.1, XP_020866216.1	XP_009119519.1
OG0000011	XP_020889856.1, XP_020872445.1, XP_020875855.1	XP_033132530.1
OG0000011	XP_020875848.1	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
OG0000012	XP_020871500.1	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000015	XP_020870556.1	XP_033148829.1
OG0000021	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	XP_020873422.1	XP_009142868.1
OG0000022	XP_020878202.1	XP_009121467.1
OG0000022	XP_002886462.1	XP_009112698.1
OG0000022	XP_020890773.1	XP_009112701.1
OG0000022	XP_020869509.1	XP_033134453.1
OG0000022	XP_020868327.1, XP_020870640.1, XP_020868325.1	XP_033133748.1
OG0000022	XP_020869508.1, XP_020870927.1	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	XP_020869233.1	XP_009118532.1
OG0000022	XP_020865918.1, XP_020890021.1	XP_009112843.1
OG0000022	XP_002868609.1	XP_009140073.1
OG0000022	XP_002883021.2	XP_009114567.1
OG0000023	XP_020885189.1	XP_033146615.1, XP_033128492.1
OG0000023	XP_020874097.1	XP_009139567.2, XP_018513679.2
OG0000023	XP_020876901.1	XP_018509908.2
OG0000023	XP_020872176.1	XP_009150011.2
OG0000023	XP_020888558.1	XP_033131417.1
OG0000023	XP_020875073.1	XP_033140796.1, XP_033147063.1
OG0000023	XP_020873405.1	XP_033132665.1
OG0000024	XP_020888987.1	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000024	XP_002875716.2	XP_009116539.1
OG0000024	XP_002893654.2	XP_033132209.1
OG0000025	XP_020877486.1	XP_033129969.1
OG0000025	XP_020876192.1	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1
OG0000026	XP_020879791.1	XP_033135950.1, XP_033148527.1, XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1
OG0000027	XP_002872592.1	XP_033142038.1
OG0000027	XP_002872595.1	XP_033142132.1
OG0000027	XP_020873367.1	XP_033132923.1
OG0000027	XP_020873341.1	XP_009108600.1
OG0000027	XP_020873352.1, XP_020873363.1	XP_033144191.1
OG0000027	XP_020867640.1	XP_009108162.1
OG0000027	XP_020873349.1	XP_009136791.2
OG0000028	XP_020871166.1, XP_020886436.1	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000028	XP_020878158.1	XP_033136215.1
OG0000028	XP_020877991.1, XP_020873006.1	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	XP_020875061.1	XP_009148196.2
OG0000028	XP_020865869.1, XP_020865879.1	XP_033138713.1
OG0000028	XP_020880460.1, XP_020880469.1, XP_020880478.1	XP_033140827.1, XP_033140822.1
OG0000029	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
