Orthogroup	Odontarrhena_muralis	Brassica_oleracea
OG0000000	Om007G305590	XP_013624387.1, XP_013624852.1, XP_013633000.1, XP_013639674.1, XP_013607775.1
OG0000000	Om008G349060	XP_013624469.1, XP_013632641.1, XP_013614693.1
OG0000000	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	XP_013594448.1, XP_013633089.1
OG0000000	Om005G215690, Om007G308190	XP_013639729.1, XP_013583420.1
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	XP_013616947.1
OG0000000	Om004G154060, Om009G363570, Om004G177240, Om006G269410	XP_013639843.1
OG0000000	Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250	XP_013601799.1
OG0000002	Om007G309520, Om002G043270	XP_013589182.1
OG0000002	Om004G152900	XP_013613929.1, XP_013629257.1, XP_013601258.1, XP_013594570.1, XP_013601542.1, XP_013617416.1, XP_013617579.1, XP_013617538.1, XP_013630563.1, XP_013613891.1, XP_013617544.1, XP_013624534.1, XP_013594480.1
OG0000003	Om007G276690	XP_013632989.1, XP_013624327.1, XP_013594796.1, XP_013624018.1, XP_013626656.1, XP_013589417.1, XP_013639462.1, XP_013624390.1, XP_013624966.1, XP_013601267.1, XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1, XP_013627530.1, XP_013601768.1, XP_013632538.1, XP_013624806.1, XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013624595.1, XP_013633002.1, XP_013614810.1, XP_013601863.1, XP_013589557.1
OG0000003	Om004G173160	XP_013601450.1
OG0000003	Om001G017050	XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1
OG0000003	Om007G309690	XP_013601228.1
OG0000003	Om005G217790	XP_013639562.1
OG0000004	Om008G333050	XP_013632878.1
OG0000004	Om004G154430, Om006G235390	XP_013601459.1
OG0000004	Om003G099290	XP_013633199.1, XP_013608522.1
OG0000004	Om004G159780	XP_013617255.1, XP_013624915.1, XP_013595166.1, XP_013617747.1, XP_013583433.1, XP_013608467.1, XP_013633135.1, XP_013633487.1, XP_013639278.1, XP_013608309.1, XP_013633016.1, XP_013607729.1, XP_013607977.1, XP_013589266.1, XP_013629442.1, XP_013589255.1, XP_013608111.1, XP_013594674.1, XP_013594666.1, XP_013594588.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624981.1, XP_013632943.1, XP_013589029.1, XP_013628140.1, XP_013614584.1, XP_013594791.1, XP_013639579.1, XP_013594673.1, XP_013632803.1, XP_013639401.1, XP_013607959.1, XP_013624943.1, XP_013624834.1
OG0000005	Om001G005070	XP_013633213.1
OG0000005	Om007G300980, Om001G001060, Om006G273080	XP_013616789.1, XP_013607654.1
OG0000005	Om005G208940	XP_013617979.1
OG0000005	Om006G275350	XP_013589709.1
OG0000005	Om007G300990, Om008G339980	XP_013614431.1
OG0000005	Om007G299590	XP_013594815.1, XP_013613616.1
OG0000005	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	XP_013615193.1, XP_013624812.1, XP_013617492.1
OG0000005	Om002G076060	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1, XP_013601519.1, XP_013616941.1, XP_013639093.1, XP_013589256.1, XP_013583274.1
OG0000005	Om004G151870, Om002G089170, Om004G141530	XP_013594364.1, XP_013633351.1
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	XP_013616974.1
