Orthogroup	Conringia_planisiliqua	Brassica_oleracea
OG0000000	CP24_g46939_DN1_SP0_c.t1	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1
OG0000000	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1	XP_013639285.1, XP_013616974.1
OG0000000	CP18_g11997_DN3_SP0_c.t1	XP_013589224.1
OG0000000	CP1_g39688_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP22_g17660_DN2_SP0_c.t1	XP_013607847.1
OG0000000	CP9_g27696_DN1_SP0_c.t1	XP_013595033.1, XP_013632378.1
OG0000000	CP28_g33903_DN1_SP0_c.t1, CP27_g41818_DN2_SP0_c.t1	XP_013631219.1
OG0000000	CP21_g10514_DN2_SP0_c.t1, CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1	XP_013608467.1
OG0000000	CP18_g12259_DN2_SP0_c.t1	XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1
OG0000000	CP18_g12261_DN2_SP0_c.t1, CP18_g11996_DN1_SP0_c.t1	XP_013632831.1
OG0000000	CP5_g2400_DN1_SP0_c.t1	XP_013633053.1
OG0000000	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1	XP_013624139.1
OG0000000	CP3_g14602_DN2_SP0_c.t1	XP_013594922.1, XP_013639569.1
OG0000000	CP2_g50561_DN2_SP0_c.t1	XP_013617205.1, XP_013594406.1, XP_013601638.1
OG0000000	CP3_g14989_DN1_SP0_c.t1	XP_013628112.1
OG0000000	CP5_g2386_DN1_SP0_c.t1	XP_013632634.1
OG0000000	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1	XP_013616899.1, XP_013614454.1
OG0000000	CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1	XP_013594530.1
OG0000000	CP36_g50963_DN2_SP0_c.t1	XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1
OG0000000	CP2_g49699_DN2_SP0_c.t1	XP_013632878.1
OG0000000	CP15_g34707_DN2_SP0_c.t1	XP_013633487.1, XP_013633135.1, XP_013639278.1
OG0000002	CP35_g52018_DN2_SP0_c.t1	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1
OG0000002	CP3_g16174_DN2_SP0_c.t1	XP_013632468.1
