Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg001G000010	1195	AT4G38120.3	AT4G38120.3	orthologue	GO:0005739;GO:0008150;GO:0005634;GO:0000325;GO:0003674	ARM repeat superfamily protein;ARM repeat superfamily protein (At4g38120)
Cg001G000020	497	AT4G38130.1	AT4G38130.1	orthologue	GO:0004407;GO:0005634;GO:0009861;GO:0042742;GO:0070822;GO:0005515;GO:1901001;GO:0045892;GO:0000118;GO:2000026;GO:1902459;GO:0009294;GO:0008270;GO:0040029;GO:0006325;GO:0141221;GO:0046872;GO:0016575	Histone deacetylase (EC 3.5.1.98);Histone deacetylase 19 (AtHD1) (HD) (EC 3.5.1.98)
Cg001G000030	148	AT4G38140.1	AT4G38140.1	orthologue	GO:0003674;GO:0016567;GO:0016020;GO:0008270;GO:0016740	RING-H2 finger protein ATL18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL18)
Cg001G000040	275	AT4G38150.1	AT4G38150.1	orthologue	GO:0003674;GO:0008150;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At4g38150
Cg001G000050	352	AT4G38160.3	AT4G38160.3	orthologue	GO:0003727;GO:0009507;GO:0005739;GO:0008033;GO:0042651;GO:0003677;GO:0006355;GO:0003723;GO:0003690;GO:0009658;GO:0003676;GO:0005737;GO:0006353;GO:0043231	Mitochondrial transcription termination factor family protein;Transcription termination factor MTERF6, chloroplastic/mitochondrial (Mitochondrial transcription termination factor 6) (Protein PIGMENT DEFECTIVE 191)
Cg001G000060	540	AT4G38170.1	AT4G38170.1	orthologue	GO:0006355;GO:0008270;GO:0005575;GO:0005634	Protein FAR1-RELATED SEQUENCE 9
Cg001G000070	786	AT4G38180.1	AT4G38180.1	orthologue	GO:0005515;GO:0005634;GO:0006355;GO:0008270	Protein FAR1-RELATED SEQUENCE 5
Cg001G000080	1109	AT4G38190.1	AT4G38190.1	orthologue	GO:0030244;GO:0051753;GO:0005794;GO:0016757;GO:0016759;GO:0016760;GO:0009833;GO:0005886;GO:0009846;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein D4 (AtCslD4) (EC 2.4.1.-)
Cg001G000090	1705	AT4G38200.1	AT4G38200.1	orthologue	GO:0005634;GO:0032012;GO:0005802;GO:0003674;GO:0009507;GO:0005085;GO:0005829;GO:0015031;GO:0016020	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (ARF guanine-nucleotide exchange factor BIG1);SEC7-like guanine nucleotide exchange family protein
Cg001G000100	256	AT4G38210.1	AT4G38210.1	orthologue	GO:0009828;GO:0009664;GO:0009826;GO:0003674;GO:0006949;GO:0005576;GO:0016020	Expansin-A20 (AtEXPA20) (Alpha-expansin-20) (At-EXP20) (AtEx20) (Ath-ExpAlpha-1.23)
Cg001G000110	163	AT4G38213.1	AT4G38213.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016874	Tubulin-tyrosine ligase
Cg001G000120	435	AT4G38220.2	AT4G38220.2	orthologue	GO:0005886;GO:0004046;GO:0000325;GO:0005737;GO:0006520;GO:0099503;GO:0010043;GO:0005794;GO:0005783;GO:0046872;GO:0016787	N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)
Cg001G000130	379	AT4G38225.3	AT4G38225.3	orthologue	GO:0009507;GO:0008150;GO:0003674;GO:0016301	Glycerol kinase
