Orthogroup	Camelina_sativa	Conringia_planisiliqua
OG0000000	XP_010413204.1	CP8_g52821_DN1_SP0_c.t1
OG0000000	XP_010437344.1, XP_010474056.1	CP3_g14603_DN1_SP0_c.t1
OG0000000	XP_010419000.1, XP_010431245.1	CP28_g33903_DN1_SP0_c.t1
OG0000000	XP_010431244.1, XP_019089229.1	CP24_g47044_DN1_SP0_c.t1
OG0000000	XP_010484733.1, XP_010507009.1	CP27_g41816_DN1_SP0_c.t1
OG0000000	XP_010412393.1, XP_019093318.1, XP_010436852.1	CP6_g8175_DN3_SP0_c.t1
OG0000000	XP_019090119.1	CP4_g26294_DN2_SP0_c.t1
OG0000000	XP_010518602.1, XP_019089085.1	CP3_g15795_DN1_SP0_c.t1
OG0000000	XP_010419043.1, XP_019092333.1	CP27_g41817_DN2_SP0_c.t1
OG0000000	XP_010436306.1	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1
OG0000000	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1	CP2_g50561_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1
OG0000000	XP_019098248.1, XP_019093248.1, XP_019092295.1	CP13_g20778_DN3_SP0_c.t1, CP1_g40810_DN1_SP0_c.t1
OG0000000	XP_019084422.1, XP_010451787.1	CP6_g9325_DN2_SP0_c.t1
OG0000000	XP_010456795.1	CP17_g5953_DN1_SP0_c.t1
OG0000000	XP_010507173.1, XP_019101891.1	CP5_g2386_DN1_SP0_c.t1
OG0000000	XP_019101571.1	CP6_g8147_DN1_SP0_c.t1
OG0000000	XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1	CP9_g28197_DN3_SP0_c.t1
OG0000000	XP_019101890.1	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1
OG0000000	XP_019082488.1	CP8_g52615_DN2_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP2_g49678_DN3_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1
OG0000000	XP_010495165.1, XP_010495244.1	CP2_g49699_DN2_SP0_c.t1
OG0000002	XP_019091135.1	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1
OG0000002	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1	CP35_g52018_DN2_SP0_c.t1
OG0000002	XP_010475671.1, XP_010480715.1	CP4_g26884_DN2_SP0_c.t1
OG0000003	XP_019082654.1	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1
OG0000003	XP_010489852.1	CP15_g36147_DN2_SP0_c.t1
OG0000003	XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1	CP3_g15821_DN1_SP0_c.t1
OG0000003	XP_010418577.1, XP_010501871.1, XP_010501997.1	CP5_g1517_DN2_SP0_c.t1
OG0000003	XP_010445721.1	CP8_g52677_DN2_SP0_c.t1
OG0000003	XP_019094476.1	CP15_g36037_DN2_SP0_c.t1
OG0000003	XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1
OG0000003	XP_010475217.1	CP6_g8581_DN1_SP0_c.t1
OG0000003	XP_010418675.1	CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1
OG0000003	XP_019089261.1	CP5_g1881_DN3_SP0_c.t1
OG0000003	XP_019100972.1	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000003	XP_010463164.1, XP_019090146.1, XP_010473202.1	CP5_g3316_DN2_SP0_c.t1
OG0000003	XP_019087435.1	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1
OG0000003	XP_019092278.1	CP26_g51324_DN2_SP0_c.t1
OG0000003	XP_010436867.1	CP29_g22141_DN2_SP0_c.t1
