Orthogroup	Cardamine_amara	Euclidium_syriacum
OG0000000	evm.model.RL_7.1	ESY9_g43878_DN2_SP0_c0.t1
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	ESY3_g28075_DN1_SP0_c100.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000000	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374, evm.model.RL_7.1901, evm.model.RL_2.681	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	evm.model.RL_5.2510, evm.model.RL_3.454, evm.model.RL_1.3300, evm.model.RL_1.3293, evm.model.RL_1.3299, evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065, evm.model.RL_4.153, evm.model.RL_2.2031, evm.model.RL_4.3237, evm.model.RL_4.470, evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	evm.model.RL_2.1084	ESY8_g60803_DN3_SP0_c6.t1
OG0000003	evm.model.RL_6.671, evm.model.RL_8.1012, evm.model.RL_2.708	ESY1_g7089_DN3_SP0_c0.t1
OG0000005	evm.model.RL_7.1952, evm.model.RL_8.339	ESY7_g17772_DN2_SP0_c0.t1
OG0000005	evm.model.RL_1.3117	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000005	evm.model.RL_2.1096	ESY11_g53352_DN1_SP0_c0.t1
OG0000007	evm.model.RL_2.1094, evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	evm.model.RL_2.508	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1
OG0000007	evm.model.RL_3.2011	ESY9_g44627_DN1_SP0_c0.t1, ESY3_g30327_DN1_SP0_c0.t1, ESY3_g29102_DN2_SP0_c0.t1, ESY1_g10755_DN1_SP0_c14.t1, ESY11_g54832_DN1_SP0_c0.t1, ESY3_g28926_DN2_SP0_c0.t1, ESY2_g37456_DN1_SP0_c0.t1, ESY7_g16181_DN1_SP0_c0.t1, ESY8_g59126_DN2_SP0_c0.t1, ESY1_g5706_DN2_SP0_c0.t1, ESY4_g25005_DN1_SP0_c0.t1
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	ESY2_g36604_DN3_SP0_c0.t1
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539, evm.model.RL_4.2369, evm.model.RL_4.557, evm.model.RL_2.1095, evm.model.RL_2.2279, evm.model.RL_4.1690, evm.model.RL_7.1569, evm.model.RL_2.556	ESY19_g41595_DN1_SP0_c0.t1
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761, evm.model.RL_4.1914, evm.model.RL_7.1211	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	evm.model.RL_4.165	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641, evm.model.RL_5.2507, evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358, evm.model.RL_3.673, evm.model.RL_6.609, evm.model.RL_4.752, evm.model.RL_5.2591, evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397, evm.model.RL_6.796	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	evm.model.RL_4.1006	ESY13_g57357_DN1_SP0_c0.t1
OG0000015	evm.model.RL_1.3215	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	evm.model.RL_8.879	ESY7_g16245_DN2_SP0_c0.t1
OG0000017	evm.model.RL_7.1888	ESY15_g65203_DN3_SP0_c0.t1
OG0000017	evm.model.RL_2.1821	ESY1_g8955_DN2_SP0_c0.t1, ESY14_g20322_DN1_SP0_c0.t1, ESY13_g57019_DN3_SP0_c0.t1, ESY6_g47831_DN2_SP0_c0.t1, ESY4_g22920_DN3_SP0_c0.t1
OG0000017	evm.model.RL_6.717	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1
OG0000017	evm.model.RL_7.1516	ESY5_g674_DN3_SP0_c68.t1
OG0000017	evm.model.RL_3.2130	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
OG0000018	evm.model.RL_4.1915, evm.model.RL_6.190	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000018	evm.model.RL_7.1872	ESY9_g43986_DN3_SP0_c0.t1
OG0000019	evm.model.RL_7.2531	ESY24_g33175_DN3_SP0_c2.t1
OG0000020	evm.model.RL_7.2127	ESY15_g65701_DN1_SP0_c88.t1
OG0000020	evm.model.RL_8.1178	ESY3_g28065_DN2_SP0_c0.t1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	ESY9_g45027_DN2_SP0_c0.t1
OG0000021	evm.model.RL_5.2428	ESY10_g13998_DN2_SP0_c0.t1
OG0000021	evm.model.RL_3.587	ESY8_g60366_DN2_SP0_c0.t1
