Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_NCBI
OG0000000	As001G006630, As006G147610	XP_020886397.1, XP_020866436.1, XP_020870151.1, XP_020870162.1
OG0000003	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	XP_020874036.1
OG0000004	As010G231160	XP_020867739.1
OG0000006	As011G261190	XP_020870555.1, XP_020870157.1
OG0000006	As010G228090	XP_020866419.1, XP_002868379.2, XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_020868816.1, XP_020883895.1, XP_020866620.1, XP_020879876.1, XP_020873499.1, XP_020887609.1, XP_020874852.1, XP_020871008.1, XP_020880934.1, XP_020882643.1, XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1
OG0000010	As012G280540, As003G067340	XP_020871369.1
OG0000012	As007G176710	XP_020875418.1, XP_020880599.1, XP_020888103.1
OG0000014	As010G230580, As010G232150, As007G177430, As008G192770, As009G206390	XP_020874556.1
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	XP_020883676.1, XP_020890755.1, XP_020889910.1
OG0000015	As011G260400	XP_020870556.1
OG0000017	As006G147350	XP_020884768.1, XP_020872420.1
OG0000017	As011G261070, As010G227380	XP_020876951.1
OG0000019	As009G203070	XP_020876758.1, XP_020881514.1, XP_020889800.1
OG0000019	As012G281430, As001G013530	XP_020866193.1, XP_020870462.1
OG0000019	As010G228190	XP_020887011.1
OG0000021	As003G071480, As010G232120	XP_020883515.1
OG0000023	As003G061290	XP_020873345.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_020867640.1, XP_002872599.2
OG0000023	As003G061270	XP_002867727.1
OG0000026	As007G165250	XP_020872549.1, XP_020881073.1, XP_020879655.1
OG0000026	As008G188870	XP_020889652.1
OG0000029	As005G112730, As001G005440, As001G005430	XP_020889577.1
OG0000029	As004G091740, As005G109110	XP_020879586.1
OG0000031	As001G032000	XP_020891718.1, XP_020891198.1, XP_020865792.1, XP_020889844.1, XP_002886462.1
OG0000031	As009G202600	XP_020878202.1
OG0000031	As006G134510	XP_002868609.1, XP_002883021.2, XP_020873422.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_002869784.2
OG0000033	As003G059410, As003G059430, As003G059400	XP_020873360.1, XP_002867849.1
