Orthogroup	Cochlearia_excelsa	Erysimum_linariifolium
OG0000000	g26364	El001G044730
OG0000000	g41929, g42717, g42958, g42647, g20498	El005G264600
OG0000000	g3617	El005G264610
OG0000000	g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869	El001G044710
OG0000000	g26620, g4470, g21492	El004G210980, El005G262990, El005G263050, El005G264050
OG0000000	g48652, g52367	El003G177780
OG0000000	g42663, g35498	El001G044720, El001G051780
OG0000000	g29885, g42520, g43654, g8678, g51092, g18221, g42791, g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287	El004G209750
OG0000002	g1903	El004G212920
OG0000002	g35474	El002G130310
OG0000002	g6621, g22481, g22518, g22300	El001G051980
OG0000002	g51595, g22499, g38313, g49645	El004G212930
OG0000002	g17598, g51597, g28460, g25506, g14097, g4778	El004G208640
OG0000002	g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753	El002G130320
OG0000002	g43884, g51104, g38468, g47320	El001G039400
OG0000003	g3918, g36376, g25688, g7971	El003G191660, El006G317350
OG0000003	g36078	El003G189560
OG0000003	g35024, g42010	El002G128770
OG0000003	g41973	El004G210360
OG0000003	g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590	El007G351530
OG0000003	g15722, g16106, g21595	El003G181050
OG0000003	g50217	El002G128790, El002G128760, El002G138440
OG0000003	g4552	El006G306960
OG0000003	g20016, g21330, g20421, g48386, g8588, g16442	El007G350820, El007G350790
OG0000004	g10434, g43405, g12783, g14416, g3096	El001G079820
OG0000004	g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058, g52608, g29057, g30907	El006G321800
OG0000005	g36085, g26760, g14872, g44250	El001G038630
OG0000005	g36068	El002G135600
OG0000005	g22668, g39670, g49313, g181, g25460	El003G186250, El001G082120
OG0000005	g44061, g30358, g31394, g54192, g43888, g3832	El006G304740, El004G194240, El006G320990
OG0000005	g9848, g44251	El001G081400
OG0000005	g10943, g48006, g23664, g22013	El002G096830
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	El003G167150
OG0000005	g9847, g53582	El003G184490
OG0000005	g35969	El006G313160
OG0000005	g10582	El002G123530
OG0000005	g43359	El004G214890, El002G120930, El007G348880
OG0000005	g4402	El002G122720
OG0000005	g43360	El006G313170
OG0000005	g53018, g11716, g40876	El004G202650
OG0000006	g16483	El006G316810
OG0000007	g30821, g46860, g26833, g14950, g41879	El006G311600, El002G119880
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	El006G293980
OG0000008	g27813	El007G351000
OG0000008	g35285	El005G264190
OG0000008	g24450, g27833, g3220, g44274	El004G212460
OG0000008	g26783	El003G182320
OG0000008	g43762, g4391, g33124, g29630, g27680	El001G077860
OG0000010	g34294, g16618, g8241, g18650, g26348, g33262, g2094, g28227, g52910, g43026, g53109, g48054	El007G350710
OG0000010	g26675, g32792	El005G270270, El007G361510, El004G205900
OG0000011	g42924	El004G200940
OG0000011	g6006	El006G305950
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484, g26075, g4219, g9033	El002G082610
OG0000012	g35499, g33137, g3778, g26541, g4713, g35131, g35116, g35362, g42903, g6328, g21395	El002G120760
OG0000012	g15121	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000013	g52356	El007G349810
OG0000013	g24947, g35918, g53893, g41958, g13558	El007G350800
OG0000014	g10989	El006G319390, El001G002640
OG0000014	g14543, g14512, g14521, g36332, g48935, g14510, g14500, g14542, g14551, g42973, g14532, g49755, g24341, g35559, g35554, g48283, g33044, g24625, g3064, g43651, g17907, g43443, g40836, g15958, g51640, g52235	El001G041310
OG0000014	g43420, g26664, g36987, g53052, g50570, g50733, g573, g25624, g44199, g46635, g4677, g16585, g52312, g572, g37414, g37857, g1370, g39544, g44992	El003G178520
OG0000014	g30026, g25218, g52916, g47081	El004G198920
