Orthogroup	Aethionema_saxatile	Odontarrhena_muralis
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770	Om008G349060
OG0000000	As001G006630, As006G147610	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	As011G257780	Om004G155370, Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250
OG0000002	As004G091170	Om005G222520, Om004G148400, Om001G016090
OG0000003	As008G191470	Om004G173160
OG0000003	As003G066710	Om005G217810
OG0000003	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	Om005G217790
OG0000004	As007G177100	Om003G114900, Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730, Om008G333050
OG0000004	As009G212350	Om007G317080, Om007G314040, Om006G243290, Om001G014830
OG0000004	As010G231160	Om003G099290
OG0000005	As012G278720	Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940
OG0000005	As007G177090, As005G111430	Om007G309960, Om001G015550, Om009G364000, Om003G110250, Om003G100620, Om006G257980, Om005G226590, Om008G346020
OG0000006	As010G228090	Om005G227740
OG0000008	As002G040830, As009G213820	Om007G307170
OG0000010	As010G230410	Om003G108840
OG0000011	As012G276770, As007G163680, As002G041220, As004G093340	Om005G184900
OG0000012	As007G176710	Om002G076390
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000013	As008G192150, As010G226760, As001G010890	Om001G020870
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	Om002G089030
OG0000014	As007G177950	Om007G309000
OG0000015	As010G225860	Om008G350280
OG0000015	As001G010760	Om005G217510
OG0000015	As011G260400	Om002G088840
OG0000017	As006G144790, As012G280790	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	As011G261070, As010G227380	Om003G101880, Om004G153720
OG0000019	As004G091650	Om005G222770
OG0000019	As010G228470	Om003G104700
OG0000020	As001G015310, As011G260550	Om007G307160
OG0000020	As007G165150, As001G010310, As001G015320	Om010G364780, Om008G361310
OG0000020	As002G039920, As009G211220	Om007G309390
OG0000021	As002G035760, As001G004280	Om005G226540, Om001G020790
OG0000021	As005G111040	Om008G331340
OG0000021	As003G071480, As010G232120	Om001G020780, Om001G006810, Om002G059070
OG0000023	As003G061360	Om001G010400
OG0000023	As004G084560, As004G084580, As004G084570	Om008G351620, Om008G351630, Om008G351640, Om008G351650
OG0000023	As003G061280	Om001G010350
OG0000023	As003G061270	Om001G010250
OG0000029	As001G005440	Om008G343780
OG0000029	As004G091740, As005G109110	Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	As008G192170	Om007G298330
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	Om004G153710
OG0000030	As001G013350	Om005G215420
OG0000031	As009G202600	Om006G252510
OG0000031	As006G134510	Om007G317990, Om002G063040, Om001G018890
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	Om001G010240
OG0000033	As003G059410, As003G059430, As003G059400	Om001G007120
OG0000033	As003G061210, As003G061160	Om001G010220, Om001G010110
OG0000034	As011G258840	Om009G362950
OG0000037	As009G206430	Om005G188070
OG0000038	As009G211050, As009G210990, As009G210820	Om005G196570, Om004G131590
OG0000038	As007G157540	Om001G023300
OG0000041	As002G037900	Om007G301270, Om004G141670, Om009G364080, Om007G307140
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000047	As006G136700	Om002G074710, Om003G111370, Om003G113410
OG0000048	As006G137100, As006G137070, As006G137030	Om002G045390
OG0000048	As006G136970	Om002G045400
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	Om007G296190, Om007G296250, Om007G296260
OG0000054	As004G090600	Om002G043200, Om007G279110, Om006G263890
OG0000054	As007G163400	Om006G251510
OG0000054	As011G258570, As001G015330, As001G010290, As001G006440	Om008G354720, Om007G277220, Om003G128320
OG0000056	As001G013030, As001G006540, As004G092960, As003G066320	Om003G107750, Om001G017780
OG0000060	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980	Om008G348970, Om003G127290, Om006G235900
OG0000063	As006G129470	Om006G254290
OG0000065	As012G279540, As012G279660	Om006G267840, Om005G217710
OG0000065	As012G279640, As006G149050, As012G279570	Om004G149910, Om001G017300
OG0000065	As002G040810	Om006G263980
OG0000065	As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560	Om004G155340, Om007G307990
OG0000066	As010G237910	Om001G039490
OG0000066	As002G052230	Om004G164550
OG0000066	As002G052910	Om004G165560, Om006G231870, Om008G337830, Om006G231860
OG0000066	As005G118450	Om004G165570
OG0000067	As011G256070, As011G256050	Om004G137760
OG0000070	As006G149230, As011G259300	Om005G218350
OG0000073	As006G137430	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440, Om001G008960
OG0000073	As002G034500, As002G034570, As002G034640	Om002G052330
OG0000079	As012G285110	Om003G122890, Om003G122910, Om003G122930, Om003G122940, Om003G123020, Om003G122800, Om003G122790, Om003G122810, Om003G122730, Om003G122880, Om003G122870
OG0000082	As009G206420	Om008G349260
OG0000083	As006G138550	Om005G206370, Om008G340620, Om002G046520
OG0000086	As009G216030, As009G216300, As009G216040	Om004G163220
OG0000087	As010G222260	Om006G238380
OG0000087	As006G128780	Om007G282390
OG0000087	As002G051000	Om004G162490
OG0000087	As012G274980	Om008G339690
OG0000087	As004G086530	Om008G355890
OG0000087	As003G058850	Om001G006430
OG0000087	As010G237710	Om004G137360
