Orthogroup	Alyssum_gmelinii	Brassica_rapa
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	XP_009139680.2, XP_009119930.2, XP_009128546.1
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	XP_009123079.1
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	XP_009150345.1, XP_033134315.1
OG0000000	Ag011G1252700, Ag054G4887300	XP_033146952.1
OG0000000	Ag055G4904400	XP_009140188.1, XP_009150035.2, XP_018514383.1, XP_033148610.1, XP_009150816.2, XP_009103791.2, XP_009103405.1
OG0000000	Ag061G5017100	XP_033128765.1
OG0000000	Ag048G4660900	XP_009108636.2
OG0000000	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100	XP_033132438.1
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1
OG0000000	Ag045G4516900	XP_033130110.1
OG0000000	Ag066G5137400	XP_009129274.1
OG0000000	Ag031G3406900	XP_033131605.1, XP_033131962.1
OG0000000	Ag067G5173700	XP_009124577.2
OG0000003	Ag005G0787400	XP_033145314.1, XP_009145336.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_009123480.1, XP_033129481.1, XP_033134448.1, XP_033143250.1, XP_018510870.2
OG0000003	Ag067G5203100	XP_033129527.1
OG0000003	Ag004G0525300	XP_009136045.1, XP_033134345.1, XP_009132643.2
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	XP_033143345.1, XP_033148588.1, XP_033129372.1
OG0000003	Ag025G2976100	XP_033129330.1
OG0000003	Ag013G1682200, Ag011G1271000	XP_033136094.1
OG0000004	Ag033G3561100	XP_033142309.1, XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	XP_033140624.1
OG0000004	Ag014G1774700	XP_033138950.1, XP_033130324.1
OG0000004	Ag039G4237400	XP_033142456.1
OG0000004	Ag015G2248700	XP_033131609.1
OG0000004	Ag038G4178200	XP_033131705.1
OG0000004	Ag004G0763800	XP_033129977.1
OG0000005	Ag025G2943500	XP_033148793.1
OG0000007	Ag003G0374300	XP_033146627.1
OG0000008	Ag027G3059500	XP_033145381.1, XP_033147955.1
OG0000008	Ag027G3054100	XP_033145226.1
OG0000008	Ag001G0025300	XP_009115858.3, XP_033131438.1, XP_033138353.1, XP_033131793.1, XP_033131838.1
OG0000009	Ag034G3970500, Ag034G3983500	XP_009142536.1, XP_009111228.2
OG0000009	Ag034G3983600	XP_033143163.1
OG0000009	Ag034G3964200, Ag048G4700800	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1
OG0000009	Ag015G2264800	XP_009112590.1, XP_018510720.2, XP_009148188.2, XP_009105597.2, XP_033130816.1, XP_009140970.1, XP_033133437.1
OG0000009	Ag058G4969600, Ag052G4854400	XP_033128715.1, XP_018515150.1
OG0000009	Ag016G2319900, Ag025G2919200	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	Ag013G1476000	XP_009103820.1, XP_018512871.2, XP_033143266.1
OG0000011	Ag019G2529100, Ag039G4286000	XP_018509279.1, XP_033141867.1
OG0000011	Ag027G3007700	XP_009138607.1, XP_033134171.1, XP_018511598.1, XP_009144754.1, XP_009121335.1, XP_009119519.1, XP_009152174.1, XP_033146667.1, XP_033143848.1, XP_033134783.1, XP_033132530.1
OG0000014	Ag002G0182700	XP_033136253.1
OG0000015	Ag018G2438800	XP_018509062.1, XP_009118914.1
OG0000015	Ag002G0203200	XP_009105628.1
OG0000015	Ag024G2875100	XP_009107707.1
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	XP_033139921.1
OG0000018	Ag013G1384600	XP_033128118.1, XP_009113453.2, XP_033131412.1, XP_033144201.1
OG0000018	Ag074G5275600, Ag020G2558600	XP_033147468.1
OG0000020	Ag068G5227400	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1
