Orthogroup	Arabidopsis_lyrata_NCBI	Alyssum_gmelinii
OG0000000	XP_020886399.1, XP_020874109.1, XP_020881080.1	Ag004G340890, Ag001G084200
OG0000000	XP_020878681.1	Ag003G248650, Ag004G363090
OG0000000	XP_020886397.1, XP_020866436.1, XP_020870151.1, XP_020870162.1	Ag002G167150
OG0000003	XP_020874036.1	Ag007G647490
OG0000004	XP_020872418.1, XP_020867739.1	Ag008G684310
OG0000004	XP_020874113.1	Ag006G503330
OG0000005	XP_020876464.1, XP_020881689.1	Ag005G452100
OG0000005	XP_020876055.1, XP_020877155.1	Ag005G414560, Ag002G110220, Ag005G402610, Ag004G325230, Ag002G102270, Ag007G655680, Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	XP_020885673.1	Ag004G390840, Ag004G351220, Ag006G508910
OG0000006	XP_020880934.1	Ag005G455250
OG0000007	XP_020887823.1	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	XP_020885936.1	Ag006G574510, Ag002G195530, Ag002G132070, Ag002G132800
OG0000008	XP_020867861.1, XP_020876690.1	Ag005G451490
OG0000008	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020879646.1, XP_020872716.1	Ag001G015890
OG0000012	XP_020866256.1	Ag007G621260, Ag005G417190
OG0000012	XP_020888454.1	Ag007G633420
OG0000012	XP_020872338.1, XP_020881433.1	Ag003G250900
OG0000012	XP_020874097.1	Ag003G250910
OG0000012	XP_020872339.1	Ag002G161720
OG0000014	XP_020874556.1	Ag001G020750
OG0000017	XP_020874114.1, XP_002883754.2, XP_020879010.1	Ag005G432180, Ag001G042370
OG0000017	XP_020879892.1, XP_020879506.1, XP_020887777.1	Ag002G124100, Ag004G375560, Ag001G050140
OG0000018	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1	Ag007G609170
OG0000019	XP_020881858.1	Ag007G613770, Ag002G147220, Ag003G285010
