Orthogroup	Cardamine_hirsuta	Arabidopsis_thaliana
OG0000008	CARHR159360	AT5G28780.1
OG0000008	CARHR161350	AT3G51690.1, AT3G51700.1
OG0000009	CARHR217600	AT4G09490.1
OG0000009	CARHR153540	AT2G06845.1
OG0000011	CARHR218510	AT3G30370.1, AT1G18050.1
OG0000020	CARHR213120	AT2G06420.1
OG0000022	CARHR234420	AT4G26800.2
OG0000022	CARHR196550	AT5G16640.1
OG0000022	CARHR048190	AT1G62914.1, AT1G62670.1
OG0000022	CARHR051050, CARHR048810	AT1G63130.1
OG0000022	CARHR049170	AT1G62680.1
OG0000022	CARHR048480, CARHR048800	AT1G63080.1, AT1G62930.1
OG0000022	CARHR048440, CARHR047970	AT1G63070.1
OG0000022	CARHR048220	AT1G12615.1
OG0000022	CARHR049120	AT1G62720.1
OG0000022	CARHR013000	AT1G12700.2
OG0000022	CARHR046360	AT1G64583.1
OG0000022	CARHR046370	AT1G64580.1
OG0000022	CARHR213210	AT5G41170.1
OG0000022	CARHR091960	AT3G16710.1
OG0000024	CARHR116780	AT1G60370.1
OG0000024	CARHR113190	AT1G33020.1, AT1G33010.1
OG0000027	CARHR255070	AT4G11470.2
OG0000027	CARHR057450	AT4G23320.3
OG0000027	CARHR230630	AT4G23290.2
OG0000027	CARHR230470, CARHR230480	AT4G23240.1
OG0000027	CARHR230510	AT4G23260.1
OG0000027	CARHR230500	AT4G23250.2
OG0000027	CARHR230410	AT4G23200.1
OG0000027	CARHR254870	AT4G11530.1
OG0000027	CARHR254910, CARHR254920	AT4G11521.1
OG0000027	CARHR230300	AT4G23190.1
OG0000027	CARHR230440	AT4G23210.3
OG0000027	CARHR230330, CARHR230640	AT4G23300.1
OG0000028	CARHR285330	AT4G13680.1
OG0000028	CARHR289310	AT5G53240.1
OG0000028	CARHR269260	AT5G55870.1, AT5G54330.1
OG0000028	CARHR269250	AT5G54320.1
OG0000028	CARHR268630	AT5G55270.1, AT5G55880.1, AT5G55890.1
OG0000028	CARHR289300	AT5G53230.1
OG0000030	CARHR060010, CARHR059990	AT1G67450.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000034	CARHR230270, CARHR230290	AT4G23180.1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	AT4G21400.1
OG0000034	CARHR289950	AT4G21410.3
OG0000034	CARHR106160	AT4G00970.1
OG0000034	CARHR230230, CARHR230200	AT4G23130.2
OG0000035	CARHR120350	AT2G07240.1
OG0000035	CARHR034790, CARHR216710, CARHR153260, CARHR182390	AT4G04957.1
OG0000038	CARHR259820	AT4G23160.2
OG0000043	CARHR145030	AT5G42905.1
OG0000044	CARHR175170, CARHR175250	AT5G46500.1
OG0000044	CARHR175260	AT5G46470.1
OG0000044	CARHR174840	AT5G46520.2, AT5G46510.1
OG0000044	CARHR195110	AT5G17970.1
OG0000044	CARHR290500, CARHR222990, CARHR223540	AT4G16960.1, AT4G16940.2, AT4G16900.1
OG0000046	CARHR159290	AT5G28810.1, AT2G10260.1
OG0000048	CARHR207670	AT3G49440.1
OG0000048	CARHR126120	AT2G19630.1
OG0000051	CARHR137510	AT2G42460.1
OG0000051	CARHR137530	AT2G42470.1
OG0000051	CARHR127280	AT2G42455.1
OG0000051	CARHR137550, CARHR137540	AT2G42480.1
OG0000052	CARHR148060	AT3G26920.1
OG0000052	CARHR065210, CARHR065340	AT1G55030.2
OG0000052	CARHR150860	AT4G13965.1
OG0000052	CARHR162490	AT4G00160.1, AT3G52680.1
OG0000052	CARHR162560	AT3G52690.1
OG0000052	CARHR157840	AT2G04230.1
OG0000052	CARHR162520	AT3G55670.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	AT3G19470.1, AT3G22770.1
OG0000055	CARHR222490, CARHR100820	AT3G17400.1
OG0000055	CARHR092560, CARHR092720	AT3G17620.1
OG0000055	CARHR094260	AT3G18120.1
OG0000055	CARHR092150, CARHR092000	AT3G16740.1
OG0000055	CARHR111010	AT2G18780.1
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	AT2G17830.1, AT5G42460.1
OG0000055	CARHR092630, CARHR092620, CARHR213520	AT3G17320.1
OG0000056	CARHR050320	AT1G61960.1
OG0000056	CARHR050020	AT1G62490.1
OG0000056	CARHR049970	AT1G62150.1
OG0000056	CARHR049990, CARHR050000	AT1G62110.1
OG0000056	CARHR050280, CARHR049980, CARHR050290	AT1G61980.1
OG0000056	CARHR050160	AT1G61970.1
OG0000056	CARHR155600	AT3G46950.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	AT2G07800.1
OG0000060	CARHR154290	AT1G07660.1
OG0000060	CARHR163630	AT5G59690.1
OG0000061	CARHR228580	AT1G47920.1, AT1G48390.1
OG0000061	CARHR270010	AT1G48400.1
OG0000061	CARHR039590	AT5G12450.1
OG0000061	CARHR123070	AT2G29910.6
OG0000061	CARHR151510, CARHR219570	AT1G64540.1, AT5G35995.1
OG0000064	CARHR054420, CARHR289730, CARHR289690	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000065	CARHR059270, CARHR059250	AT1G67000.1, AT1G66930.2
OG0000065	CARHR059080	AT1G66920.2
OG0000065	CARHR214400	AT5G38240.1
OG0000065	CARHR263400	AT5G39030.1
OG0000065	CARHR263410	AT5G39020.1
OG0000066	CARHR202910, CARHR279310	AT3G27360.1
OG0000066	CARHR279320, CARHR202900	AT1G09200.1
OG0000066	CARHR068990	AT1G13370.1
OG0000066	CARHR246630, CARHR202310, CARHR246640	AT5G10980.1
OG0000068	CARHR210190	AT5G03495.1, AT5G03480.1
OG0000069	CARHR012810	AT1G06925.1
OG0000070	CARHR010350	AT1G10230.1
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	CARHR020650	AT1G20140.1, AT2G25700.1
OG0000070	CARHR069500	AT1G75950.1
OG0000070	CARHR284690	AT5G42190.1
OG0000070	CARHR052170, CARHR288810	AT4G34210.1
OG0000072	CARHR153090	AT3G42140.1
OG0000075	CARHR247180	AT4G39550.1
OG0000075	CARHR247140	AT4G39580.1
OG0000075	CARHR247160	AT4G39560.1
OG0000075	CARHR286190, CARHR286200, CARHR286160	AT5G49000.2
OG0000076	CARHR247830	AT4G38940.1
OG0000077	CARHR054510	AT1G57670.1
OG0000077	CARHR145640	AT2G03030.1, AT2G03300.1
OG0000077	CARHR009640	AT1G09665.1
OG0000078	CARHR077950	AT3G03820.1
OG0000078	CARHR077940	AT3G03850.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	AT5G18050.1, AT5G18060.1, AT5G18020.1, AT5G18080.1, AT5G18010.1
OG0000079	CARHR151670, CARHR119610	AT2G07190.1
OG0000081	CARHR217030	AT2G37125.1, AT1G48285.1
OG0000081	CARHR117010	AT4G07445.1
OG0000081	CARHR264280	AT3G30165.1
OG0000086	CARHR276580	AT5G62800.1
OG0000086	CARHR214830	AT5G37890.1
OG0000086	CARHR058600	AT1G66610.1
OG0000089	CARHR189700	AT5G23860.1
OG0000089	CARHR122890	AT2G29550.1
OG0000089	CARHR200860	AT5G12250.1
OG0000089	CARHR178800	AT5G44340.1
OG0000089	CARHR227450	AT4G20890.1
OG0000089	CARHR020480	AT1G20010.1
OG0000089	CARHR069200	AT1G75780.1
OG0000091	CARHR192340, CARHR192330	AT5G20480.1
OG0000091	CARHR262970	AT5G39390.1
OG0000092	CARHR180960, CARHR036310	AT1G42710.1
OG0000092	CARHR216160	AT3G29765.1
OG0000092	CARHR150890	AT3G30235.1
OG0000092	CARHR293270	AT1G19260.1, AT4G09660.1
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	AT1G64840.1
OG0000095	CARHR117860	AT2G24250.1
OG0000096	CARHR084920	AT3G25460.1
OG0000096	CARHR093690	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000096	CARHR092810	AT3G18905.1
OG0000096	CARHR101790	AT1G25141.1
OG0000096	CARHR159080	AT3G49980.2
OG0000098	CARHR174970	AT1G27540.1, AT1G27580.1, AT1G27550.1
OG0000100	CARHR047080	AT1G63870.1
OG0000100	CARHR055030	AT1G56520.2, AT1G56510.1
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	AT1G63740.2
OG0000100	CARHR047140	AT1G63880.1
OG0000100	CARHR183030	AT5G35510.2
OG0000102	CARHR252110, CARHR252090, CARHR252060	AT5G52480.1
OG0000105	CARHR106060	AT5G38344.1
OG0000105	CARHR175830, CARHR174830, CARHR175790, CARHR175310, CARHR289490, CARHR175270, CARHR292210, CARHR178690, CARHR116320, CARHR175110, CARHR175150, CARHR175080	AT4G04110.1
OG0000106	CARHR055550	AT2G07760.1
OG0000107	CARHR119260, CARHR119250	AT2G27010.1, AT2G27000.1
OG0000107	CARHR095660	AT3G20140.1
OG0000107	CARHR095650	AT4G15380.1, AT3G20080.1
OG0000107	CARHR095610	AT3G20100.1
OG0000107	CARHR096820, CARHR096830	AT3G20960.2
OG0000107	CARHR097220, CARHR095680, CARHR095690, CARHR095670	AT3G20090.2
OG0000108	CARHR131960	AT3G53750.1, AT2G37620.1
OG0000108	CARHR285740	AT3G46520.1, AT5G59370.1
OG0000108	CARHR086670	AT3G12110.1
OG0000108	CARHR203590	AT5G09810.1
OG0000108	CARHR094190	AT3G18780.2
OG0000110	CARHR151660	AT1G36510.1, AT3G32260.1
OG0000111	CARHR148290	AT3G53330.1, AT4G01380.1
OG0000114	CARHR258830	AT1G36970.1, AT4G05555.1, AT3G31560.1
OG0000117	CARHR023940	AT1G23510.1
OG0000117	CARHR023950	AT1G23520.1
OG0000117	CARHR024070	AT1G23645.1
OG0000117	CARHR024100	AT1G23690.1
OG0000118	CARHR101240, CARHR101220	AT2G38590.1
OG0000118	CARHR133070, CARHR133060	AT5G41490.1, AT5G41500.1, AT5G41510.1
OG0000118	CARHR099660	AT3G25090.1, AT3G23685.1
OG0000119	CARHR150070, CARHR118170	AT3G43180.1
OG0000119	CARHR059580, CARHR150110	AT3G45540.1
