Orthogroup	Odontarrhena_muralis	Capsella_rubella
OG0000000	Om007G305590	XP_023638874.1, XP_023644517.1
OG0000000	Om008G349060	XP_023632701.1
OG0000000	Om005G215690, Om007G308190	XP_023639960.1
OG0000000	Om007G313100	XP_023633832.1
OG0000002	Om007G309520, Om002G043270	XP_023638855.1
OG0000003	Om007G276690	XP_023640321.1, XP_023639598.1, XP_023633718.1
OG0000003	Om004G173160	XP_023639625.1
OG0000003	Om007G309690, Om008G345700	XP_023643044.1
OG0000004	Om003G114900	XP_023638968.1
OG0000004	Om008G333050	XP_023632892.1, XP_023635799.1
OG0000004	Om003G099290	XP_023633818.1
OG0000004	Om004G159780	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1, XP_023634309.1, XP_023640349.1
OG0000004	Om008G320930	XP_023643231.1
OG0000005	Om004G141520	XP_023641325.1
OG0000005	Om004G151870, Om002G089170, Om004G141530	XP_023640809.1
OG0000006	Om005G227740	XP_023641719.1, XP_023637544.1
OG0000007	Om008G348570, Om007G299940, Om006G268360, Om002G076040	XP_023637681.1
OG0000007	Om007G308670, Om005G224350	XP_023633451.1
OG0000008	Om007G284450, Om008G361640, Om007G313430	XP_006305876.2, XP_023641963.1, XP_023633343.1, XP_006303816.2, XP_023644880.1, XP_023633617.1
OG0000012	Om002G076390	XP_023636242.1
OG0000012	Om007G305450	XP_023633772.1
OG0000013	Om003G108850, Om006G268640	XP_023634267.1, XP_023644229.1
OG0000014	Om007G309000	XP_023636038.1
OG0000017	Om003G112310	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1
OG0000017	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	XP_023640323.1
OG0000017	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	XP_006302668.2
OG0000017	Om003G101880, Om004G153720	XP_023636109.1
