Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_Rawat
OG0000000	Om007G305590	AL4G19570, AL1G59120
OG0000000	Om005G215690, Om007G308190	AL70U10050
OG0000000	Om007G313100	AL1G65560
OG0000002	Om007G309520, Om002G043270	AL5G30280, AL9U10140, AL3G49840, AL5G25580, AL7G43430, AL2G27160, AL7G45780, AL1G53170, AL3G15910, AL8G20200, AL1G57360, AL3G37080
OG0000003	Om007G276690	AL8G18430, AL97U10030, AL8G11290, AL1G36970, AL4G38100, AL7G13490, AL63U10040, AL4G12740
OG0000003	Om008G354600, Om002G078910, Om007G310130	AL7G43820
OG0000003	Om003G107890, Om007G304830	AL2G18790
OG0000003	Om008G345700	AL1G51880
OG0000003	Om005G217800, Om004G150180, Om001G017380	AL3G44970
OG0000004	Om003G114900	AL3G48680, AL5G22440, AL6G44150
OG0000004	Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730	AL1G56670
OG0000004	Om008G333050	AL8G17990, AL4G17570
OG0000004	Om007G317080, Om007G314040, Om006G243290, Om001G014830	AL7G47010
OG0000004	Om003G099290	AL5G12810
OG0000004	Om004G151610, Om003G106990	AL6G27580
OG0000004	Om007G313270	AL5G15620, AL1G31370
OG0000004	Om004G159780	AL1G63670, AL8G39910, AL7G43450, AL5G14690, AL4G13050, AL4G31100, AL6G34180, AL4G37840, AL5G16040, AL3G15150, AL9U11110, AL7G39420, AL7G41970, AL2G28000, AL7G52320
OG0000005	Om001G028590, Om007G295980	AL8G23160
OG0000005	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	AL2G39630
OG0000005	Om007G299590	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570
OG0000005	Om006G258880	AL2G12600
OG0000005	Om007G282810	AL251U10020, AL3G32130
OG0000005	Om002G076060	AL7G37950
OG0000006	Om005G227740	AL5G31160
OG0000007	Om002G079510	AL1G43930
OG0000007	Om006G268350, Om007G297600, Om005G190610, Om004G164520, Om006G258000	AL6G33910, AL4G36510
OG0000007	Om008G348570	AL1G62960
OG0000007	Om007G308670, Om005G224350	AL4G39790
OG0000007	Om006G248820, Om006G248770	AL7G44730
OG0000008	Om009G364060	AL6G44830, AL877U10020, AL8G22780
