Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0000003	AT1G43760.1	XP_033145314.1, XP_009145336.1
OG0000007	AT2G13770.1	XP_033140542.1
OG0000008	AT3G51690.1, AT3G51700.1	XP_009115858.3
OG0000009	AT3G26855.1	XP_033143163.1
OG0000009	AT1G10000.1	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1
OG0000009	AT2G06845.1	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1
OG0000021	AT1G52950.1	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	AT4G26800.2	XP_009142868.1
OG0000022	AT5G16640.1	XP_009121467.1
OG0000022	AT1G62680.1	XP_009112698.1
OG0000022	AT1G12615.1, AT1G62720.1	XP_009112701.1
OG0000022	AT1G12700.2	XP_033134453.1
OG0000022	AT1G12620.1	XP_033133748.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	AT1G06580.1	XP_009118532.1
OG0000022	AT1G64583.1, AT1G64580.1	XP_009112843.1
OG0000022	AT5G41170.1	XP_009140073.1
OG0000022	AT3G16710.1	XP_009114567.1
OG0000027	AT4G23320.3	XP_009136778.1, XP_009136797.2
OG0000027	AT4G23290.2	XP_009137329.1
OG0000027	AT4G23260.1	XP_033132923.1
OG0000027	AT4G23250.2	XP_009108600.1
OG0000027	AT4G23220.1	XP_033144191.1
OG0000027	AT4G11530.1	XP_009108162.1
OG0000027	AT4G23210.3	XP_009136791.2
OG0000028	AT5G53240.1	XP_033132412.1, XP_033132404.1, XP_009107001.1
OG0000028	AT5G54450.1	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	AT5G52930.1, AT5G52940.1	XP_033138713.1
OG0000029	AT5G36225.1, AT2G17905.1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000030	AT5G60560.2, AT3G20030.1	XP_033144643.1, XP_033142641.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	XP_033148474.1
OG0000030	AT1G66490.1	XP_033143643.1
OG0000030	AT3G13680.1	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
