Orthogroup	Eutrema_salsugineum	Cardamine_hirsuta
OG0000000	XP_024016239.1, XP_024006398.1	CARHR153350
OG0000007	XP_024006790.1	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1	CARHR258710
OG0000007	XP_024011309.1	CARHR180780, CARHR182530
OG0000007	XP_024011120.1	CARHR060230, CARHR133710, CARHR271640, CARHR058320
OG0000007	XP_024008018.1, XP_024006274.1, XP_024010318.1	CARHR096020
OG0000007	XP_024016334.1, XP_024014517.1, XP_024013385.1, XP_024016102.1, XP_024008005.1, XP_024014636.1, XP_024004080.1, XP_024013187.1	CARHR151410
OG0000007	XP_024016256.1, XP_024013573.1, XP_024016234.1	CARHR150730
OG0000007	XP_024013959.1, XP_024008092.1	CARHR024460
OG0000007	XP_024016262.1, XP_024004096.1	CARHR271650
OG0000007	XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1	CARHR054390
OG0000007	XP_024004117.1	CARHR099640, CARHR266880, CARHR029270, CARHR156020
OG0000007	XP_024016848.1	CARHR055800
OG0000007	XP_024013889.1	CARHR216040
OG0000007	XP_024007769.1	CARHR051840
OG0000007	XP_024013556.1, XP_024014247.1	CARHR032440, CARHR057030
OG0000008	XP_024009261.1	CARHR046080, CARHR116420
OG0000008	XP_024015912.1	CARHR159360
OG0000008	XP_024004048.1	CARHR217630
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	CARHR183140
OG0000008	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1	CARHR056560, CARHR114970, CARHR150550
OG0000008	XP_024007971.1	CARHR293430
OG0000008	XP_024011354.1	CARHR215010
OG0000008	XP_024013173.1	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000008	XP_024010217.1, XP_024010377.1	CARHR118910, CARHR216990, CARHR111800
OG0000009	XP_024014484.1, XP_024013044.1, XP_024009292.1	CARHR034640, CARHR017910
OG0000009	XP_024009307.1	CARHR077050, CARHR056420, CARHR034120
OG0000009	XP_024007257.1, XP_024009950.1	CARHR114650
OG0000009	XP_024011403.1, XP_024016212.1	CARHR153540, CARHR055780
OG0000011	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1	CARHR259400
OG0000012	XP_024010329.1	CARHR032720
OG0000012	XP_024010196.1	CARHR032700
OG0000014	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1	CARHR287490
OG0000015	XP_024014590.1, XP_024006904.1	CARHR258200, CARHR258330
OG0000015	XP_024012449.1, XP_024013064.1, XP_024007917.1	CARHR110600
OG0000022	XP_006413138.1	CARHR234420
OG0000022	XP_006400202.2	CARHR196550
OG0000022	XP_006391833.2	CARHR051050, CARHR048810, CARHR047980, CARHR049170
OG0000022	XP_006391821.1, XP_006391819.1, XP_006391862.1, XP_006391806.1, XP_006391783.1, XP_006391822.1, XP_024003783.1, XP_006391808.1, XP_006391749.1	CARHR048820, CARHR051020, CARHR048770
OG0000022	XP_006391829.2	CARHR045470, CARHR051030, CARHR048220, CARHR049120
OG0000022	XP_006417237.2	CARHR013000
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	CARHR012910
OG0000022	XP_006391605.2	CARHR046370
OG0000022	XP_024014798.1	CARHR213210
OG0000022	XP_024015415.1	CARHR091960
OG0000024	XP_006415351.1	CARHR116780
OG0000024	XP_006402766.1	CARHR168020, CARHR167830
OG0000025	XP_024007336.1, XP_024013062.1	CARHR288360
OG0000027	XP_024009838.1, XP_006396897.2	CARHR264010, CARHR255080, CARHR255070, CARHR255050
OG0000027	XP_006396896.1	CARHR255040
OG0000027	XP_024010236.1	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	XP_006413565.1	CARHR057450
OG0000027	XP_024013896.1	CARHR230500
OG0000027	XP_006413569.1	CARHR230400, CARHR230390
OG0000027	XP_006396890.1	CARHR254870
OG0000027	XP_024004623.1	CARHR230300
OG0000027	XP_006413573.1	CARHR055330
OG0000028	XP_006411607.2	CARHR244240
OG0000029	XP_024004858.1	CARHR056480, CARHR153130
OG0000029	XP_024013922.1	CARHR116610, CARHR153140
OG0000030	XP_024008003.1	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	XP_024016186.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_006401009.1	CARHR088150
OG0000030	XP_024013353.1	CARHR088870
OG0000032	XP_024009309.1	CARHR284240
OG0000032	XP_024004841.1, XP_024010402.1	CARHR266460
OG0000034	XP_006413571.1, XP_024010975.1	CARHR230270, CARHR230290
OG0000034	XP_006413574.2	CARHR055320, CARHR230240
OG0000034	XP_024005104.1	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950
OG0000034	XP_006413576.1	CARHR230230, CARHR230200
OG0000035	XP_024010425.1, XP_024007977.1	CARHR034500, CARHR120350
OG0000035	XP_024007976.1, XP_024016141.1	CARHR216710, CARHR153260, CARHR182390
OG0000038	XP_024006448.1	CARHR259820
OG0000039	XP_024006661.1	CARHR184170, CARHR117850
OG0000042	XP_024006466.1	CARHR181500
OG0000044	XP_024004579.1	CARHR223510
OG0000044	XP_024011128.1	CARHR175070
OG0000044	XP_006398339.2	CARHR175060
OG0000044	XP_024013343.1	CARHR174840
OG0000044	XP_024009991.1	CARHR116350
OG0000044	XP_024005671.1	CARHR222980, CARHR290490, CARHR223500
OG0000046	XP_024015030.1	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970
OG0000046	XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1	CARHR117470
OG0000047	XP_024014421.1, XP_024011365.1	CARHR257880
OG0000048	XP_024005913.1	CARHR054750
OG0000048	XP_006406533.1	CARHR042940
OG0000048	XP_006407903.2	CARHR126110
OG0000050	XP_024013613.1, XP_024009750.1, XP_024004962.1, XP_024006598.1	CARHR071180, CARHR153550
OG0000051	XP_006418389.2, XP_024008111.1	CARHR002800
OG0000051	XP_006392148.1, XP_024013725.1, XP_024013699.1	CARHR109310
OG0000051	XP_024004184.1	CARHR137540
OG0000052	XP_024007553.1	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860
OG0000054	XP_024013114.1, XP_024013119.1	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710
OG0000054	XP_024009399.1, XP_024014412.1, XP_024016309.1, XP_024009765.1, XP_024010410.1, XP_024006543.1, XP_024013932.1, XP_024006559.1, XP_024010157.1, XP_024010469.1, XP_024007282.1, XP_024010278.1, XP_024004993.1, XP_024014049.1, XP_024013966.1, XP_024010381.1, XP_024015903.1, XP_024006435.1, XP_024004823.1, XP_024009187.1, XP_024010437.1, XP_024009578.1, XP_024007262.1	CARHR153240
OG0000054	XP_024015897.1, XP_024007304.1, XP_024015898.1	CARHR105040, CARHR056220
OG0000054	XP_024007933.1	CARHR218650
OG0000055	XP_006398121.1, XP_006406735.1	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	XP_024016535.1	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000056	XP_006405761.2	CARHR155600
OG0000061	XP_024015522.1	CARHR252580
OG0000064	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	XP_024012825.1	CARHR059260, CARHR059160
OG0000065	XP_024014567.1	CARHR059130, CARHR059070, CARHR059140
OG0000065	XP_006391458.1	CARHR059270, CARHR059250
OG0000065	XP_024014419.1	CARHR257300, CARHR257310, CARHR263400, CARHR263410
OG0000066	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1	CARHR202310
OG0000068	XP_024014925.1	CARHR210960
OG0000068	XP_006406656.1	CARHR064230
OG0000070	XP_006395735.1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_006416426.1	CARHR020650
OG0000070	XP_006390250.1	CARHR069500
OG0000072	XP_024014631.1, XP_024009608.1, XP_024004060.1, XP_024006592.1	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	XP_024009720.1, XP_024009721.1	CARHR247180
OG0000076	XP_006411683.1	CARHR247830
OG0000076	XP_006410525.1	CARHR127180
OG0000076	XP_024004083.1, XP_024004092.1, XP_006410127.1, XP_024010259.1, XP_024010258.1, XP_006397052.1, XP_024010257.1, XP_024010383.1, XP_006410067.1, XP_024004059.1, XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1	CARHR260300
OG0000077	XP_006398175.2	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	XP_006395717.2, XP_006395727.1	CARHR288740, CARHR145630
OG0000077	XP_006395720.2	CARHR145650, CARHR145640
OG0000078	XP_006408252.2	CARHR077930
OG0000078	XP_006408254.2, XP_006408256.1	CARHR077950
OG0000078	XP_024014979.1	CARHR077940
OG0000078	XP_006408255.1	CARHR077910
OG0000081	XP_024014389.1, XP_024004223.1	CARHR217030, CARHR117010
OG0000081	XP_024014942.1, XP_024013908.1	CARHR264280
OG0000086	XP_024014367.1	CARHR214810
OG0000086	XP_006405821.2	CARHR272990
OG0000086	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2	CARHR214860
OG0000086	XP_024014475.1, XP_006405815.1	CARHR214790, CARHR214760
OG0000086	XP_006391405.1	CARHR058690, CARHR058660, CARHR058640, CARHR058680
OG0000089	XP_006394642.1	CARHR189700
OG0000089	XP_006404433.1, XP_006404432.1	CARHR155480
OG0000089	XP_006410012.1	CARHR122890
OG0000089	XP_006399740.1	CARHR200860
OG0000089	XP_006403108.1	CARHR178800
OG0000089	XP_006413842.1	CARHR227450
OG0000089	XP_006410628.1	CARHR128920
OG0000089	XP_006390273.1	CARHR069200
OG0000091	XP_024013782.1	CARHR156270
OG0000091	XP_024011446.1	CARHR192340, CARHR192330
OG0000091	XP_024013720.1	CARHR152670
OG0000092	XP_006397382.1	CARHR150900
OG0000095	XP_006405019.2	CARHR117030, CARHR118620
OG0000096	XP_024009294.1, XP_006418661.2, XP_006418628.2	CARHR084920
OG0000096	XP_006408882.1, XP_024014982.1	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000098	XP_006395726.1	CARHR046250
OG0000098	XP_006404383.1, XP_006394690.1, XP_006414046.1	CARHR174970
OG0000100	XP_024014529.1	CARHR055030
OG0000101	XP_024010678.1, XP_024008063.1	CARHR183060
OG0000102	XP_006396592.1	CARHR252110, CARHR252090, CARHR252060
OG0000102	XP_006396591.1	CARHR252130
OG0000105	XP_024011529.1	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310
OG0000105	XP_024014375.1	CARHR108280, CARHR054220
OG0000105	XP_006414517.2	CARHR175180, CARHR153990, CARHR256480
OG0000106	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1	CARHR055550
