Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_NCBI
OG0000000	XP_018453653.1	XP_020887823.1
OG0000000	XP_018435931.1	XP_020887909.1
OG0000000	XP_018461626.1	XP_020872418.1, XP_020889487.1
OG0000000	XP_018464994.1, XP_018462595.1, XP_018435292.1, XP_018463801.1, XP_018487799.1, XP_018443671.1, XP_018488129.1, XP_018462308.1, XP_018448539.1	XP_020874113.1
OG0000003	XP_018473970.1	XP_020881895.1
OG0000003	XP_018453894.1, XP_018487877.1, XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1, XP_018435394.1	XP_020889841.1
OG0000003	XP_018473666.1	XP_020883515.1
OG0000003	XP_018479089.1	XP_020887717.1
OG0000004	XP_018467378.1	XP_020891399.1
OG0000004	XP_018461339.1	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1
OG0000004	XP_018458452.1, XP_018479562.1	XP_020880754.1, XP_020873125.1, XP_020887737.1
OG0000004	XP_018464654.1, XP_018459208.1, XP_018459207.1, XP_018448535.1	XP_020878681.1
OG0000004	XP_018462257.1, XP_018435900.1	XP_020865758.1
OG0000005	XP_018453890.1, XP_018463384.1	XP_020877200.1
OG0000005	XP_018473854.1, XP_018453823.1, XP_018459047.1, XP_018459385.1	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1
OG0000005	XP_018436209.1, XP_018454154.1, XP_018462540.1, XP_018460030.1, XP_018459967.1, XP_018479006.1, XP_018460312.1, XP_018448667.1, XP_018448864.1, XP_018460938.1	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000005	XP_018460386.1, XP_018463188.1	XP_020874036.1
OG0000007	XP_018448723.1, XP_018448724.1	XP_020870157.1, XP_020870555.1
OG0000007	XP_018487693.1	XP_020882643.1
OG0000007	XP_018437596.1, XP_018443492.1, XP_018477728.1, XP_018487830.1, XP_018436238.1, XP_018439630.1, XP_018454081.1, XP_018453629.1	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1
OG0000007	XP_018452687.1, XP_018464104.1, XP_018453152.1, XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1	XP_020880934.1
OG0000007	XP_018459130.1, XP_018458777.1	XP_020866419.1
OG0000008	XP_018436131.1	XP_020882276.1
OG0000008	XP_018462956.1	XP_020876690.1, XP_020867861.1
OG0000008	XP_018438736.1	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1
OG0000008	XP_018473385.1	XP_020879836.1
OG0000008	XP_018435526.1	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1
OG0000009	XP_018463485.1, XP_018435713.1, XP_018458816.1	XP_020887659.1
OG0000009	XP_018479454.1	XP_020889795.1
OG0000009	XP_018435786.1, XP_018461258.1	XP_020883429.1
OG0000009	XP_018467418.1, XP_018443533.1, XP_018481184.1	XP_020877155.1, XP_020876055.1
OG0000009	XP_018460890.1, XP_018454026.1, XP_018463890.1, XP_018466227.1, XP_018479847.1, XP_018473842.1, XP_018435552.1, XP_018443423.1	XP_020882780.1
OG0000009	XP_018459193.1	XP_020867197.1
OG0000011	XP_018448673.1, XP_018475002.1	XP_020873638.1
OG0000011	XP_018436176.1, XP_018465398.1, XP_018435783.1	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1
OG0000011	XP_018450169.1	XP_020885819.1, XP_020866216.1
OG0000011	XP_018448270.1, XP_018448446.1	XP_020885594.1, XP_020870692.1
OG0000011	XP_018444097.1	XP_020872445.1, XP_020875855.1
OG0000011	XP_018448643.1, XP_018436024.1	XP_020875848.1
OG0000015	XP_018475313.1	XP_020865814.1
OG0000018	XP_018453711.1	XP_020876240.1
OG0000020	XP_018439110.1	XP_002862745.2, XP_020874187.1
OG0000020	XP_018463043.1	XP_020879010.1, XP_020874114.1, XP_002883754.2
OG0000020	XP_018460984.1, XP_018460983.1	XP_020873825.1, XP_020878844.1, XP_020877054.1, XP_020869021.1, XP_020872420.1, XP_020884768.1
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000022	XP_018467852.1	XP_020873422.1
OG0000022	XP_018446660.1	XP_020878202.1
OG0000022	XP_018452507.1	XP_002886462.1
OG0000022	XP_018456914.1, XP_018456330.1	XP_020890773.1
OG0000022	XP_018439379.1	XP_020869509.1
OG0000022	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1	XP_020869508.1, XP_020870927.1
OG0000022	XP_018493478.1, XP_018487942.1	XP_020869233.1
OG0000022	XP_018478989.1	XP_002868609.1
OG0000022	XP_018437843.1	XP_002883021.2
OG0000023	XP_018459711.1	XP_020875036.1, XP_020871051.1
OG0000023	XP_018459712.1, XP_018466264.1	XP_020874097.1
OG0000023	XP_018466974.1, XP_018466726.1, XP_018473834.1, XP_018464886.1, XP_018479565.1	XP_020873405.1
OG0000024	XP_018436387.1	XP_020888987.1
OG0000024	XP_018487153.1	XP_002875716.2
OG0000024	XP_018448575.1, XP_018448576.1	XP_002893654.2
OG0000025	XP_018487947.1	XP_020877486.1
OG0000025	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1	XP_020876192.1
OG0000026	XP_018461685.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1, XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1	XP_020879791.1
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	XP_002872592.1
OG0000027	XP_018464962.1, XP_018461167.1, XP_018471375.1	XP_020878447.1, XP_020878438.1
OG0000027	XP_018451933.1, XP_018448914.1	XP_020873367.1
OG0000027	XP_018451939.1, XP_018448955.1	XP_020873341.1
OG0000027	XP_018454312.1	XP_020867640.1
OG0000027	XP_018453781.1	XP_002872599.2
OG0000027	XP_018463400.1, XP_018480408.1	XP_020873349.1
OG0000028	XP_018467289.1, XP_018480012.1	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1
OG0000028	XP_018461874.1, XP_018469470.1, XP_018469464.1	XP_020878158.1
OG0000028	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1	XP_002864330.1, XP_020878159.1, XP_002864331.1
OG0000028	XP_018475306.1, XP_018475278.1	XP_002864388.2, XP_020872014.1
OG0000028	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1	XP_020877991.1, XP_020873006.1
OG0000028	XP_018465681.1, XP_018448362.1	XP_020875061.1
OG0000028	XP_018455496.1, XP_018454205.1	XP_020865869.1, XP_020865879.1
OG0000029	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1
OG0000029	XP_018492516.1, XP_018448641.1, XP_018477751.1, XP_018453628.1, XP_018438621.1, XP_018462266.1	XP_020874443.1
OG0000030	XP_018435466.1, XP_018464547.1, XP_018443694.1	XP_020871692.1, XP_020871677.1, XP_020888510.1
OG0000030	XP_018481995.1, XP_018492454.1	XP_002885337.1
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	XP_018453970.1	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	XP_018488225.1	XP_020889857.1
OG0000030	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1	XP_020888486.1
OG0000030	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1	XP_002884990.1, XP_002884981.1, XP_002884979.1
OG0000031	XP_018461346.1	XP_020872075.1
OG0000031	XP_018458946.1, XP_018480196.1	XP_020890956.1, XP_020882438.1
OG0000034	XP_018483350.1, XP_018468503.1	XP_002869784.2
OG0000034	XP_018484117.1, XP_018484118.1	XP_020873360.1
OG0000034	XP_018448921.1, XP_018448031.1	XP_020873356.1, XP_020873366.1
OG0000034	XP_018467312.1	XP_020872543.1
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	XP_018480985.1	XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1
OG0000035	XP_018475133.1, XP_018458651.1	XP_020886028.1
OG0000038	XP_018467413.1	XP_020873505.1
OG0000038	XP_018487887.1	XP_020880729.1
OG0000040	XP_018467584.1	XP_020891386.1
OG0000040	XP_018460803.1, XP_018487809.1	XP_020872994.1, XP_020882425.1, XP_020870158.1
OG0000040	XP_018436297.1, XP_018448764.1, XP_018454006.1	XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1
OG0000041	XP_018457107.1, XP_018457108.1, XP_018489919.1, XP_018475022.1	XP_020876966.1
OG0000042	XP_018459378.1	XP_020872945.1
OG0000042	XP_018459876.1	XP_020876174.1
OG0000044	XP_018466419.1	XP_020880050.1, XP_020868157.1
OG0000044	XP_018474392.1, XP_018457475.1	XP_020881042.1
OG0000044	XP_018440461.1, XP_018440462.1	XP_020878609.1, XP_002865186.1
OG0000044	XP_018448890.1	XP_020886914.1
OG0000044	XP_018441634.1	XP_020867167.1
OG0000044	XP_018444272.1	XP_002884747.1, XP_020890887.1
OG0000046	XP_018472630.1	XP_020871374.1, XP_020877131.1, XP_020885942.1
