Orthogroup	Noccaea_praecox	Rorippa_islandica
OG0000000	Np002G1063700, Np003G1750900	Roisl.0185s0067.1.p
OG0000000	Np003G1708100, Np006G3568800	Roisl.0053s0185.1.p
OG0000000	Np003G1709000	Roisl.0046s0703.1.p, Roisl.0210s0593.1.p
OG0000000	Np006G3485200	Roisl.0020s0052.1.p
OG0000000	Np001G0404400, Np005G3184700, Np001G0462400, Np005G3094200, Np004G2127900, Np001G0216600, Np005G3036600, Np004G2157000, Np001G0630500, Np005G3117600, Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600	Roisl.0213s0280.1.p
OG0000002	Np002G1057700, Np008G4275500	Roisl.0058s0007.1.p
OG0000002	Np002G1056700	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p
OG0000002	Np009G4293000	Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p
OG0000002	Np002G1029600, Np006G3468100	Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
OG0000003	Np005G3039000	Roisl.0058s0055.1.p
OG0000003	Np003G1537900	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	Np004G2165300	Roisl.0053s0045.1.p
OG0000003	Np004G2027900	Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p
OG0000004	Np004G2079000, Np003G1676800	Roisl.0022s0436.1.p
OG0000005	Np006G3606800	Roisl.0006s0578.1.p
OG0000005	Np001G0309600, Np006G3467000	Roisl.0195s0004.1.p
OG0000005	Np002G1022400, Np007G4025000	Roisl.0194s0060.1.p
OG0000005	Np012G4370200, Np004G2223900	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p
OG0000005	Np005G2940800, Np006G3455900, Np009G4299700	Roisl.0010s0028.1.p
OG0000005	Np003G1685100	Roisl.0027s0129.1.p, Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p, Roisl.0210s2163.1.p, Roisl.0083s0041.1.p, Roisl.0179s0032.1.p, Roisl.0206s0002.1.p, Roisl.0075s0007.1.p, Roisl.0185s0041.1.p, Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p, Roisl.0061s0007.1.p
OG0000005	Np001G0487100	Roisl.0033s0009.1.p
OG0000007	Np003G1457500	Roisl.0064s0008.1.p
OG0000008	Np005G2918600	Roisl.0025s0028.1.p
OG0000008	Np002G1026800	Roisl.0053s0439.1.p
OG0000008	Np002G0964800	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p, Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p, Roisl.0210s2153.1.p, Roisl.0082s0006.1.p, Roisl.0014s0141.1.p, Roisl.0214s0198.1.p, Roisl.0189s0008.1.p
OG0000008	Np007G4064200	Roisl.0036s0056.1.p, Roisl.0053s0438.1.p
OG0000008	Np001G0535300	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000012	Np005G2960400, Np001G0263300, Np005G2658400	Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p, Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000012	Np002G0797700, Np008G4276800	Roisl.0209s0518.1.p
OG0000014	Np004G2216700	Roisl.0071s0004.1.p, Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p
OG0000014	Np001G0275400, Np002G0982600	Roisl.0061s0004.1.p, Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
OG0000014	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900	Roisl.0023s0108.1.p
OG0000014	Np009G4305300	Roisl.0041s0069.1.p
OG0000015	Np001G0295000	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	Np005G2743900	Roisl.0209s0284.1.p
OG0000015	Np008G4270200	Roisl.0010s0007.1.p
OG0000015	Np008G4270300	Roisl.0006s0026.1.p
OG0000016	Np006G3462000	Roisl.0184s0146.1.p, Roisl.0189s0034.1.p
OG0000016	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400	Roisl.0210s2086.1.p
OG0000016	Np003G1678900	Roisl.0019s0044.1.p, Roisl.0179s0005.1.p, Roisl.0037s0076.1.p, Roisl.0047s0042.1.p, Roisl.0075s0022.1.p
OG0000016	Np002G1062400	Roisl.0009s0324.1.p, Roisl.0184s0133.1.p, Roisl.0204s0170.1.p, Roisl.0053s0102.1.p, Roisl.0082s0045.1.p, Roisl.0027s0126.1.p, Roisl.0025s0053.1.p, Roisl.0185s0001.1.p, Roisl.0083s0043.1.p, Roisl.0013s0157.1.p, Roisl.0036s0052.1.p, Roisl.0082s0681.1.p, Roisl.0010s0008.1.p, Roisl.0005s0354.1.p, Roisl.0037s0069.1.p, Roisl.0194s0053.1.p, Roisl.0058s0120.1.p, Roisl.0061s0017.1.p, Roisl.0048s0026.1.p, Roisl.0077s0005.1.p, Roisl.0066s0425.1.p, Roisl.0020s0043.1.p, Roisl.0012s0048.1.p, Roisl.0051s0040.1.p, Roisl.0005s0088.1.p, Roisl.0185s0095.1.p, Roisl.0006s0338.1.p, Roisl.0188s0029.1.p, Roisl.0191s0511.1.p
OG0000016	Np002G0970600	Roisl.0194s0033.1.p, Roisl.0041s0054.1.p, Roisl.0008s0066.1.p, Roisl.0058s0044.1.p, Roisl.0022s0059.1.p, Roisl.0040s0052.1.p, Roisl.0204s0171.1.p, Roisl.0019s0073.1.p, Roisl.0184s0004.1.p, Roisl.0036s0123.1.p, Roisl.0078s0009.1.p, Roisl.0066s0254.1.p, Roisl.0214s0169.1.p, Roisl.0077s0006.1.p, Roisl.0027s0132.1.p, Roisl.0058s0096.1.p, Roisl.0082s0477.1.p
OG0000016	Np006G3533200	Roisl.0056s0002.1.p, Roisl.0204s0078.1.p, Roisl.0014s0045.1.p, Roisl.0022s0004.1.p, Roisl.0051s0024.1.p, Roisl.0191s0695.1.p, Roisl.0037s0070.1.p, Roisl.0014s0081.1.p, Roisl.0191s0696.1.p, Roisl.0198s0069.1.p, Roisl.0045s0104.1.p, Roisl.0188s0113.1.p, Roisl.0066s0455.1.p, Roisl.0209s0113.1.p, Roisl.0010s0006.1.p, Roisl.0010s0033.1.p, Roisl.0021s0629.1.p, Roisl.0012s0009.1.p, Roisl.0047s0071.1.p, Roisl.0194s0081.1.p, Roisl.0195s0028.1.p, Roisl.0204s0103.1.p, Roisl.0066s0451.1.p, Roisl.0053s0073.1.p, Roisl.0031s0054.1.p, Roisl.0209s0492.1.p, Roisl.0056s0030.1.p, Roisl.0040s0030.1.p, Roisl.0184s0052.1.p, Roisl.0209s0071.1.p, Roisl.0082s0458.1.p, Roisl.0014s0005.1.p, Roisl.0066s0372.1.p, Roisl.0193s0008.1.p, Roisl.0204s0174.1.p, Roisl.0214s0125.1.p, Roisl.0053s0030.1.p, Roisl.0058s0118.1.p, Roisl.0031s0021.1.p, Roisl.0082s0455.1.p, Roisl.0013s0158.1.p, Roisl.0019s0071.1.p, Roisl.0041s0049.1.p, Roisl.0040s0015.1.p, Roisl.0082s0453.1.p
OG0000016	Np002G1106400, Np002G0990200	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p
OG0000016	Np002G0990500	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
