Orthogroup	Cardamine_glauca	Arabidopsis_thaliana
OG0000004	Cg005G167340	AT2G22440.1
OG0000005	Cg005G185830	ATMG01250.1
OG0000006	Cg006G203530, Cg001G010040	AT2G13770.1
OG0000008	Cg008G312650	AT5G28780.1
OG0000008	Cg002G055170	AT3G51700.1, AT3G51690.1
OG0000019	Cg008G308170	AT1G18050.1
OG0000021	Cg006G208570	AT1G40390.1, AT1G43760.1
OG0000023	Cg001G017560	AT4G23320.3
OG0000023	Cg003G082360	AT4G11460.1
OG0000023	Cg001G017610, Cg001G017600	AT4G23250.2
OG0000023	Cg001G017650	AT4G23200.1
OG0000023	Cg003G082240	AT4G11530.1
OG0000023	Cg001G017690	AT4G23190.1
OG0000025	Cg003G106740	AT4G13680.1
OG0000025	Cg003G102540	AT5G55870.1
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1
OG0000028	Cg001G041970	AT5G36225.1
OG0000031	Cg007G247230, Cg007G246930	AT1G63070.1
OG0000031	Cg007G247710	AT1G62680.1
OG0000031	Cg001G042060	AT5G41170.1
OG0000031	Cg004G133170	AT3G16710.1
OG0000031	Cg007G245660	AT1G64583.1
OG0000033	Cg001G017700	AT4G23180.1
OG0000033	Cg001G017780	AT4G23230.1, AT4G23140.2
OG0000033	Cg001G019620	AT4G21400.1
OG0000033	Cg001G019630	AT4G21410.3
OG0000033	Cg001G017580	AT4G23310.1
OG0000033	Cg001G017790	AT4G23130.2
OG0000033	Cg003G079950, Cg003G094060	AT4G05200.2
OG0000038	Cg002G057430	AT3G49480.2
OG0000038	Cg003G103850	AT5G52460.1
OG0000040	Cg006G217350	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1
OG0000040	Cg005G160040	AT4G17200.1
OG0000040	Cg004G137150	AT3G20030.1, AT5G60560.2
OG0000042	Cg003G083590	AT3G25720.1
OG0000042	Cg008G310640, Cg008G309000	AT1G50080.1
OG0000044	Cg001G029670	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1
OG0000046	Cg001G022610	AT4G18250.1
OG0000046	Cg001G037990	AT5G38280.2
OG0000046	Cg007G266760	AT1G66930.2
OG0000048	Cg004G119550	AT3G03850.1
OG0000048	Cg008G298400	AT5G18050.1
OG0000048	Cg008G298350	AT5G18010.1
OG0000052	Cg005G163550	AT2G42460.1
OG0000052	Cg005G163540	AT2G42480.1
