Orthogroup	Conringia_planisiliqua	Capsella_rubella
OG0000000	CP28_g33903_DN1_SP0_c.t1	XP_023632598.1
OG0000000	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1, CP24_g47107_DN1_SP0_c.t1, CP27_g41817_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1	XP_023637681.1
OG0000000	CP2_g50561_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	XP_023633614.1
OG0000000	CP6_g8147_DN1_SP0_c.t1	XP_023636065.1, XP_023634315.1
OG0000000	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1	XP_023633451.1
OG0000000	CP2_g49699_DN2_SP0_c.t1	XP_023632892.1
OG0000002	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1, CP13_g20669_DN2_SP0_c.t1, CP3_g16175_DN3_SP0_c.t1, CP4_g26880_DN1_SP0_c.t1, CP1_g40005_DN2_SP0_c.t1, CP1_g38933_DN1_SP0_c.t1, CP35_g52018_DN2_SP0_c.t1, CP4_g26881_DN2_SP0_c.t1, CP3_g16174_DN2_SP0_c.t1, CP4_g26879_DN2_SP0_c.t1, CP4_g26884_DN2_SP0_c.t1	XP_023638855.1
OG0000003	CP29_g22141_DN2_SP0_c.t1	XP_023644456.1
OG0000005	CP25_g56009_DN2_SP0_c.t1	XP_023633682.1
OG0000007	CP8_g52162_DN2_SP0_c.t1	XP_023640317.1
OG0000008	CP14_g23480_DN3_SP0_c.t1	XP_023641963.1
OG0000008	CP5_g2806_DN2_SP0_c.t1	XP_023641902.1
OG0000009	CP12_g31672_DN2_SP0_c.t1	XP_023640352.1
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	XP_023638113.1, XP_023633028.1
OG0000011	CP18_g11548_DN1_SP0_c.t1	XP_023644226.1
OG0000011	CP47_g21270_DN3_SP0_c.t1	XP_023641372.1
OG0000011	CP1_g39552_DN2_SP0_c.t1	XP_006298993.2, XP_023637233.1
OG0000011	CP17_g5859_DN2_SP0_c.t1	XP_023641182.1, XP_006288329.2
OG0000015	CP9_g27629_DN1_SP0_c.t1	XP_023644452.1
