Orthogroup	Cochlearia_excelsa	Brassica_napus
OG0000000	g3356, g52410, g4299, g19817	XP_013742199.2, XP_022552099.2, XP_048602423.1, XP_048601883.1, XP_013700776.2, XP_048610814.1, XP_022557457.2, XP_048621525.1, XP_048629703.1, XP_048630076.1, XP_013653834.3, XP_013652645.3, XP_048599758.1
OG0000000	g42971, g27882	XP_048611822.1
OG0000000	g26033	XP_048605327.1
OG0000000	g33141, g33365, g33163	XP_048622406.1
OG0000000	g33593, g42788, g3560	XP_048624135.1
OG0000000	g43381, g1368, g22041	XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1
OG0000000	g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003	XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176	XP_048635065.1
OG0000000	g15021, g14313, g26667	XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2
OG0000000	g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504	XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1
OG0000000	g3780, g17945, g33478	XP_022557450.2
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	XP_048605189.1, XP_048609263.1
OG0000000	g41929, g42717, g42958, g42647, g20498	XP_048613195.1
OG0000000	g4107, g4095	XP_013673978.2
OG0000000	g48979, g32855	XP_048605732.1
OG0000000	g33220, g3612	XP_048599815.1
OG0000000	g3617	XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1
OG0000000	g8680, g2549, g34291	XP_022549851.1
OG0000000	g46951, g33415, g26941	XP_048616517.1, XP_048605168.1, XP_048610163.1, XP_048605519.1, XP_048622155.1, XP_048594846.1, XP_048627981.1, XP_048604862.1, XP_048621926.1, XP_048600318.1, XP_048622627.1, XP_048623922.1, XP_048620208.1, XP_048622769.1
OG0000000	g17238, g19964, g49089, g43385, g3536, g26493, g26492, g26578, g22227, g2551, g30011, g7406, g52467, g49012, g6426, g25006, g43092, g22046, g22537, g16042, g54033, g8939	XP_048616758.1
OG0000000	g26620, g4470, g21492, g48652, g52367	XP_048634050.1
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	XP_048618529.1, XP_048611829.1
OG0000002	g1903	XP_022566414.1, XP_022558213.1
OG0000002	g16254	XP_048604803.1
OG0000002	g48969	XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1
OG0000002	g51595, g22499, g38313, g49645	XP_048623762.1
OG0000002	g17598, g51597, g28460, g25506, g14097, g4778	XP_022565049.2
OG0000002	g36079	XP_013679867.3
OG0000002	g52214	XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	XP_013689910.2
