Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013583243.1	359	AT3G18650.1	AT3G18650.1	orthologue	GO:0000981;GO:0000978;GO:0045944;GO:0006357;GO:0000987;GO:0003700;GO:0005634;GO:0005515;GO:0046983;GO:0003677	Agamous-like MADS-box protein AGL103
XP_013583244.1	198	AT3G18610.1	AT3G18610.1	orthologue	GO:0000183;GO:0005730;GO:0031491;GO:0005634;GO:0003723;GO:0005515;GO:0006364;GO:0003676	Nucleolin 2 (Protein NUCLEOLIN LIKE 2) (AtNUC-L2) (Protein PARALLEL LIKE 1) (AtPARLL1);Nucleolin like 2
XP_013583245.1	202				GO:0003676;GO:0008270	
XP_013583246.1	472	AT2G07200.1, AT2G07190.1	AT2G07190.1	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0008234;GO:0005739;GO:0006508;GO:0016020	Cysteine proteinases superfamily protein;Transmembrane protein, putative (DUF1985)
XP_013583247.1	157	AT4G17215.1	AT4G17215.1	orthologue	GO:0003674;GO:0005739	Pollen Ole e 1 allergen and extensin family protein
XP_013583248.1	702				GO:0008270	
XP_013583249.1	146	AT3G18560.1	AT3G18560.1	other	GO:0005575;GO:0003674	AT3g18560/K24M9_5
XP_013583250.1	200	AT5G40670.1	AT5G40670.1	other	GO:0000325;GO:0005774;GO:0015184;GO:0015811;GO:0009507;GO:0005765;GO:0015179	Cystinosin homolog
XP_013583251.1	135					
XP_013583252.1	225	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737	PIF1 helicase
XP_013583253.1	170	AT2G05600.1	AT2G05600.1	orthologue	GO:0003674;GO:0008150;GO:0005575;;GO:0005515	F-box associated ubiquitination effector family protein
XP_013583254.1	197	AT1G18080.1	AT1G18080.1	other	GO:0005515;GO:0009967;GO:0010228;GO:0060090;GO:0005634;GO:0010476;GO:0072344;GO:0043022;GO:0006417;GO:0005829;GO:2001125;GO:0009739;GO:0022626;GO:0003729;GO:0071215;GO:0009507;GO:0005737;GO:0045182;GO:0005080;GO:0005078;GO:0005886;GO:0009749;GO:0009845;GO:0042254;GO:0003735;GO:1990904	Small ribosomal subunit protein RACK1z (Guanine nucleotide-binding protein subunit beta-like protein A) (Receptor for activated C kinase 1A) (WD-40 repeat auxin-dependent protein ARCA)
XP_013583255.1	237					
XP_013583256.1	134	AT4G27090.1	AT4G27090.1	orthologue	GO:0009506;GO:0000325;GO:0022626;GO:0003729;GO:0006412;GO:0003735;GO:0005783;GO:0003723;GO:0005829;GO:0042273;GO:0005773;GO:0005730;GO:0022625;GO:0005737;GO:0005840	Large ribosomal subunit protein eL14y (60S ribosomal protein L14-2)
XP_013583257.1	214					
XP_013583258.1	199	AT1G16560.1	AT1G16560.1	orthologue	GO:0005886;GO:0016788;GO:0006506;GO:0005789;GO:0005794;GO:0005783;GO:0000139	Post-GPI attachment to proteins factor 3
XP_013583259.1	340	AT4G03728.1	AT4G03728.1	other	GO:0003674;GO:0008150;GO:0005575	Uncharacterized protein
