Orthogroup	Cardamine_amara	Arabidopsis_thaliana
OG0000005	evm.model.RL_8.339	AT4G09490.1
OG0000005	evm.model.RL_1.1086	AT1G10000.1
OG0000006	evm.model.RL_4.553, evm.model.RL_5.578	AT2G13770.1
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	AT5G28780.1
OG0000013	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641, evm.model.RL_5.2507	AT2G06105.1
OG0000018	evm.model.RL_4.1915	AT1G52950.1
OG0000018	evm.model.RL_7.1872	AT3G31925.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	AT1G40390.1
OG0000021	evm.model.RL_5.2428, evm.model.RL_6.438	AT1G43760.1
OG0000023	evm.model.RL_2.1848	AT4G23320.3
OG0000023	evm.model.RL_2.1843	AT4G23260.1
OG0000023	evm.model.RL_2.1842	AT4G23250.2
OG0000023	evm.model.RL_2.1839	AT4G23200.1
OG0000023	evm.model.RL_8.624	AT4G11521.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	AT4G23220.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	AT4G23190.1
OG0000025	evm.model.RL_8.1541	AT5G54560.1, AT5G54550.1
OG0000025	evm.model.RL_8.1529	AT5G55870.1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	AT5G36225.1
OG0000031	evm.model.RL_3.758	AT1G63130.1
OG0000031	evm.model.RL_3.205	AT1G62914.1, AT1G62670.1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	AT3G45860.1
OG0000033	evm.model.RL_8.413	AT4G05200.2
OG0000038	evm.model.RL_7.1446	AT3G49480.2
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	AT5G52460.1
OG0000040	evm.model.RL_3.1121	AT1G67450.1
OG0000042	evm.model.RL_3.4	AT3G25720.1
OG0000042	evm.model.RL_6.2221	AT1G50080.1, AT2G19146.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1
OG0000046	evm.model.RL_2.391	AT5G38260.1
OG0000046	evm.model.RL_2.1379	AT4G18250.1
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	AT5G38280.2
OG0000046	evm.model.RL_3.1072	AT1G66930.2
OG0000046	evm.model.RL_3.1077	AT1G67000.1
OG0000046	evm.model.RL_2.398	AT5G38240.1
OG0000052	evm.model.RL_8.2684	AT2G42455.1
OG0000052	evm.model.RL_6.2368	AT2G42480.1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	AT3G30739.1
OG0000054	evm.model.RL_1.2395	AT3G30730.2
OG0000055	evm.model.RL_3.286	AT1G61960.1
OG0000055	evm.model.RL_3.285	AT1G62150.1
OG0000056	evm.model.RL_1.2423, evm.model.RL_1.2416	AT3G42140.1
OG0000057	evm.model.RL_1.2359	AT3G17400.1
OG0000062	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777	AT2G07200.1
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	AT2G07190.1
OG0000066	evm.model.RL_3.1975	AT1G75600.1
OG0000066	evm.model.RL_5.1818	AT1G19890.1
OG0000066	evm.model.RL_8.2622	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	evm.model.RL_7.2627	AT3G09160.1
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	AT5G53700.1, AT5G03495.1, AT5G03480.1
OG0000069	evm.model.RL_4.1093	AT2G11035.1
OG0000071	evm.model.RL_1.2437	AT2G07760.1
OG0000071	evm.model.RL_6.950	AT5G28823.1
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd	AT5G46510.1, AT5G46520.2
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	AT1G31540.2, AT5G46490.2, AT5G46260.1, AT5G46270.4
OG0000073	evm.model.RL_6.501	AT5G22690.2
OG0000073	evm.model.RL_4.150	AT5G40060.1
OG0000073	evm.model.RL_5.2720	AT4G08450.1
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	AT5G46450.1
OG0000074	evm.model.RL_5.3415	AT1G23520.1
OG0000076	evm.model.RL_7.1484	AT2G04230.1
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	AT5G49000.2
OG0000077	evm.model.RL_2.3382	AT4G39560.1
OG0000077	evm.model.RL_2.1487	AT1G77880.1
OG0000077	evm.model.RL_2.3381	AT4G39580.1
OG0000078	evm.model.RL_7.1903	AT3G32260.1, AT1G36510.1
OG0000079	evm.model.RL_7.465	AT3G58940.1
OG0000080	evm.model.RL_5.2173	AT1G48390.1, AT1G47920.1
OG0000080	evm.model.RL_5.3416	AT1G21990.1
OG0000080	evm.model.RL_6.1107	AT2G29930.1
OG0000081	evm.model.RL_4.293	AT1G59675.1
OG0000084	evm.model.RL_6.376	AT1G64840.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1
OG0000087	evm.model.RL_4.1345	AT5G23860.1
OG0000087	evm.model.RL_6.1057	AT2G29550.1
OG0000087	evm.model.RL_4.2360	AT5G12250.1
OG0000087	evm.model.RL_4.428	AT5G44340.1
OG0000087	evm.model.RL_2.1599	AT4G20890.1
OG0000087	evm.model.RL_5.1831	AT1G20010.1
OG0000087	evm.model.RL_3.1990	AT1G75780.1
OG0000088	evm.model.RL_7.1629	AT3G47570.1, AT3G47090.1, AT3G47580.1
OG0000088	evm.model.RL_8.1137	AT5G39390.1
OG0000089	evm.model.RL_4.2603	AT5G09810.1
OG0000089	evm.model.RL_1.1790.1.687c87ee	AT3G18780.2
OG0000089	evm.model.RL_6.2333	AT2G42090.1, AT2G42170.1, AT2G42100.1
OG0000089	evm.model.RL_1.1121	AT3G12110.1
OG0000089	evm.model.RL_6.1820	AT2G37620.1
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	AT5G59370.1
OG0000090	evm.model.RL_5.1846	AT2G25700.1, AT1G20140.1
OG0000090	evm.model.RL_4.706	AT5G42190.1
OG0000090	evm.model.RL_3.2006	AT1G75950.1
OG0000090	evm.model.RL_2.2972	AT4G34210.1
OG0000090	evm.model.RL_7.2545	AT3G25650.1, AT2G03170.1, AT2G20160.1, AT2G03190.1
OG0000090	evm.model.RL_5.885	AT1G10230.1
OG0000093	evm.model.RL_7.523	AT3G58360.1
OG0000093	evm.model.RL_7.532	AT3G58210.1
OG0000096	evm.model.RL_3.612	AT1G57850.1
OG0000096	evm.model.RL_7.2533	AT2G03030.1, AT2G03300.1
OG0000096	evm.model.RL_3.627	AT1G57670.1
OG0000096	evm.model.RL_4.362	AT5G44900.1
OG0000096	evm.model.RL_4.323	AT5G45220.1
OG0000097	evm.model.RL_8.394	AT4G05460.1
OG0000097	evm.model.RL_8.388	AT4G03635.1
OG0000097	evm.model.RL_8.395	AT4G05470.1, AT4G05475.1
OG0000098	evm.model.RL_3.229	AT1G63350.2, AT1G62630.1, AT1G63360.1
OG0000098	evm.model.RL_8.2377	AT5G63020.1
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	AT2G14540.1, AT1G64020.1, AT1G62170.2
OG0000099	evm.model.RL_3.85	AT1G62160.1
OG0000101	evm.model.RL_2.338	AT5G38850.1
OG0000101	evm.model.RL_3.664	AT1G56540.1
OG0000104	evm.model.RL_6.1005	AT2G29000.1
OG0000104	evm.model.RL_5.2109	AT1G49100.1
OG0000104	evm.model.RL_1.2055	AT3G21340.1
OG0000104	evm.model.RL_1.2425	AT1G51805.1
OG0000104	evm.model.RL_6.1000	AT2G28990.1
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000106	evm.model.RL_1.1896	AT3G18905.1
OG0000107	evm.model.RL_1.1928	AT3G20120.4, AT3G20110.1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021	AT3G20960.2
