Orthogroup	Cardamine_glauca	Camelina_sativa
OG0000000	Cg008G288880	XP_010468186.1, XP_010501684.1, XP_019098112.1, XP_010451376.1, XP_010484959.1, XP_010446038.1
OG0000000	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120	XP_010424301.1
OG0000000	Cg003G090030, Cg003G090000	XP_019100804.1, XP_019097460.1, XP_019087486.1, XP_010436745.1
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	XP_019096757.1
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	XP_019085777.1, XP_019094874.1, XP_019095344.1, XP_019088092.1
OG0000000	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390	XP_019094707.1, XP_010479590.1
OG0000000	Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	XP_019097715.1
OG0000000	Cg005G186000	XP_010488713.1
OG0000003	Cg006G209840	XP_010480943.1, XP_019085415.1, XP_010450321.1, XP_010468824.1, XP_019098106.1, XP_010497063.1, XP_010445703.1, XP_010412456.1
OG0000003	Cg001G036970	XP_019086296.1, XP_019082606.1, XP_019086332.1, XP_010485073.1
OG0000003	Cg001G032840	XP_019082698.1
OG0000003	Cg007G261780	XP_010501919.1, XP_010419138.1
OG0000003	Cg005G184670	XP_010468759.1, XP_010471072.1
OG0000003	Cg001G032830	XP_019086518.1, XP_019094534.1
OG0000003	Cg005G182650	XP_010485042.1
OG0000004	Cg004G154080	XP_010495244.1, XP_010495165.1
OG0000004	Cg005G167340	XP_019097419.1
OG0000004	Cg007G260170	XP_019087479.1, XP_010512944.1, XP_019099570.1
OG0000005	Cg008G308830	XP_010456726.1, XP_010473781.1, XP_019093287.1, XP_010507310.1, XP_010506896.1, XP_010495420.1
OG0000005	Cg003G086520	XP_010481118.1
OG0000005	Cg001G022240	XP_010462630.1
OG0000005	Cg005G188160	XP_010468460.1
OG0000005	Cg006G213190	XP_010484733.1, XP_010507009.1, XP_010412393.1, XP_010490225.1, XP_010431586.1, XP_010497088.1
OG0000006	Cg008G312070	XP_010424794.1
OG0000006	Cg006G203530, Cg001G010040, Cg005G192450	XP_010431016.1
OG0000006	Cg006G206830	XP_010485068.1, XP_010511600.1, XP_019087423.1, XP_010500080.1, XP_010507587.1, XP_010507307.1, XP_010462805.1, XP_019087471.1, XP_019096427.1, XP_010485281.1, XP_010481225.1, XP_010469447.1, XP_019087477.1
OG0000006	Cg008G318730	XP_019100941.1
OG0000006	Cg004G148130	XP_019099475.1
OG0000006	Cg002G063640	XP_019084626.1
OG0000007	Cg003G084380	XP_010419175.1, XP_019084422.1, XP_010456795.1, XP_010451787.1
OG0000007	Cg001G041960, Cg003G089200	XP_010480531.1, XP_010431321.2
OG0000007	Cg002G061850	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1
OG0000007	Cg003G086130	XP_010484878.1
OG0000007	Cg002G054650	XP_010446064.1, XP_010518602.1
OG0000008	Cg002G071170	XP_019084270.1
OG0000008	Cg007G263310	XP_019096488.1, XP_010419095.1, XP_010419093.1, XP_019087530.1, XP_010485185.1, XP_010480907.2, XP_010507054.1, XP_019098037.1, XP_010495527.1, XP_019087817.1
OG0000008	Cg002G060890	XP_010431254.1, XP_010507402.1
OG0000008	Cg002G055170	XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000010	Cg001G010610	XP_019100932.1, XP_010495824.1
OG0000012	Cg003G089470, Cg006G226210	XP_010424636.1
OG0000012	Cg003G096060	XP_019090144.1
OG0000012	Cg007G277670, Cg006G218130, Cg003G093950	XP_019097497.1, XP_010468248.1, XP_010431497.1, XP_010495795.1
OG0000013	Cg007G257070, Cg005G184830	XP_010462887.1, XP_010489385.1
OG0000013	Cg002G065810	XP_010468566.1, XP_010436599.1, XP_010436735.2, XP_010468522.1, XP_010484768.1, XP_010463354.1, XP_010513377.1, XP_010507101.1, XP_010430931.1, XP_010451722.1, XP_010507178.1, XP_010424031.1, XP_010496072.1, XP_010418964.1, XP_010484999.1, XP_010451723.1, XP_010436885.1, XP_019089205.1, XP_010463172.1, XP_010436737.1, XP_010418837.1, XP_010495905.1, XP_010445921.1, XP_010497116.1, XP_010490421.1
OG0000014	Cg007G281140	XP_010513382.1
OG0000014	Cg007G266660	XP_010484986.1, XP_010412760.1, XP_010474532.1, XP_010431329.1, XP_010412495.1
OG0000015	Cg004G140320	XP_010412816.1, XP_010470614.1
OG0000015	Cg007G254560	XP_010481162.1
OG0000015	Cg001G025880	XP_010412881.1, XP_010463160.1
OG0000017	Cg004G142150	XP_010511936.1
OG0000018	Cg003G095700	XP_010436809.1, XP_010503779.1, XP_010424537.1, XP_010506965.1, XP_010425129.1
