Orthogroup	Conringia_planisiliqua	Aethionema_saxatile
OG0000000	CP3_g15530_DN1_SP0_c.t1	As001G006630, As006G147610
OG0000002	CP3_g16174_DN2_SP0_c.t1	As006G147770, As004G091160
OG0000003	CP72_g12646_DN1_SP0_c.t1	As012G280070
OG0000004	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP2_g49699_DN2_SP0_c.t1, CP17_g5130_DN2_SP0_c.t1	As007G177100
OG0000005	CP15_g34531_DN3_SP0_c.t1	As001G006250
OG0000005	CP6_g9755_DN1_SP0_c.t1, CP2_g49698_DN1_SP0_c.t1, CP10_g43899_DN1_SP0_c.t1, CP9_g27694_DN1_SP0_c.t1, CP1_g39707_DN1_SP0_c.t1	As007G177090, As005G111430
OG0000006	CP8_g52162_DN2_SP0_c.t1	As010G228090
OG0000008	CP14_g23480_DN3_SP0_c.t1	As007G166140
OG0000008	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1	As001G006420
OG0000010	CP33_g3612_DN3_SP0_c.t1	As012G279130
OG0000010	CP17_g5733_DN1_SP0_c.t1	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570
OG0000013	CP14_g22654_DN2_SP0_c.t1	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200
OG0000015	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1, CP7_g44209_DN2_SP0_c.t1, CP9_g28182_DN2_SP0_c.t1	As011G257220
OG0000015	CP16_g55482_DN2_SP0_c.t1, CP16_g55510_DN3_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1	As010G225860
OG0000015	CP31_g46711_DN2_SP0_c.t1	As011G262280
OG0000015	CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1	As001G010760
OG0000017	CP3_g16638_DN2_SP0_c.t1, CP28_g33976_DN2_SP0_c.t1, CP50_g6576_DN2_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1	As006G147350
OG0000017	CP18_g12312_DN3_SP0_c.t1, CP44_g20955_DN3_SP0_c.t1	As001G010690
OG0000017	CP6_g9455_DN3_SP0_c.t1	As003G065780
OG0000019	CP47_g21270_DN3_SP0_c.t1	As009G203070
OG0000019	CP15_g35899_DN2_SP0_c.t1	As001G007070
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	As012G281430, As001G013530
OG0000020	CP56_g20986_DN2_SP0_c.t1	As001G015310, As011G260550
OG0000020	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1	As007G165150, As001G010310, As001G015320
OG0000020	CP15_g35839_DN1_SP0_c.t1	As009G211210, As012G277620
OG0000020	CP5_g2289_DN2_SP0_c.t1	As011G260540, As001G015300
OG0000020	CP5_g3358_DN2_SP0_c.t1	As002G039920, As009G211220
OG0000021	CP6_g7966_DN2_SP0_c.t1	As005G111040
OG0000021	CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1	As011G259540, As001G012170
OG0000021	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1	As001G005040
OG0000021	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	As003G071480, As010G232120
OG0000029	CP22_g17304_DN2_SP0_c.t1	As005G112730, As001G005440, As001G005430, As004G091740, As005G109110, As009G211080
OG0000029	CP29_g22076_DN3_SP0_c.t1	As008G192170
OG0000030	CP6_g9916_DN1_SP0_c.t1	As001G013020
OG0000033	CP16_g55465_DN3_SP1_c.t1	As003G061210, As003G061160, As004G086230
OG0000034	CP15_g35590_DN3_SP0_c.t1	As011G258840
OG0000035	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	As005G105710, As005G106260, As012G269410
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900
OG0000036	CP17_g5406_DN1_SP0_c.t1	As008G192160
OG0000037	CP6_g8155_DN1_SP0_c.t1	As011G257090
OG0000038	CP10_g43043_DN3_SP0_c.t1	As007G157540
OG0000041	CP6_g8603_DN3_SP0_c.t1	As012G279020, As011G257710, As007G164480, As006G148790
OG0000041	CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1	As002G037900
OG0000041	CP2_g50449_DN3_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1	As011G259690, As007G166880, As011G257530, As009G209010, As012G277460, As012G278530, As011G256620, As001G005400, As001G012680, As002G037890
OG0000048	CP10_g42378_DN2_SP0_c.t1	As006G137090, As006G137040, As006G137120, As006G137000
OG0000048	CP10_g42379_DN1_SP0_c.t1	As006G137100, As006G137070, As006G137030
OG0000048	CP10_g42381_DN3_SP0_c.t1	As006G137110, As006G137010, As006G136980
OG0000048	CP16_g54747_DN3_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1, CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	CP1_g39384_DN1_SP0_c.t1	As007G177650, As001G000050
OG0000049	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1	As002G044530
OG0000053	CP9_g27482_DN3_SP0_c.t1	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	As007G163390, As001G010300
OG0000054	CP5_g2131_DN3_SP0_c.t1	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440
OG0000056	CP12_g31150_DN2_SP0_c.t1	As007G178620
OG0000056	CP6_g9003_DN1_SP0_c.t1	As001G013030, As001G006540, As004G092960, As003G066320
OG0000059	CP2_g50572_DN1_SP0_c.t1, CP6_g7965_DN2_SP0_c.t1, CP5_g3097_DN2_SP0_c.t1, CP20_g3928_DN2_SP0_c.t1, CP20_g4073_DN2_SP0_c.t1, CP20_g4091_DN1_SP0_c.t1	As001G005030
OG0000059	CP10_g44057_DN2_SP0_c.t1	As006G146480
OG0000060	CP4_g26283_DN1_SP0_c.t1	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980
OG0000060	CP6_g8451_DN1_SP0_c.t1, CP1_g39648_DN2_SP0_c.t1	As011G259170
OG0000060	CP23_g21356_DN1_SP0_c.t1	As010G228050
OG0000060	CP4_g26948_DN1_SP0_c.t1, CP6_g8456_DN2_SP0_c.t1, CP17_g6236_DN2_SP0_c.t1, CP18_g11550_DN1_SP0_c.t1, CP5_g3439_DN1_SP0_c.t1, CP3_g16722_DN1_SP0_c.t1, CP1_g40717_DN2_SP0_c.t1, CP24_g46926_DN1_SP0_c.t1, CP15_g34454_DN2_SP0_c.t1	As011G259160, As010G227940, As011G259450, As009G209320, As004G090070, As003G066670, As003G067390, As001G015360, As008G191460, As011G257770, As002G039400, As005G110860, As012G279960, As012G279940, As012G279720, As008G189470, As011G257990, As011G259050, As004G092470, As002G040320, As009G210440
OG0000063	CP4_g24977_DN3_SP0_c.t1	As010G224630
OG0000065	CP24_g47137_DN2_SP0_c.t1	As012G279540, As012G279660
OG0000066	CP4_g25642_DN3_SP0_c.t1	As002G052910
OG0000066	CP2_g49425_DN3_SP0_c.t1	As005G118450
OG0000070	CP9_g27907_DN2_SP0_c.t1	As004G090970, As006G149230, As011G259300
OG0000079	CP10_g42299_DN3_SP0_c.t1, CP16_g55065_DN3_SP0_c.t1, CP17_g4852_DN2_SP0_c.t1	As012G285110
OG0000082	CP15_g35761_DN3_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1	As009G206420
OG0000082	CP4_g26212_DN3_SP0_c.t1	As011G260840
OG0000083	CP22_g17376_DN1_SP0_c.t1	As006G138550
OG0000086	CP18_g12051_DN1_SP0_c.t1	As009G216030, As009G216300, As009G216040
OG0000087	CP2_g48308_DN3_SP8_c.t1	As010G222260
OG0000087	CP4_g25793_DN3_SP8_c.t1	As006G128780
OG0000087	CP11_g32707_DN3_SP8_c.t1	As002G051000
OG0000087	CP4_g25265_DN3_SP6_c.t1	As012G274980
OG0000087	CP13_g20168_DN3_SP8_c.t1	As004G086530
OG0000087	CP6_g6768_DN3_SP8_c.t1	As003G058850
OG0000087	CP9_g29223_DN3_SP8_c.t1	As010G237710
OG0000090	CP17_g5790_DN3_SP0_c.t1	As012G273080
OG0000093	CP3_g13515_DN3_SP0_c.t1, CP3_g13516_DN3_SP0_c.t1, CP3_g14024_DN3_SP0_c.t1	As012G284680, As012G284700, As012G284660
OG0000096	CP13_g20085_DN3_SP0_c.t1	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360
OG0000098	CP1_g37532_DN1_SP0_c.t1, CP1_g37531_DN2_SP0_c.t1, CP1_g37530_DN3_SP0_c.t1, CP13_g20427_DN3_SP0_c.t1	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1	As010G228120
OG0000102	CP28_g33922_DN2_SP0_c.t1, CP4_g26223_DN2_SP0_c.t1, CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1, CP1_g39921_DN2_SP0_c.t1, CP14_g23881_DN1_SP0_c.t1, CP15_g34932_DN2_SP0_c.t1, CP3_g16302_DN1_SP0_c.t1, CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1	As002G042100
OG0000104	CP4_g25844_DN3_SP0_c.t1	As006G129190
OG0000107	CP15_g34930_DN1_SP0_c.t1	As011G252340
OG0000108	CP2_g48438_DN1_SP0_c.t1, CP17_g5784_DN1_SP0_c.t1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000114	CP12_g31634_DN1_SP0_c.t1, CP12_g31654_DN3_SP0_c.t1	As006G137050, As006G137080
