Orthogroup	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
OG0038117	As001G000060																						
OG0038118	As001G000480																						
OG0038119	As001G000520																						
OG0038120	As001G001210																						
OG0038121	As001G001310																						
OG0038122	As001G001320																						
OG0038123	As001G001480																						
OG0038124	As001G002070																						
OG0038125	As001G002100																						
OG0038126	As001G002770																						
OG0038127	As001G002780																						
OG0038128	As001G002900																						
OG0038129	As001G003140																						
OG0038130	As001G003150																						
OG0038131	As001G003540																						
OG0038132	As001G003740																						
OG0038133	As001G004090																						
OG0038134	As001G004180																						
OG0038135	As001G004300																						
OG0038136	As001G004770																						
OG0038137	As001G005000																						
OG0038138	As001G005140																						
OG0038139	As001G005250																						
OG0038140	As001G005260																						
OG0038141	As001G005450																						
OG0038142	As001G005510																						
OG0038143	As001G005750																						
OG0038144	As001G005840																						
OG0038145	As001G005850																						
OG0038146	As001G006020																						
OG0038147	As001G006060																						
OG0038148	As001G006090																						
OG0038149	As001G006110																						
OG0038150	As001G006120																						
OG0038151	As001G006130																						
OG0038152	As001G006140																						
OG0038153	As001G006210																						
OG0038154	As001G006260																						
OG0038155	As001G006450																						
OG0038156	As001G006480																						
OG0038157	As001G006760																						
OG0038158	As001G006970																						
OG0038159	As001G007000																						
OG0038160	As001G007040																						
OG0038161	As001G007130																						
OG0038162	As001G007160																						
OG0038163	As001G009830																						
OG0038164	As001G009840																						
OG0038165	As001G010030																						
OG0038166	As001G010150																						
OG0038167	As001G010320																						
OG0038168	As001G010480																						
OG0038169	As001G010590																						
OG0038170	As001G010660																						
OG0038171	As001G010680																						
OG0038172	As001G010750																						
OG0038173	As001G010830																						
OG0038174	As001G010920																						
OG0038175	As001G011310																						
OG0038176	As001G011320																						
OG0038177	As001G011350																						
OG0038178	As001G011380																						
OG0038179	As001G011410																						
OG0038180	As001G011750																						
OG0038181	As001G011760																						
