Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_NCBI
OG0000000	g23875, g4482	XP_020890704.1, XP_020869115.1
OG0000000	g15642	XP_020887909.1
OG0000000	g23493	XP_020872418.1, XP_020889487.1
OG0000003	g14063	XP_020881895.1
OG0000003	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165	XP_020889841.1
OG0000003	g46643, g3725, g24106	XP_020883515.1
OG0000004	g52367, g20888, g21409, g43220	XP_020870151.1, XP_020870162.1
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000004	g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1
OG0000004	g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847	XP_020880754.1, XP_020873125.1, XP_020887737.1
OG0000004	g42564	XP_020889539.1
OG0000004	g26364, g35195, g3554, g33447, g33443, g52439	XP_020886399.1
OG0000004	g15980, g52602, g15019	XP_020881080.1, XP_020874109.1
OG0000004	g15895, g33141, g34291, g3426, g6262	XP_020878681.1
OG0000004	g53542	XP_020865758.1
OG0000005	g3007	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1
OG0000005	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000005	g36376, g3918, g46047, g53689	XP_020880760.1, XP_020877199.1
OG0000007	g24723, g1457, g35540	XP_020882643.1
OG0000007	g47006, g45886, g50470	XP_020866419.1
OG0000008	g27995	XP_020881833.1
OG0000008	g49593	XP_020881734.1
OG0000008	g25873	XP_020876690.1, XP_020867861.1
OG0000008	g11343	XP_020879836.1
OG0000008	g39484, g13991	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1
OG0000009	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582	XP_020887659.1
OG0000009	g36085, g14872, g26760	XP_020889795.1
OG0000009	g2982	XP_020884776.1
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	XP_020877155.1, XP_020876055.1
OG0000009	g23979, g28647, g29131, g1512	XP_020867197.1
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	XP_020881814.1, XP_020878850.1
OG0000011	g18071, g2721, g42559, g4725, g47538	XP_020873638.1
OG0000011	g16592, g1020	XP_020878589.1, XP_020869090.1
OG0000011	g41576	XP_020876758.1, XP_020889800.1, XP_020881514.1
OG0000011	g24216, g17795	XP_020881858.1
OG0000011	g450, g26627, g32634	XP_020889856.1, XP_020872445.1, XP_020875855.1
OG0000011	g24975	XP_020875848.1
OG0000011	g2713, g18942	XP_020881813.1, XP_020866193.1, XP_020870462.1
OG0000014	g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823	XP_020871367.1
OG0000014	g19840	XP_020871369.1
