Orthogroup	Euclidium_syriacum	Arabidopsis_thaliana
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	AT2G13770.1
OG0000009	ESY4_g24391_DN2_SP0_c0.t1	AT3G29791.1
OG0000009	ESY2_g36312_DN1_SP0_c0.t1	AT3G27495.1
OG0000009	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1	AT4G09490.1
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	AT3G30370.1, AT1G18050.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	AT5G15685.1
OG0000016	ESY1_g8220_DN1_SP0_c0.t1	AT2G12880.1
OG0000020	ESY13_g56796_DN1_SP0_c0.t1	AT2G11570.1
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	AT2G06420.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	AT1G52950.1
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	AT3G31925.1
OG0000024	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	AT5G42430.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	AT4G23210.3, AT4G23300.1
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	AT4G13680.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	AT5G36225.1
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	AT1G67450.1
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	AT1G59680.2
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	AT1G66490.1
OG0000030	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1	AT3G14030.1
OG0000031	ESY5_g789_DN1_SP0_c0.t1	AT4G10305.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	AT2G07240.1
OG0000035	ESY3_g27680_DN2_SP0_c0.t1, ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1, ESY10_g13892_DN3_SP0_c0.t1	AT4G04957.1
OG0000040	ESY2_g38709_DN3_SP0_c0.t1, ESY9_g43776_DN1_SP0_c0.t1	AT5G11565.1
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	AT2G19146.1, AT1G50080.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	AT5G42905.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1
OG0000048	ESY5_g4613_DN3_SP0_c0.t1	AT5G65850.1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	AT3G10990.1, AT3G23960.1
OG0000048	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	AT3G49440.1
OG0000048	ESY3_g32505_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1	AT2G19630.1
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	AT2G42460.1
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	AT2G42455.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	AT2G42480.1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	AT4G00160.1, AT3G52680.1
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	AT3G55670.1, AT3G49045.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	AT3G19470.1, AT3G22770.1
OG0000055	ESY3_g30252_DN1_SP0_c0.t1	AT3G17400.1
