Orthogroup	Cardamine_hirsuta	Capsella_rubella
OG0000005	CARHR114650	XP_006292284.1
OG0000005	CARHR091740, CARHR034120, CARHR056420, CARHR077050	XP_023644435.1, XP_023644436.1
OG0000005	CARHR248000	XP_023634342.1
OG0000006	CARHR099640	XP_023643356.1
OG0000006	CARHR286510, CARHR024460	XP_023640335.1
OG0000006	CARHR052510, CARHR150730	XP_023643663.1
OG0000006	CARHR055190, CARHR182530	XP_023640317.1
OG0000006	CARHR257960, CARHR154010	XP_023635039.1
OG0000008	CARHR114970, CARHR117380, CARHR149870	XP_023641902.1, XP_023633645.1
OG0000008	CARHR293430	XP_006299996.2
OG0000008	CARHR150550	XP_006300347.2, XP_006279329.2, XP_023644459.1, XP_023634290.1, XP_006304508.2, XP_023640337.1, XP_023644475.1, XP_023633664.1, XP_023642844.1
OG0000008	CARHR161340, CARHR161350	XP_023638567.1
OG0000008	CARHR035430, CARHR217860	XP_023633352.1
OG0000011	CARHR130420	XP_023634858.1, XP_023636049.1, XP_023644370.1
OG0000013	CARHR183500, CARHR181670, CARHR116230, CARHR285000	XP_023644225.1
OG0000013	CARHR287550	XP_023638853.1
OG0000015	CARHR055900	XP_023633382.1
OG0000017	CARHR213120	XP_023636109.1
OG0000017	CARHR049310, CARHR034150	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000019	CARHR218510	XP_023633028.1, XP_023638113.1, XP_023641372.1
OG0000020	CARHR287070	XP_023632591.1
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050, CARHR217640, CARHR108030, CARHR289940, CARHR154170, CARHR101900, CARHR057520, CARHR158150, CARHR284230	XP_023634318.1
OG0000023	CARHR057450	XP_006284983.1
OG0000023	CARHR230510	XP_023634683.1
OG0000023	CARHR230500	XP_006283253.1
OG0000023	CARHR255010	XP_023635866.1
OG0000023	CARHR255070	XP_006289355.2, XP_023635858.1, XP_006286462.1
OG0000023	CARHR255040	XP_006287218.1
OG0000023	CARHR254920	XP_006289052.2
OG0000023	CARHR254880	XP_023635860.1
OG0000023	CARHR230390, CARHR230400	XP_006285954.1
OG0000023	CARHR254990	XP_006286185.1
OG0000023	CARHR230440	XP_023634685.1
OG0000023	CARHR230350	XP_023634698.1
OG0000023	CARHR055330	XP_006282816.1
OG0000025	CARHR100780	XP_023634475.1
OG0000025	CARHR267660, CARHR267520	XP_006281712.1
OG0000025	CARHR030090, CARHR030060	XP_006304936.1, XP_023644946.1
OG0000025	CARHR203510	XP_006299262.2
OG0000025	CARHR242060	XP_006292343.1, XP_006291347.1
OG0000025	CARHR285330	XP_023633414.1
OG0000026	CARHR215490	XP_023639056.1
OG0000027	CARHR174240	XP_023632988.1
OG0000027	CARHR213730	XP_023644529.1
OG0000027	CARHR045190	XP_023633039.1
OG0000027	CARHR062310	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000027	CARHR167830	XP_023633004.1, XP_023639207.1
OG0000031	CARHR048440, CARHR047970	XP_006300875.1
OG0000031	CARHR049170	XP_006302102.1
OG0000031	CARHR048190, CARHR051150, CARHR047980	XP_006301297.1
OG0000031	CARHR013000	XP_006306232.1
OG0000031	CARHR196550	XP_023636761.1
OG0000031	CARHR213210	XP_023635463.1
OG0000031	CARHR091960	XP_006297483.1
OG0000031	CARHR234420	XP_006283550.1
OG0000031	CARHR049120	XP_006301814.1
OG0000031	CARHR046360	XP_023643559.1
OG0000031	CARHR046370	XP_006302132.1
OG0000033	CARHR230290	XP_006283285.1
OG0000033	CARHR230240, CARHR055320	XP_006285944.1
OG0000033	CARHR289950	XP_023634856.1
OG0000033	CARHR230200	XP_023635576.1
OG0000033	CARHR230600, CARHR230550, CARHR255000, CARHR230610	XP_006291260.2
OG0000033	CARHR252350	XP_006287210.1
