Orthogroup	Noccaea_praecox	Brassica_napus
OG0000000	Np007G401540, Np010G434720	XP_048611822.1
OG0000000	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430	XP_048622406.1
OG0000000	Np005G293490	XP_048605189.1, XP_048609263.1
OG0000000	Np003G167670, Np002G107260, Np004G207890	XP_048621624.1, XP_048626126.1, XP_048609471.1
OG0000002	Np008G427560	XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1
OG0000002	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030	XP_022565049.2
OG0000002	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920	XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1
OG0000002	Np002G103600, Np002G105770, Np011G436400, Np008G426050	XP_013730849.1
OG0000002	Np001G043040	XP_013689910.2
OG0000002	Np007G405440	XP_022566326.2
OG0000002	Np002G105650	XP_048626784.1, XP_013732945.1
OG0000003	Np005G296980	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1
OG0000003	Np008G429060, Np001G031010, Np002G099380	XP_048628762.1, XP_048628164.1, XP_048630693.1
OG0000003	Np001G029010	XP_048622366.1
OG0000003	Np001G030960	XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	XP_022552131.1, XP_013669317.2
OG0000003	Np007G402470	XP_013658381.1, XP_013751798.1
OG0000003	Np009G429910	XP_048627106.1
OG0000003	Np006G346690	XP_048627963.1
OG0000003	Np003G170760	XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000004	Np002G100200	XP_048593472.1, XP_048633069.1
OG0000004	Np002G110370	XP_013720023.2, XP_048605758.1, XP_048613516.1
OG0000004	Np005G318460	XP_013709365.2, XP_013689957.1
OG0000004	Np001G046240	XP_048596464.1
OG0000004	Np001G038320	XP_013738880.1
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	XP_048599985.1, XP_013649372.1, XP_013650878.1, XP_048593474.1, XP_013720997.1, XP_013694423.1, XP_048624048.1, XP_013739852.2
OG0000004	Np006G322460, Np007G418310	XP_048593435.1, XP_048605496.1, XP_048591490.1, XP_048633068.1, XP_048627306.1, XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1, XP_022564339.1, XP_048596459.1, XP_048609324.1, XP_048600258.1, XP_048601936.1, XP_048625046.1, XP_048613115.1, XP_048596422.1, XP_048605045.1, XP_048596553.1, XP_048593220.1, XP_048600502.1, XP_048590778.1, XP_048591563.1, XP_048633725.1, XP_022570140.2, XP_048592847.1
OG0000005	Np003G178290, Np001G012920	XP_022548621.1, XP_013674511.1, XP_013658926.1, XP_013653962.1
OG0000005	Np007G395340	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2
OG0000005	Np004G197010	XP_013669691.1, XP_048617358.1, XP_013709376.2, XP_022556970.2, XP_048602067.1, XP_048591522.1, XP_048621914.1, XP_048613106.1, XP_048599212.1, XP_022557398.2, XP_048599189.1, XP_048615609.1, XP_013746138.2, XP_013751397.2, XP_022575814.1, XP_013739634.2, XP_013703270.2, XP_013739903.1
OG0000005	Np006G359670, Np001G029160, Np001G037420	XP_048591512.1
OG0000005	Np001G041480, Np003G174230, Np001G015150, Np001G036410	XP_048630058.1
OG0000005	Np001G068320	XP_048626850.1, XP_013665497.1, XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1
OG0000005	Np004G203550, Np005G265280	XP_048608242.1
