Orthogroup	Brassica_oleracea	Arabidopsis_arenosa
OG0000000	XP_013639285.1, XP_013616974.1	jg7091
OG0000000	XP_013607847.1	jg11905
OG0000000	XP_013631219.1	jg21574, jg5404, jg14512, jg7218, jg32933
OG0000000	XP_013624139.1	jg25591
OG0000000	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624473.1, XP_013616899.1, XP_013614454.1, XP_013594530.1, XP_013624623.1, XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1, XP_013623358.1, XP_013624757.1, XP_013608522.1	jg27616
OG0000002	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1	jg21988
OG0000003	XP_013639726.1	jg27926
OG0000003	XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1	jg13879
OG0000003	XP_013617855.1	jg17386, jg13577
OG0000004	XP_013639281.1	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197
OG0000005	XP_013614810.1, XP_013624578.1	jg14786
OG0000008	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1	jg27185
OG0000008	XP_013601615.1	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_013608210.1	jg3218, jg20691
OG0000009	XP_013635062.1, XP_013639201.1, XP_013608026.1	jg12452, jg19324, jg23533
OG0000009	XP_013617184.1, XP_013595190.1	jg17698, jg17538, jg11602
OG0000009	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1	jg13081, jg20041
OG0000011	XP_013617429.1	jg33383, jg21637
OG0000011	XP_013639582.1	jg13840
OG0000011	XP_013627832.1, XP_013615711.1	jg26287
OG0000011	XP_013591119.1	jg33095
OG0000011	XP_013607551.1	jg16702
OG0000011	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1	jg13838, jg27639, jg22122
OG0000011	XP_013622528.1	jg4342
OG0000011	XP_013590672.1, XP_013612034.1	jg1809
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	jg6805
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	jg27473, jg29119, jg9712, jg17246
OG0000015	XP_013614071.1	jg11869
OG0000015	XP_013594602.1	jg21086
OG0000020	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1	jg21095
OG0000020	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	jg2142
OG0000020	XP_013631792.1, XP_013639770.1	jg11431, jg27353
