Orthogroup	Brassica_rapa	Odontarrhena_muralis
OG0000000	XP_033129333.1, XP_033131490.1, XP_033142309.1, XP_033130947.1	Om007G305590
OG0000000	XP_033139509.1, XP_033139502.1, XP_033139347.1	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830
OG0000000	XP_033139403.1, XP_033134206.1, XP_033139196.1, XP_033129935.1, XP_033134263.1, XP_033133987.1, XP_033142456.1, XP_033145865.1	Om005G215690, Om007G308190
OG0000000	XP_033146645.1	Om004G142780, Om003G104870, Om003G105610
OG0000000	XP_033140624.1, XP_033129388.1, XP_033130766.1	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1	Om004G154060, Om009G363570, Om004G177240, Om006G269410
OG0000000	XP_033129977.1, XP_033146608.1, XP_033129968.1, XP_033131705.1	Om004G155370
OG0000002	XP_018511523.1, XP_033140595.1, XP_033148513.1	Om004G152900
OG0000003	XP_033147287.1, XP_018514447.1, XP_033148793.1, XP_033144892.1, XP_018511976.2, XP_009106784.1, XP_033148226.1, XP_033147058.1	Om007G276690
OG0000003	XP_033138884.1, XP_033144133.1, XP_033138943.1, XP_033138945.1	Om007G309690
OG0000003	XP_033138944.1, XP_033139394.1, XP_033139482.1, XP_033139545.1, XP_033139261.1	Om005G217790
OG0000004	XP_009124577.2	Om008G333050
OG0000004	XP_009103531.2, XP_009114092.1, XP_033147264.1, XP_033130352.1, XP_033142720.1, XP_033134838.1, XP_033142250.1, XP_033131796.1, XP_033131803.1, XP_033131795.1, XP_033135014.1, XP_009128743.2, XP_033139943.1, XP_009128114.2, XP_009140640.1, XP_033144114.1, XP_033134243.1, XP_033138224.1, XP_033133402.1, XP_033131337.1, XP_033148515.1, XP_033138739.1, XP_033143353.1, XP_033148733.1, XP_033132135.1, XP_033131005.1, XP_033139405.1, XP_033143342.1, XP_033132082.1, XP_033136774.1, XP_033141150.1, XP_033133908.1, XP_033139542.1, XP_033134325.1, XP_033135924.1, XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033143400.1, XP_033132141.1, XP_033143430.1	Om004G159780
OG0000005	XP_009109961.2, XP_009139324.1, XP_033148561.1	Om007G300980, Om001G001060, Om006G273080
OG0000005	XP_033128715.1	Om007G300990, Om008G339980
OG0000005	XP_018515150.1	Om005G212800, Om006G268170, Om002G071580, Om007G299590, Om007G289620
OG0000005	XP_033141077.1, XP_009142536.1, XP_009111228.2	Om007G282810
OG0000007	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2	Om007G297600
OG0000007	XP_009103419.1	Om006G268360, Om002G076040
OG0000007	XP_033129351.1, XP_009117187.1	Om007G308670, Om005G224350
OG0000008	XP_033145226.1, XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1	Om007G284450, Om008G361640, Om007G313430
OG0000008	XP_033131033.1, XP_033139686.1, XP_033140769.1, XP_033133054.1, XP_033128088.1	Om001G020680
OG0000008	XP_033143622.1	Om009G364160, Om009G364180
OG0000008	XP_033147955.1, XP_033146635.1	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880
OG0000010	XP_033143861.1, XP_033137204.1	Om008G341420
OG0000011	XP_033131837.1, XP_009150017.2	Om005G184900
