Orthogroup	Brassica_oleracea	Odontarrhena_muralis
OG0000000	XP_013624387.1, XP_013624852.1, XP_013633000.1, XP_013639674.1, XP_013607775.1	Om007G305590
OG0000000	XP_013624469.1, XP_013632641.1, XP_013614693.1	Om008G349060
OG0000000	XP_013594448.1, XP_013633089.1	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830
OG0000000	XP_013639729.1, XP_013583420.1	Om005G215690, Om007G308190
OG0000000	XP_013616947.1	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	XP_013639843.1	Om004G154060, Om009G363570, Om004G177240, Om006G269410
OG0000000	XP_013601799.1	Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250
OG0000002	XP_013589182.1	Om007G309520, Om002G043270
OG0000002	XP_013613929.1, XP_013629257.1, XP_013601258.1, XP_013594570.1, XP_013601542.1, XP_013617416.1, XP_013617579.1, XP_013617538.1, XP_013630563.1, XP_013613891.1, XP_013617544.1, XP_013624534.1, XP_013594480.1	Om004G152900
OG0000003	XP_013632989.1, XP_013624327.1, XP_013594796.1, XP_013624018.1, XP_013626656.1, XP_013589417.1, XP_013639462.1, XP_013624390.1, XP_013624966.1, XP_013601267.1, XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1, XP_013627530.1, XP_013601768.1, XP_013632538.1, XP_013624806.1, XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013624595.1, XP_013633002.1, XP_013614810.1, XP_013601863.1, XP_013589557.1	Om007G276690
OG0000003	XP_013601450.1	Om004G173160
OG0000003	XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1	Om001G017050
OG0000003	XP_013601228.1	Om007G309690
OG0000003	XP_013639562.1	Om005G217790
OG0000004	XP_013632878.1	Om008G333050
OG0000004	XP_013601459.1	Om004G154430, Om006G235390
OG0000004	XP_013633199.1, XP_013608522.1	Om003G099290
