Orthogroup	Conringia_planisiliqua	Euclidium_syriacum
OG0000000	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1
OG0000000	CP3_g15530_DN1_SP0_c.t1	ESY3_g28075_DN1_SP0_c100.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000002	CP3_g16174_DN2_SP0_c.t1, CP4_g26879_DN2_SP0_c.t1, CP1_g38933_DN1_SP0_c.t1, CP1_g40005_DN2_SP0_c.t1, CP23_g21692_DN2_SP0_c.t1, CP115_g10372_DN3_SP0_c.t1, CP4_g26884_DN2_SP0_c.t1, CP13_g20493_DN3_SP0_c.t1, CP25_g55807_DN3_SP0_c.t1, CP1_g39210_DN2_SP0_c.t1, CP42_g27257_DN3_SP0_c.t1, CP4_g26489_DN1_SP0_c.t1, CP3_g16175_DN3_SP0_c.t1, CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1, CP13_g20669_DN2_SP0_c.t1, CP3_g16153_DN2_SP0_c.t1, CP9_g27522_DN2_SP0_c.t1	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	CP1_g40746_DN3_SP0_c.t1, CP25_g56009_DN2_SP0_c.t1, CP12_g30974_DN2_SP0_c.t1	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1
OG0000003	CP72_g12646_DN1_SP0_c.t1	ESY1_g7089_DN3_SP0_c0.t1
OG0000005	CP9_g27892_DN1_SP0_c.t1	ESY4_g25119_DN2_SP0_c0.t1, ESY13_g56733_DN2_SP0_c0.t1, ESY11_g54694_DN3_SP0_c0.t1, ESY2_g37659_DN1_SP0_c0.t1
OG0000005	CP8_g52568_DN1_SP0_c.t1	ESY5_g2164_DN2_SP0_c14.t1, ESY6_g48993_DN1_SP0_c0.t1
OG0000005	CP2_g50066_DN1_SP0_c.t1	ESY4_g24391_DN2_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1
OG0000005	CP3_g15237_DN1_SP0_c.t1	ESY13_g56734_DN1_SP0_c0.t1
OG0000005	CP5_g3355_DN3_SP0_c.t1	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	CP29_g21990_DN1_SP0_c.t1	ESY16_g61766_DN2_SP0_c0.t1
OG0000005	CP18_g12171_DN2_SP0_c.t1	ESY2_g36311_DN2_SP0_c0.t1, ESY2_g33257_DN1_SP0_c0.t1
OG0000005	CP3_g16336_DN2_SP0_c.t1	ESY6_g46340_DN3_SP0_c0.t1
OG0000005	CP18_g12477_DN3_SP0_c.t1, CP7_g44194_DN1_SP0_c.t1	ESY2_g36312_DN1_SP0_c0.t1
