Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_NCBI
OG0000000	El001G044730	XP_020886399.1
OG0000000	El001G044710	XP_020882672.1
OG0000000	El003G159590	XP_020865758.1
OG0000000	El001G044760	XP_020886397.1, XP_020866436.1
OG0000000	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780	XP_020870151.1, XP_020870162.1
OG0000003	El003G191660, El006G317350	XP_020880760.1, XP_020877199.1
OG0000005	El001G038630	XP_020889795.1
OG0000005	El003G166140	XP_020882780.1
OG0000005	El007G334770, El007G349450, El004G214900, El002G135600, El005G258250, El003G177260, El001G065660, El007G338090, El003G186250, El001G082120, El006G304740, El004G194240, El006G320990, El001G081400, El002G096830, El002G122730	XP_020876055.1, XP_020877155.1
OG0000005	El006G308020, El003G156400	XP_020867197.1
OG0000005	El004G208560	XP_020883429.1
OG0000005	El002G104670, El006G315290, El001G049310, El004G194230	XP_020887659.1
OG0000006	El004G209180	XP_020870555.1, XP_020870157.1
OG0000006	El001G046690	XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1
OG0000007	El006G310200	XP_020883444.1
OG0000007	El006G293980	XP_020885936.1
OG0000008	El001G021990, El001G021710	XP_020881885.1, XP_020881611.1
OG0000008	El003G174670	XP_020881699.1
OG0000012	El002G120760	XP_020866256.1
OG0000012	El001G048000	XP_020875418.1, XP_020880599.1
OG0000012	El003G154210, El007G344400, El007G350120	XP_020888103.1
OG0000012	El007G355770	XP_020876901.1
OG0000012	El005G268860, El003G182880	XP_020874097.1
OG0000012	El002G129160	XP_020872339.1
OG0000015	El001G070750	XP_020883676.1
OG0000015	El003G167160	XP_020890755.1, XP_020889910.1
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000018	El001G048290	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1
OG0000018	El001G077880, El004G225550	XP_020887591.1, XP_020879721.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1
OG0000019	El002G122780	XP_020876758.1, XP_020881514.1, XP_020889800.1
OG0000019	El004G213790	XP_020869090.1, XP_020878589.1
OG0000021	El007G349240	XP_020887717.1
OG0000021	El005G277430, El007G325630	XP_020883515.1
OG0000023	El007G357800	XP_020873367.1
OG0000023	El001G007540	XP_020878445.1
OG0000023	El003G162170	XP_020873352.1
OG0000023	El003G162130	XP_002867727.1
OG0000024	El007G351440, El002G140900	XP_020874131.1
OG0000025	El001G014870, El001G014670	XP_020874778.1
OG0000025	El003G190320	XP_020873006.1
OG0000025	El007G340450, El007G340490	XP_020865879.1
OG0000025	El007G340430	XP_020865869.1
OG0000026	El007G356660	XP_020876192.1
OG0000026	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370	XP_020889652.1
OG0000027	El001G054130	XP_020866667.1
OG0000027	El006G314050, El006G316880	XP_020883506.1, XP_020883507.1
OG0000027	El002G118120, El002G111110	XP_020866341.1
OG0000027	El002G120540	XP_002893704.2, XP_002893705.2, XP_020866613.1
OG0000027	El002G118130	XP_020870502.1, XP_020866340.1, XP_020870297.1, XP_002890925.2
OG0000027	El002G117940	XP_020869783.1, XP_020869389.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1
OG0000027	El002G117910	XP_020866092.1
OG0000027	El002G117730	XP_002893654.2
OG0000027	El001G029050	XP_020879759.1, XP_020881113.1
OG0000027	El001G025570	XP_020879758.1
OG0000028	El004G212000, El004G211990, El007G348580	XP_020874317.1
OG0000028	El007G334290	XP_020881896.1, XP_020869142.1
OG0000028	El001G018960, El002G114660, El007G326060, El007G352000	XP_020874443.1
OG0000029	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530	XP_020889577.1
OG0000029	El003G179090	XP_020879586.1
OG0000030	El002G130810	XP_020883969.1, XP_020886744.1, XP_020884781.1
OG0000030	El003G181960	XP_020872945.1
OG0000030	El003G178390, El003G178450	XP_020876174.1
OG0000030	El004G207460	XP_020865828.1
OG0000031	El004G208470, El004G208460	XP_020865844.1, XP_020890513.1
OG0000031	El004G197790	XP_020891718.1
OG0000031	El004G197660	XP_002886462.1
OG0000031	El007G349520	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1
OG0000031	El002G096110	XP_020868327.1, XP_020870640.1, XP_020868325.1
OG0000031	El003G192370	XP_002868609.1
OG0000031	El005G253470	XP_002883021.2
OG0000031	El003G157520	XP_020873422.1
OG0000031	El002G127940, El004G193990	XP_020865918.1
OG0000033	El003G162150	XP_002869784.2
OG0000033	El003G192480	XP_020873845.1
OG0000033	El003G164670	XP_020873360.1
OG0000033	El003G162220	XP_020873366.1
OG0000033	El001G014890	XP_002877439.2
OG0000033	El001G004730	XP_002874837.2
OG0000034	El004G208110	XP_020873801.1
OG0000034	El007G350680	XP_020888683.1, XP_020872992.1
OG0000034	El007G350130	XP_020868390.1
OG0000034	El002G123500	XP_020890931.1, XP_020881628.1, XP_020878929.1
