Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR000010	264	AT4G25500.1	AT4G25500.1	other	GO:0005515;GO:0005634;GO:0016607;GO:0000398;GO:0031053;GO:0010445;GO:0008380;GO:0005681;GO:0003723;GO:0006397;GO:0003676	Arginine/serine-rich splicing factor 35;Serine/arginine-rich splicing factor RS40 (At-RSp40) (AtRS40)
CARHR000020	222	AT4G19750.1, AT4G19760.1	AT4G19750.1	orthologue	GO:0006032;GO:0004568;GO:0005576;GO:0008061;GO:0005975	Glycosyl hydrolase family protein with chitinase insertion domain-containing protein
CARHR000030	166	AT5G25470.1, AT5G25475.4	AT5G25475.4	orthologue	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0003677;GO:0016020	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein At5g25470;B3 domain-containing protein At5g25475
CARHR000040	69	AT1G27540.1, AT1G27550.1, AT1G27580.1, AT2G14290.1, AT2G14500.1, AT2G24080.1, AT4G10820.1, AT5G25290.1, AT5G25300.1	AT5G25290.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005739;GO:0009507;GO:0009737	F-box family protein;F-box protein (DUF295);F-box protein (DUF295) (T17H3.4);F-box protein At2g14290;F-box protein At2g14500;F-box protein At5g25290;Probable F-box protein At5g25300
CARHR000050	165	AT4G00467.1	AT4G00467.1	orthologue	GO:0008150;GO:0009507;GO:0003674	Calcium-dependent lipid-binding (CaLB domain) family protein
CARHR000060	290	AT1G56410.1, AT1G16030.1, AT3G12580.1	AT3G12580.1	other	GO:0009408;GO:0009941;GO:0009507;GO:0042026;GO:0005829;GO:0044183;GO:0006457;GO:0016887;GO:0051085;GO:0005737;GO:0031072;GO:0140662;GO:0009617;GO:0016567;GO:0010494;GO:0000325;GO:0009505;GO:0005515;GO:0009266;GO:0005886;GO:0009615;GO:0005794;GO:0005524;GO:0005739;GO:0031625;GO:0005634	Heat shock 70 kDa protein 18 (Heat shock protein 70-18) (AtHsp70-18) (Heat-shock protein 70T-1);Heat shock 70 kDa protein 4 (Heat shock cognate 70 kDa protein 4) (Heat shock cognate protein 70-4) (AtHsc70-4) (Heat shock protein 70-4) (AtHsp70-4);Heat shock 70 kDa protein 5 (Heat shock protein 70-5) (AtHsp70-5) (Heat shock protein 70b)
CARHR000070	149	AT3G16690.3	AT3G16690.3	orthologue	GO:0051260;GO:0005515;GO:0006970;GO:0051119;GO:0005353;GO:0006995;GO:0005886;GO:1902334;GO:0009507;GO:0055056;GO:0009744;GO:0009409;GO:0009749;GO:0009705;GO:0008515;GO:0016020;GO:0009750;GO:0008643;GO:0012505	Bidirectional sugar transporter SWEET;Bidirectional sugar transporter SWEET16 (AtSWEET16) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 16);Nodulin MtN3 family protein
CARHR000080	299	AT2G15710.1	AT2G15710.1	other	GO:0008150;GO:0003674;GO:0005575;;GO:0005515	TRAF-like family protein
CARHR000090	508	AT3G60140.1	AT3G60140.1	orthologue	GO:0009651;GO:0019762;GO:0005975;GO:0008422;GO:0005575;GO:0004553	Beta-glucosidase 30 (AtBGLU30) (EC 3.2.1.21) (Protein DARK INDUCIBLE 2) (Protein SENESCENCE-RELATED GENE 2);Glycosyl hydrolase superfamily protein
CARHR000100	161	AT2G22170.1	AT2G22170.1	other	GO:0099503;GO:0005576;GO:0009579;GO:0005773;GO:0003674;GO:0005783;GO:0005515	PLAT domain-containing protein 2 (AtPLAT2) (PLAT domain protein 2)
