Orthogroup	Brassica_rapa	Eutrema_salsugineum
OG0000000	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1	XP_024006886.1, XP_024011324.1
OG0000000	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2	XP_024004414.1
OG0000000	XP_009124577.2	XP_024014707.1
OG0000002	XP_033148076.1, XP_033134169.1	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1
OG0000002	XP_033148513.1	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1
OG0000003	XP_033145314.1, XP_009145336.1	XP_024005010.1
OG0000003	XP_009123480.1	XP_024006452.1
OG0000003	XP_018510870.2	XP_024004072.1
OG0000003	XP_033131784.1	XP_024007280.1, XP_024009246.1
OG0000003	XP_033129527.1	XP_024016317.1, XP_024013151.1, XP_024003873.1
OG0000003	XP_009136045.1	XP_024009942.1
OG0000003	XP_033134345.1, XP_009132643.2	XP_024014527.1
OG0000003	XP_033129372.1	XP_024011300.1
OG0000003	XP_033131787.1	XP_024011306.1
OG0000003	XP_033138751.1	XP_024014231.1
OG0000003	XP_009102097.1, XP_033129330.1	XP_024007996.1
OG0000003	XP_033129442.1	XP_024009434.1, XP_024015940.1
OG0000003	XP_033142170.1, XP_033143214.1	XP_024013347.1
OG0000003	XP_033146253.1, XP_009113517.1	XP_024009969.1
OG0000004	XP_033142309.1	XP_024010229.1
OG0000004	XP_033140624.1, XP_033138950.1, XP_033130324.1, XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1, XP_033132457.1, XP_033132962.1	XP_024007302.1
OG0000004	XP_033142456.1	XP_024009381.1, XP_024016564.1, XP_024011370.1
OG0000004	XP_033145865.1	XP_024016539.1
OG0000004	XP_033131609.1	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1
OG0000005	XP_018511976.2	XP_006404995.2
OG0000005	XP_009113007.1	XP_006402217.2
OG0000005	XP_033148226.1, XP_009106784.1, XP_033147287.1	XP_024013358.1
OG0000005	XP_033131673.1, XP_033139087.1	XP_024013099.1
OG0000005	XP_033139184.1	XP_024005029.1, XP_024009243.1
OG0000005	XP_033145199.1, XP_033138856.1, XP_033139537.1	XP_024016242.1, XP_024013377.1, XP_024015852.1
OG0000005	XP_033138922.1	XP_024009493.1, XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1
OG0000005	XP_033139353.1, XP_033139489.1, XP_033138946.1	XP_024016094.1
OG0000005	XP_033139222.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139287.1, XP_033139242.1, XP_033138902.1, XP_033139528.1, XP_033141136.1, XP_033139289.1, XP_033139427.1, XP_033139424.1, XP_033139498.1, XP_033139368.1	XP_024014001.1, XP_024015858.1
OG0000005	XP_033134337.1	XP_024015023.1
OG0000007	XP_033140542.1	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1
OG0000007	XP_033132504.1	XP_024010444.1
OG0000007	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1	XP_024007990.1
OG0000007	XP_018510598.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033148049.1, XP_033136152.1, XP_033130526.1, XP_018513873.2, XP_033139229.1, XP_009127425.2, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009107586.3, XP_033137263.1, XP_009128533.2, XP_033145152.1, XP_033129678.1, XP_009144141.2, XP_033140024.1, XP_033134787.1, XP_033141430.1, XP_009140704.1	XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1
OG0000007	XP_033133985.1, XP_033143316.1, XP_033138798.1	XP_024007956.1
OG0000007	XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1	XP_024014249.1
OG0000007	XP_033145376.1, XP_033147221.1, XP_033128792.1, XP_018509939.2	XP_024011210.1
OG0000007	XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1	XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1
OG0000007	XP_033145261.1, XP_033128729.1, XP_033133916.1	XP_024008056.1, XP_024008023.1
OG0000007	XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	XP_024007769.1
OG0000007	XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1
