Orthogroup	Euclidium_syriacum	Brassica_napus
OG0000000	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1	XP_048621624.1, XP_048626126.1, XP_048609471.1, XP_048610906.1, XP_048604588.1
OG0000000	ESY3_g28075_DN1_SP0_c100.t1, ESY13_g56188_DN3_SP0_c88.t1	XP_022563908.1
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	XP_048599884.1, XP_013718283.1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_022566414.1, XP_022558213.1, XP_048604803.1, XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1, XP_048623762.1, XP_022565049.2, XP_048601867.1, XP_013679867.3, XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1, XP_022549733.2, XP_013730849.1, XP_013689910.2, XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1, XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1, XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1, XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1, XP_022566326.2, XP_048611649.1, XP_048611648.1, XP_013651109.1, XP_013658793.1, XP_013709438.1, XP_013751657.3, XP_013709613.1, XP_013700185.1, XP_048630704.1, XP_022559924.1, XP_048622095.1, XP_013655273.1, XP_022549820.1, XP_013689535.2, XP_048619845.1, XP_013715871.1, XP_048604645.1, XP_048621889.1, XP_048596410.1, XP_048599727.1, XP_048626784.1, XP_013732945.1, XP_048633138.1, XP_048596393.1, XP_048599369.1, XP_013668866.2, XP_048605779.1, XP_048611520.1, XP_048627900.1, XP_048628323.1, XP_048608335.1, XP_013654120.1, XP_048627325.1, XP_013673471.3, XP_048615611.1, XP_048619891.1, XP_013665252.2, XP_013658186.1, XP_048629974.1, XP_022552341.1, XP_013739277.2, XP_048613130.1, XP_048615541.1, XP_048623567.1, XP_013720337.1, XP_013673462.1, XP_048613404.1, XP_048611643.1, XP_048623756.1, XP_048615560.1, XP_048605535.1, XP_013674344.2, XP_048608675.1, XP_048605721.1, XP_048613199.1, XP_013721281.1, XP_048605601.1, XP_048599856.1, XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1, XP_048613396.1, XP_013738897.2, XP_013669035.2, XP_048622678.1, XP_048623931.1, XP_048607224.1, XP_048605163.1, XP_048600552.1, XP_013650953.2, XP_013673725.1, XP_048622679.1, XP_013689350.1, XP_048590889.1, XP_022575799.1, XP_048605884.1, XP_048611767.1, XP_048637575.1, XP_048596375.1, XP_013745502.1, XP_048611628.1, XP_013700006.2, XP_048622610.1, XP_013699873.2, XP_013668901.1, XP_013733765.2, XP_048613381.1
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	XP_048630494.1
OG0000003	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1	XP_048620084.1
OG0000005	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	XP_013751330.1, XP_048612061.1, XP_048626961.1, XP_013745159.1, XP_048604761.1
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	XP_048608242.1
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	XP_048613553.1
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	XP_048599804.1, XP_022564309.1, XP_048627733.1
