Orthogroup	Cardamine_glauca	Alyssum_gmelinii
OG0000000	Cg003G090030, Cg003G090000	Ag002G196660
OG0000000	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	Ag002G167150
OG0000000	Cg014G332090	Ag001G036200, Ag019G743060
OG0000003	Cg006G209840	Ag001G024370
OG0000003	Cg005G163140	Ag007G591720
OG0000003	Cg005G184670	Ag004G365940
OG0000003	Cg005G182650	Ag007G647490
OG0000004	Cg001G033800	Ag002G133140
OG0000004	Cg005G167340	Ag005G427550
OG0000005	Cg007G253430, Cg008G308830	Ag005G452100
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	Ag003G254660
OG0000005	Cg005G185830	Ag005G402580, Ag007G622540
OG0000005	Cg008G295320	Ag002G157290, Ag001G061510
OG0000005	Cg005G188150	Ag004G314920
OG0000005	Cg001G022230	Ag002G157300
OG0000005	Cg006G213190	Ag004G356110, Ag004G365070, Ag004G390840, Ag004G351220, Ag006G508910, Ag003G238120, Ag001G040530, Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000007	Cg003G103180	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000007	Cg003G084380	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	Cg002G061850	Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480
OG0000008	Cg002G071170	Ag002G148400
OG0000008	Cg007G263320	Ag005G430580
OG0000008	Cg002G060890, Cg002G055170	Ag001G015890
OG0000012	Cg003G089470, Cg006G226210	Ag007G638410
OG0000012	Cg007G260780	Ag007G633420
OG0000012	Cg003G096060	Ag004G367750
OG0000012	Cg007G277670, Cg006G218130, Cg003G093950	Ag001G026980
OG0000013	Cg007G257070, Cg005G184830	Ag004G396400, Ag004G380450
OG0000014	Cg008G312030	Ag008G691080
OG0000015	Cg008G310160	Ag002G110750
OG0000015	Cg004G140320	Ag004G376340
OG0000017	Cg004G142150	Ag005G432180, Ag001G042370, Ag001G058750, Ag008G684550
OG0000019	Cg008G308170	Ag003G276070
OG0000019	Cg003G084410, Cg008G317890	Ag006G545360
OG0000020	Cg001G036750	Ag005G440730
OG0000021	Cg006G208570	Ag008G685590
OG0000021	Cg007G248010	Ag008G725210
OG0000021	Cg002G061370, Cg003G103950	Ag002G135150
OG0000021	Cg003G080250	Ag002G201670
OG0000023	Cg001G017560	Ag006G545600, Ag006G549030
OG0000023	Cg003G082360, Cg001G017610, Cg001G017600	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	Cg003G082330	Ag002G145570, Ag002G145600
OG0000023	Cg003G082320	Ag002G145500
OG0000023	Cg003G082240	Ag002G145450
OG0000023	Cg001G017750	Ag006G547270
OG0000023	Cg001G017690	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000023	Cg001G017660	Ag006G549060, Ag006G543820
OG0000025	Cg003G106740	Ag003G230310
OG0000026	Cg005G183380	Ag013G741580
OG0000027	Cg001G041530	Ag006G546200, Ag005G439390
OG0000027	Cg007G250820	Ag007G580660
OG0000029	Cg007G253930	Ag006G523440, Ag006G532500, Ag004G401820
OG0000029	Cg002G070490	Ag004G375950
OG0000029	Cg005G177640	Ag003G216290, Ag003G216300
OG0000029	Cg006G212710	Ag003G258710
OG0000030	Cg008G322770	Ag004G349980, Ag003G277490
OG0000030	Cg007G253140	Ag007G611240
OG0000031	Cg001G042060	Ag002G111150, Ag002G107580
OG0000031	Cg007G245660	Ag004G401670
OG0000033	Cg001G017700	Ag006G547230, Ag006G549390
OG0000033	Cg001G017740, Cg001G017730	Ag006G547260, Ag006G549410
OG0000033	Cg001G017780	Ag006G543630, Ag006G543880
OG0000033	Cg001G019630	Ag006G564890, Ag003G210460
OG0000033	Cg001G017580	Ag006G548990
OG0000033	Cg001G017790	Ag006G547380, Ag006G549570
OG0000033	Cg003G079950, Cg003G094060	Ag002G130680, Ag002G130760
OG0000034	Cg002G066600	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780
OG0000036	Cg008G323260	Ag004G310880
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	Ag006G551100, Ag001G036210, Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	Cg005G182230, Cg005G181070	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	Cg007G247800, Cg007G255010	Ag002G136000
OG0000038	Cg008G285210, Cg008G285280, Cg005G159520	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	Cg008G320600	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	Cg001G007650	Ag003G279120
OG0000038	Cg008G320560, Cg006G216960	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	Cg002G052970	Ag004G312700
OG0000039	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340	Ag004G347330, Ag007G622120
OG0000040	Cg006G217350, Cg001G030090	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	Cg004G137150	Ag005G446880, Ag005G447100, Ag005G447140
OG0000042	Cg006G198550, Cg003G083590	Ag007G610350, Ag001G022920
OG0000042	Cg008G310640, Cg008G309000	Ag005G442270
OG0000042	Cg005G175020, Cg003G088120	Ag002G176270
OG0000044	Cg001G029670	Ag008G702570
OG0000044	Cg003G096230	Ag001G054960
OG0000045	Cg003G091810	Ag005G474590, Ag005G450900, Ag005G424570, Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210
OG0000045	Cg002G064420	Ag002G197550, Ag008G703200
OG0000046	Cg001G022610	Ag006G575430
OG0000046	Cg007G266760	Ag002G129690, Ag002G129740
OG0000047	Cg006G206340	Ag007G585730, Ag007G603890, Ag006G525770
OG0000048	Cg004G119550	Ag005G486620, Ag005G486520
OG0000049	Cg007G255960	Ag003G236810
OG0000052	Cg006G242960	Ag004G301370, Ag004G301320
OG0000052	Cg005G163550	Ag002G194170
OG0000052	Cg005G173390, Cg013G330370	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060
OG0000052	Cg005G163540	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	Cg005G187360	Ag002G194440, Ag002G194380
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	Ag003G279130
OG0000054	Cg005G189800, Cg005G189790	Ag002G142440, Ag001G038950, Ag008G708750, Ag008G708710, Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080
OG0000055	Cg007G248480	Ag004G382900
