Orthogroup	Camelina_sativa	Arabidopsis_arenosa
OG0000000	XP_010418622.1	jg5331, jg11875, jg33137
OG0000000	XP_010419000.1, XP_010431245.1	jg7218
OG0000000	XP_019091045.1	jg26753
OG0000000	XP_010436306.1	jg25591
OG0000000	XP_010424208.1, XP_019101571.1, XP_019092328.1, XP_019087439.1, XP_010456766.1, XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1, XP_019101890.1, XP_010463143.1, XP_019098912.1, XP_010507174.1	jg27616
OG0000000	XP_019100869.1	jg25786
OG0000002	XP_010451318.1, XP_019089215.1, XP_010468898.1, XP_010451603.1, XP_010424741.1, XP_010495427.1, XP_010480610.1, XP_010451602.1, XP_010451170.2, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010424499.1, XP_010480911.1, XP_019089153.1, XP_019085481.1, XP_010451667.1, XP_019089100.1	jg13863
OG0000002	XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2	jg2023, jg27584
OG0000002	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1	jg21988
OG0000003	XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1	jg27926
OG0000003	XP_019089103.1	jg17386, jg13577
OG0000003	XP_010468560.1, XP_010446081.1	jg17562
OG0000004	XP_019097715.1	jg6905
OG0000004	XP_019096757.1	jg12072, jg12472, jg1749
OG0000004	XP_010518461.1, XP_019096689.1	jg17418
OG0000004	XP_010478337.2	jg2001
OG0000005	XP_010468824.1	jg14786
OG0000008	XP_010484914.2	jg20324
OG0000008	XP_010418963.1, XP_010494551.1, XP_019090719.1	jg27185
OG0000008	XP_010431254.1, XP_010507402.1	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_019101780.1, XP_010446224.1, XP_010424733.1	jg1846, jg6872
OG0000009	XP_010481118.1	jg17698, jg17538
OG0000011	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1	jg13651
OG0000011	XP_019082510.1, XP_019090103.1, XP_019093634.1	jg13487, jg13649
OG0000011	XP_010445771.1, XP_010490065.1, XP_010462557.1, XP_010445515.1, XP_010431263.1, XP_010473749.1, XP_010424194.1, XP_010501437.1, XP_010462846.1, XP_010468134.1, XP_010477411.1, XP_010445496.1, XP_010424758.1, XP_019099681.1, XP_019084322.1, XP_010518648.2, XP_019099759.1, XP_010456625.1, XP_010490157.1, XP_010501841.1, XP_019087442.1, XP_010424815.1	jg28177
OG0000011	XP_010496928.1, XP_010501572.1	jg13838
OG0000011	XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1	jg22122
OG0000011	XP_010502002.1, XP_010489152.1	jg18104
OG0000011	XP_019087287.1	jg33105, jg17517, jg32960, jg20959
OG0000011	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1	jg4342
OG0000011	XP_019082656.1, XP_010424386.1, XP_010463179.1	jg14168
OG0000011	XP_019086294.1, XP_019087453.1, XP_010471647.1	jg6805
OG0000012	XP_010420789.1	jg27079
OG0000012	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1	jg27473, jg29119
OG0000012	XP_010467672.1	jg9712, jg17246
OG0000014	XP_019098328.1, XP_019098389.1, XP_019096593.1, XP_019098329.1	jg11731
OG0000015	XP_010480818.1, XP_010497195.1, XP_010456599.1	jg11869
OG0000015	XP_019101582.1, XP_010517126.1	jg6861
OG0000015	XP_010412816.1, XP_010470614.1	jg21086
OG0000020	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2	jg6965
OG0000020	XP_019084343.1	jg21095, jg27354
OG0000020	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1	jg2142
OG0000020	XP_010499860.1, XP_019084688.1, XP_019086950.1, XP_019092339.1, XP_019090999.1	jg6884, jg7335
OG0000020	XP_019082585.1	jg11846, jg11431, jg27353, jg27355, jg11845, jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883, jg32222, jg15995
OG0000021	XP_010436809.1, XP_010424537.1, XP_010506965.1	jg32225, jg20321, jg1978, jg701
OG0000021	XP_010503779.1	jg3954
OG0000021	XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	XP_010424409.1, XP_010425747.1	jg27179
OG0000021	XP_010484820.1, XP_010496602.2	jg32393, jg11989, jg32560, jg4400, jg26774
OG0000021	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1	jg25715
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	jg9770
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	jg5495
OG0000022	XP_019082759.1	jg645, jg586, jg583
OG0000022	XP_019087557.1	jg572
OG0000022	XP_010473491.1, XP_010418269.1, XP_010430336.1	jg642
OG0000022	XP_010430428.1, XP_010484817.1, XP_019096365.1, XP_010418422.1	jg663
OG0000022	XP_019093579.1, XP_010419492.2, XP_010430431.1	jg481
OG0000022	XP_010419464.1	jg610
OG0000022	XP_010431725.1, XP_010431724.1, XP_010419467.1, XP_010418350.1	jg582, jg588, jg580, jg611
OG0000022	XP_010474584.1, XP_019085228.1, XP_010419465.1	jg638
OG0000022	XP_010458700.1	jg29724
OG0000022	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1	jg29708, jg29704, jg29712
OG0000022	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1	jg29722, jg29734, jg29678, jg29676
OG0000022	XP_010418533.1, XP_019085324.1	jg372
OG0000022	XP_010447152.1, XP_010436064.1	jg12744
OG0000022	XP_019096254.1, XP_010504570.1, XP_010465692.1	jg25741
OG0000023	XP_010451510.1	jg12319
OG0000023	XP_010424636.1	jg12454
OG0000024	XP_019082533.1	jg18272
OG0000024	XP_019091876.1, XP_010501690.1, XP_010478534.1	jg31673
OG0000024	XP_019095769.1, XP_010480790.1	jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706
OG0000024	XP_010460917.1, XP_010478547.1	jg31676, jg31674, jg31678, jg31679, jg31677
OG0000024	XP_019094487.1, XP_019095766.1, XP_010499647.1, XP_010478535.1, XP_019092749.1, XP_010501501.1, XP_010476927.1, XP_010463023.1, XP_019097335.1, XP_019091875.1, XP_010451757.1	jg31671
OG0000024	XP_010478553.1, XP_010476674.1, XP_019091556.1	jg32093
OG0000024	XP_010478550.1	jg31696, jg31707, jg31681
OG0000024	XP_010478551.1	jg31709, jg31713, jg31711, jg31710
OG0000024	XP_019091095.1, XP_010480880.1, XP_019094490.1, XP_019091554.1	jg31714
OG0000024	XP_010480848.1, XP_010478732.1, XP_010463094.1	jg31953, jg31952, jg31856, jg31855
OG0000024	XP_010480824.1	jg31857
OG0000024	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1	jg15695, jg15696, jg15770
OG0000024	XP_010427641.1, XP_019100391.1	jg15771
OG0000025	XP_010495239.1, XP_010495240.1, XP_010507228.1	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000025	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1	jg27352
OG0000027	XP_010434889.1	jg7518, jg7519
OG0000027	XP_010434897.1, XP_010455557.1	jg7517
OG0000027	XP_010455558.1	jg7516
OG0000027	XP_019089721.1	jg7521
OG0000027	XP_010439188.2, XP_010433919.1	jg10174
OG0000027	XP_019087868.1, XP_019089322.1	jg10184
OG0000027	XP_010433921.1, XP_010448734.2, XP_019087877.1, XP_019087876.1	jg10189
OG0000027	XP_019089325.1, XP_010433927.1	jg10181
OG0000027	XP_010418084.1, XP_010439216.1	jg10205
OG0000027	XP_010445185.2	jg9025
OG0000027	XP_010439208.1, XP_010433929.1, XP_010448752.1	jg10192
OG0000027	XP_019087878.1	jg10199
OG0000027	XP_019089062.1, XP_010448746.1, XP_010439203.1	jg10187
OG0000027	XP_010451236.1	jg10190
OG0000028	XP_010450001.1, XP_010436592.1, XP_010440401.1	jg11446
OG0000028	XP_010446183.1	jg22442
OG0000028	XP_019095667.1	jg22443, jg22441, jg22952
OG0000028	XP_010450245.1	jg22237
OG0000028	XP_010450257.1, XP_010450330.1, XP_010485150.2	jg22427, jg22428
OG0000028	XP_010443019.1	jg22250, jg22247
OG0000028	XP_010446868.1	jg8750
OG0000028	XP_019090606.1, XP_010452778.1, XP_019084603.1	jg4646
OG0000028	XP_019088142.1	jg22006, jg22007
OG0000028	XP_010446182.1	jg22445
OG0000028	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1	jg22278, jg22269, jg22270, jg22279, jg22262
OG0000029	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1	jg33138, jg30060, jg20837
OG0000029	XP_019093987.1	jg1780, jg13951
OG0000029	XP_010431039.1	jg27218, jg11460, jg13681
OG0000029	XP_019090727.1	jg1778
OG0000030	XP_010463131.1, XP_010481059.1	jg26153, jg26152
OG0000030	XP_010419044.1	jg2274
OG0000030	XP_010462898.1	jg30787
OG0000030	XP_010462936.2, XP_010462910.2	jg31203
OG0000030	XP_010477981.2, XP_019091238.1, XP_010499061.1	jg31202
OG0000030	XP_010506941.1, XP_010481243.1	jg25536
OG0000030	XP_019093261.1	jg25377, jg1071
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	XP_019096352.1	jg2112
OG0000030	XP_010480422.1	jg29499
OG0000030	XP_010501558.2	jg25408
OG0000030	XP_019096260.1	jg10900
OG0000030	XP_019096643.1	jg11085
OG0000030	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1	jg25272
OG0000030	XP_010465220.1, XP_019096368.1	jg738
OG0000031	XP_019082588.1	jg21124
OG0000032	XP_019100224.1	jg27186
OG0000034	XP_010433941.1, XP_010439209.1	jg10193
OG0000034	XP_010448753.1	jg10203, jg10197
OG0000034	XP_010418085.1, XP_010439218.1, XP_010448756.1	jg10204
OG0000034	XP_010439226.1, XP_010439227.1	jg10200
OG0000034	XP_019089519.1, XP_010434185.1	jg10426
OG0000034	XP_019088150.1, XP_019089518.1	jg10425
