Orthogroup	Euclidium_syriacum	Arabidopsis_lyrata_NCBI
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	XP_020890704.1, XP_020869115.1
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	XP_020889841.1
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000004	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1	XP_020865758.1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_020870157.1, XP_020870555.1, XP_020882643.1, XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1, XP_020871008.1, XP_020880934.1, XP_020868816.1, XP_020866419.1, XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2, XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1, XP_020887609.1, XP_020874852.1
OG0000009	ESY6_g47492_DN1_SP0_c0.t1, ESY2_g34470_DN1_SP0_c0.t1	XP_020887659.1
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	XP_020889795.1
OG0000009	ESY6_g47366_DN1_SP0_c0.t1	XP_020884776.1
OG0000009	ESY9_g43520_DN3_SP0_c0.t1	XP_020876464.1
OG0000009	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	XP_020882780.1
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	XP_020881814.1, XP_020878850.1
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	XP_020873638.1
OG0000011	ESY4_g23292_DN2_SP0_c93.t1, ESY1_g6718_DN1_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1, ESY6_g49770_DN3_SP0_c0.t1	XP_020891537.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1, XP_020881858.1, XP_020888576.1, XP_020887134.1, XP_020887782.1, XP_020889569.1
OG0000011	ESY7_g17507_DN3_SP0_c53.t1	XP_020872445.1, XP_020875855.1
OG0000011	ESY1_g5998_DN3_SP0_c100.t1	XP_020877678.1
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	XP_020875848.1
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	XP_020865814.1
OG0000015	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1	XP_020890755.1, XP_020889910.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_020887777.1, XP_002862745.2, XP_020874187.1, XP_020879010.1, XP_020874114.1, XP_002883754.2
OG0000020	ESY4_g22336_DN1_SP0_c100.t1	XP_020873825.1, XP_020878844.1
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	XP_020877054.1, XP_020869021.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_020885333.1, XP_020870611.1, XP_020875036.1, XP_020871051.1, XP_020885189.1, XP_020874097.1, XP_020876901.1, XP_020872176.1, XP_020881510.1, XP_020874804.1, XP_020872198.1, XP_020865779.1, XP_020888558.1, XP_020874042.1, XP_020875073.1, XP_020888105.1, XP_020873405.1, XP_020890011.1, XP_020888454.1
OG0000024	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	XP_002890934.2, XP_002890931.2
OG0000026	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1, ESY2_g36322_DN3_SP0_c0.t1, ESY1_g8855_DN3_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1, ESY13_g56165_DN1_SP0_c0.t1, ESY1_g9068_DN2_SP0_c0.t1, ESY13_g56166_DN2_SP0_c0.t1, ESY8_g58625_DN1_SP0_c0.t1	XP_020879791.1
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	XP_002872595.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_020873349.1
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_020874317.1
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	XP_020888389.1
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	XP_020874443.1
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	XP_002885337.1
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	XP_002893432.1, XP_020866580.1
