Orthogroup	Euclidium_syriacum	Arabidopsis_arenosa
OG0000000	ESY9_g43741_DN1_SP0_c0.t1	jg16911, jg12161, jg21611, jg27990
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	jg5331, jg11875, jg33137, jg21574, jg5404, jg14512, jg7218, jg32933
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	jg13863, jg2023, jg27584, jg11830, jg12347, jg21985, jg21988, jg1034, jg12348, jg27118, jg1783
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	jg27926
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	jg5917, jg13879, jg27173
OG0000003	ESY9_g43536_DN2_SP0_c0.t1	jg17386
OG0000003	ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	jg13577
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	jg12072, jg12472, jg1749
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	jg1846, jg6872
OG0000009	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	jg13081, jg20041
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	jg33383, jg21637
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	jg13840
OG0000011	ESY1_g5997_DN2_SP0_c99.t1	jg33095
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	jg16702, jg13838, jg27639, jg22122, jg7016, jg25810, jg18104, jg33105, jg17517, jg32960, jg20959
OG0000011	ESY1_g5998_DN3_SP0_c100.t1	jg32528
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	jg6805
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	jg11869
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	jg6965, jg21095, jg27354, jg2142, jg32618
OG0000020	ESY13_g56796_DN1_SP0_c0.t1	jg11846
OG0000020	ESY4_g22336_DN1_SP0_c100.t1	jg27355, jg11845
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	jg25715
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	jg32597, jg21243, jg17207, jg1599, jg27300, jg1550, jg27237, jg27744, jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946, jg32109
OG0000023	ESY8_g61320_DN3_SP0_c0.t1	jg32331
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	jg17071
OG0000024	ESY1_g10652_DN1_SP0_c0.t1	jg18272
OG0000024	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	jg31712
OG0000024	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	jg31715
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	jg7523
OG0000027	ESY23_g71_DN1_SP0_c28.t1	jg9025
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	jg10199, jg10187, jg10190
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952
OG0000028	ESY20_g13267_DN3_SP0_c0.t1	jg14606
OG0000028	ESY7_g18156_DN1_SP0_c46.t1	jg14605, jg28212
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	jg1778
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	jg2274
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	jg31203, jg31202
OG0000030	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	jg25536
OG0000030	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	jg25377, jg1071
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	jg2112
OG0000030	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1	jg10900, jg11085
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	jg25272
OG0000031	ESY5_g789_DN1_SP0_c0.t1, ESY10_g14035_DN1_SP0_c44.t1	jg21055
OG0000032	ESY10_g15881_DN3_SP0_c0.t1, ESY18_g63136_DN2_SP0_c0.t1	jg21068
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	jg32621, jg13872
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	jg32484, jg7027, jg13873
OG0000036	ESY7_g17009_DN2_SP0_c60.t1	jg21340, jg1519
OG0000038	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1	jg27503
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	jg28661, jg10344
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	jg33373
OG0000042	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	jg6978
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	jg17129, jg6977
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	jg33537, jg17159
OG0000044	ESY6_g50480_DN2_SP0_c0.t1	jg21039
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	jg21834
OG0000044	ESY4_g26811_DN2_SP0_c0.t1	jg20587
OG0000046	ESY5_g2589_DN3_SP0_c0.t1	jg12140
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339
OG0000048	ESY5_g4613_DN3_SP0_c0.t1	jg23606
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1, ESY8_g58361_DN2_SP0_c0.t1	jg20748, jg20747
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	jg33607
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	jg25048
OG0000048	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	jg18270
OG0000050	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1	jg11604
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	jg14086
OG0000050	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1, ESY3_g27878_DN2_SP0_c0.t1	jg19949, jg4268
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	jg29349
