Orthogroup	Cardamine_glauca	Odontarrhena_muralis
OG0000000	Cg004G132730, Cg008G288880	Om007G305590
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	Om004G142780, Om003G104870, Om003G105610
OG0000000	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	Cg005G186000	Om006G263990
OG0000002	Cg005G163330	Om002G054700
OG0000003	Cg006G209840	Om007G276690
OG0000003	Cg001G036970	Om008G354600
OG0000003	Cg005G182650	Om005G217790
OG0000004	Cg001G033800	Om003G114900
OG0000004	Cg004G154080	Om008G333050
OG0000004	Cg007G260170	Om004G159780
OG0000005	Cg007G268560	Om004G139040
OG0000005	Cg001G022240	Om006G258880
OG0000005	Cg003G087270	Om002G076060
OG0000005	Cg006G213190	Om005G217130, Om007G307980, Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940, Om007G309960, Om001G015550, Om009G364000, Om003G110250, Om003G100620, Om006G257980, Om005G226590, Om008G346020
OG0000007	Cg003G103180	Om006G253570, Om001G035080, Om001G019950, Om007G300730
OG0000007	Cg002G061850	Om006G268350, Om007G297600, Om005G190610, Om004G164520, Om006G258000
OG0000008	Cg002G071170	Om007G308850
OG0000008	Cg007G263310	Om001G020680
OG0000010	Cg001G010610	Om008G341420
OG0000012	Cg003G089470, Cg006G226210	Om004G146180
OG0000012	Cg007G260780	Om005G215090
OG0000013	Cg007G257070, Cg005G184830	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000014	Cg007G266660	Om007G309000
OG0000015	Cg004G140320	Om003G098660
OG0000015	Cg007G254560, Cg001G025880	Om003G105790, Om004G154560
OG0000017	Cg004G142150	Om003G112310, Om004G148090
OG0000018	Cg003G095700, Cg006G204250, Cg003G087690, Cg003G087660, Cg003G089030, Cg003G095110	Om008G335480, Om007G284460, Om008G361630
OG0000019	Cg008G308170	Om005G222770
OG0000019	Cg005G182050	Om003G104700
OG0000021	Cg006G208570	Om005G226540, Om001G020790
OG0000021	Cg003G100100	Om001G038730
OG0000021	Cg003G084910	Om008G331340
OG0000021	Cg003G103950	Om007G291430, Om002G057270
OG0000021	Cg003G080250	Om001G020780, Om001G006810, Om002G059070
OG0000023	Cg001G017560	Om001G010400
OG0000023	Cg003G082360, Cg001G017610, Cg001G017600	Om001G010360, Om001G009290
OG0000023	Cg003G082320	Om008G351580
OG0000023	Cg003G082240	Om008G351620, Om008G351630
OG0000023	Cg001G017750	Om001G010200
OG0000023	Cg001G017690	Om001G010250
OG0000025	Cg003G106740	Om002G073490, Om002G073430
OG0000026	Cg005G183380	Om002G080990
OG0000027	Cg001G041530	Om002G070390
OG0000027	Cg007G250820	Om005G224020
OG0000028	Cg001G041970	Om001G022770
OG0000029	Cg003G107860	Om006G261190
OG0000029	Cg007G253930	Om008G343780
