Orthogroup	Brassica_rapa	Noccaea_praecox
OG0000000	XP_009139680.2	Np006G3574100, Np005G2997500
OG0000000	XP_009119930.2, XP_009128546.1	Np001G0689700
OG0000000	XP_033128765.1	Np004G2263100
OG0000000	XP_009108636.2	Np001G0314800
OG0000000	XP_033132438.1	Np002G0926900, Np004G2012200
OG0000000	XP_033147600.1, XP_033146511.1, XP_033145007.1, XP_033135264.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033130565.1, XP_033134232.1, XP_033148785.1, XP_033142632.1, XP_033143073.1	Np007G4183100, Np006G3224700
OG0000000	XP_033134838.1	Np005G3184700
OG0000000	XP_009114092.1, XP_009138592.1, XP_009103531.2	Np001G0462400
OG0000000	XP_033134325.1, XP_033135924.1	Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600
OG0000000	XP_009124577.2	Np002G1002000
OG0000002	XP_033148513.1	Np001G0430400, Np007G4054400
OG0000003	XP_033145314.1, XP_009145336.1	Np005G3039000
OG0000003	XP_009106506.2	Np005G2704000
OG0000003	XP_033129527.1	Np004G2165300
OG0000003	XP_009136045.1, XP_033134345.1, XP_009132643.2, XP_033133942.1	Np006G3523600
OG0000003	XP_033129393.1	Np004G2027900
OG0000003	XP_033138815.1, XP_033128797.1, XP_009102097.1, XP_033129330.1, XP_033129452.1, XP_018512128.2, XP_009118886.2, XP_033141698.1	Np003G1349400
OG0000003	XP_033136094.1	Np003G1737800
OG0000003	XP_033129442.1	Np004G1991500, Np007G4180900
OG0000003	XP_033146211.1	Np007G4024900, Np003G1475700
OG0000004	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	Np005G2950600, Np010G4347300, Np007G4015400
OG0000004	XP_033138950.1, XP_033130324.1	Np003G1676800
OG0000004	XP_033142456.1	Np005G2935100
OG0000004	XP_033131609.1	Np005G2935000
OG0000004	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1	Np007G3994400, Np005G2976000
OG0000005	XP_033147058.1	Np006G3606800
OG0000005	XP_033131673.1, XP_033139087.1	Np002G1022400, Np007G4025000
OG0000005	XP_033145199.1, XP_033138856.1, XP_033139537.1	Np006G3465300
OG0000005	XP_033139286.1	Np002G1043100
OG0000005	XP_033139222.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139287.1, XP_033139242.1, XP_033138902.1, XP_033139528.1, XP_033141136.1, XP_033139289.1, XP_033139427.1, XP_033139424.1, XP_033139498.1, XP_033139368.1, XP_033134337.1	Np012G4370200, Np004G2223900
OG0000007	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1, XP_018510598.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033148049.1, XP_033136152.1, XP_033130526.1, XP_018513873.2, XP_033139229.1, XP_009127425.2, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009107586.3, XP_033137263.1, XP_009128533.2, XP_033145152.1, XP_033129678.1, XP_009144141.2, XP_033140024.1, XP_033134787.1, XP_033141430.1, XP_009140704.1, XP_033146627.1, XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1, XP_033145376.1, XP_033147221.1, XP_033128792.1, XP_018509939.2, XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1, XP_033145261.1, XP_033128729.1, XP_033133916.1, XP_033131629.1, XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	Np003G1457500
OG0000007	XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2	Np005G3131700
OG0000008	XP_033145226.1	Np005G2918600
OG0000008	XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1	Np002G1031900, Np005G3077900
OG0000008	XP_033142381.1, XP_033131033.1, XP_033133054.1, XP_033128088.1, XP_033137451.1, XP_033139686.1, XP_033140769.1	Np002G0964800
OG0000008	XP_009115858.3	Np001G0535300
OG0000009	XP_009142536.1, XP_009111228.2	Np005G2652900, Np004G2035600
OG0000009	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1	Np004G2021700
OG0000009	XP_009117682.2	Np001G0414800, Np003G1742400, Np001G0151500, Np001G0364100
OG0000009	XP_033128715.1, XP_018515150.1	Np006G3596800, Np001G0374200, Np001G0291600
OG0000009	XP_009107743.1	Np004G1970200
