HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N15.HOG0000000	OG0000000	n32								XP_048623796.1, XP_048630077.1, XP_048612038.1	XP_013590901.1, XP_013607655.1, XP_013623778.1, XP_013601532.1, XP_013602945.1, XP_013608188.1, XP_013608377.1, XP_013594179.1, XP_013634238.1, XP_013617768.1, XP_013639090.1, XP_013620525.1, XP_013594371.1, XP_013595201.1	XP_033143942.1, XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033139367.1, XP_033139470.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033132962.1, XP_033132457.1, XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1													XP_018458452.1, XP_018479562.1
N15.HOG0000001	OG0000000	n71																							XP_018466160.1, XP_018473944.1
N15.HOG0000002	OG0000000	n74								XP_048608765.1, XP_013717677.1, XP_013742199.2, XP_022552099.2, XP_048602423.1, XP_048601883.1, XP_013700776.2, XP_048610814.1, XP_022557457.2, XP_048621525.1, XP_048629703.1, XP_048630076.1, XP_013653834.3, XP_013652645.3, XP_048599758.1, XP_013725452.3, XP_013713140.3, XP_013699442.2, XP_013646109.3	XP_013632119.1, XP_013622122.1, XP_013617564.1, XP_013622913.1, XP_013615016.1, XP_013620246.1, XP_013614766.1, XP_013606813.1, XP_013622932.1, XP_013632334.1, XP_013615033.1, XP_013635049.1, XP_013634393.1, XP_013624193.1, XP_013639617.1, XP_013638528.1, XP_013604648.1, XP_013624283.1, XP_013601877.1														
N15.HOG0000003	OG0000000	n115									XP_013624132.1, XP_013639070.1, XP_013633191.1														
N15.HOG0000004	OG0000000	n135																				XP_024013103.1, XP_024009926.1			
N15.HOG0000005	OG0000000	n145								XP_048611822.1	XP_013624387.1, XP_013624852.1, XP_013633000.1	XP_033129333.1													
N15.HOG0000006	OG0000000	n160										XP_033131490.1													
N15.HOG0000007	OG0000000	n166									XP_013639674.1, XP_013607775.1	XP_033142309.1										XP_024010229.1			
N15.HOG0000008	OG0000000	n178								XP_048605327.1		XP_033130947.1										XP_024014993.1			
N15.HOG0000009	OG0000000	n202									XP_013624469.1, XP_013632641.1, XP_013614693.1														XP_018459207.1, XP_018459208.1
N15.HOG0000010	OG0000000	n219																				XP_024011293.1			
N15.HOG0000011	OG0000000	n225								XP_013658077.1		XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1, XP_033132083.1, XP_033139092.1, XP_033144469.1, XP_033143396.1, XP_033139321.1													XP_018459169.1, XP_018465985.1, XP_018462320.1, XP_018474229.1, XP_018448799.1
N15.HOG0000012	OG0000000	n245																							XP_018487484.1
N15.HOG0000013	OG0000000	n250								XP_048624135.1		XP_033138897.1													XP_018435922.1
N15.HOG0000014	OG0000000	n288								XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1	XP_013594448.1														
N15.HOG0000015	OG0000000	n295								XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1	XP_013633089.1	XP_033139509.1, XP_033139502.1, XP_033139347.1													
N15.HOG0000016	OG0000000	n336																				XP_024007302.1			
N15.HOG0000017	OG0000000	n338																	CP23_g21716_DN1_SP0_c.t1, CP23_g21756_DN1_SP0_c.t1						
N15.HOG0000018	OG0000000	n448								XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2	XP_013639729.1, XP_013583420.1	XP_033139403.1, XP_033134206.1, XP_033139196.1, XP_033129935.1, XP_033134263.1, XP_033133987.1													
N15.HOG0000019	OG0000000	n465								XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1		XP_033142456.1													
N15.HOG0000020	OG0000000	n488																				XP_024009381.1			
N15.HOG0000021	OG0000000	n499																				XP_024009341.1			
N15.HOG0000022	OG0000000	n512								XP_022557450.2															
N15.HOG0000023	OG0000000	n529								XP_048605189.1, XP_048609263.1	XP_013639281.1	XP_033131609.1										XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1			XP_018479771.1
N15.HOG0000024	OG0000000	n550																				XP_024014847.1			
N15.HOG0000025	OG0000000	n555																				XP_024016570.1			
N15.HOG0000026	OG0000000	n571									XP_013601294.1														XP_018462257.1, XP_018435900.1
N15.HOG0000027	OG0000000	n587								XP_048613195.1															XP_018456393.1
N15.HOG0000028	OG0000000	n595								XP_013673978.2	XP_013601721.1														
N15.HOG0000029	OG0000000	n605								XP_048605732.1															
N15.HOG0000030	OG0000000	n608								XP_048634956.1, XP_048617343.1, XP_013658727.2, XP_048638333.1, XP_013739503.2, XP_013669656.1, XP_048605185.1, XP_048635006.1, XP_048609119.1, XP_048632974.1, XP_048599975.1, XP_048599815.1, XP_048596434.1, XP_048633106.1, XP_048599601.1, XP_048622962.1, XP_048611457.1, XP_048615726.1, XP_048609430.1, XP_013730002.2, XP_048638475.1, XP_048637474.1, XP_013654353.2, XP_048613448.1, XP_048634924.1	XP_013594661.1, XP_013617170.1, XP_013624916.1, XP_013617590.1, XP_013633044.1	XP_009103472.2, XP_033142708.1, XP_033134007.1, XP_033139399.1, XP_033130736.1, XP_033128562.1													
N15.HOG0000031	OG0000000	n645										XP_018511638.2													
N15.HOG0000032	OG0000000	n696								XP_013650497.2, XP_013645047.1, XP_022566278.2, XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1, XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1	XP_033141125.1, XP_033140369.1, XP_033148095.1													XP_018462401.1, XP_018463541.1, XP_018459749.1
N15.HOG0000033	OG0000000	n721								XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3	XP_013594627.1														
N15.HOG0000034	OG0000000	n754								XP_022549851.1															
N15.HOG0000035	OG0000000	n804								XP_048616517.1, XP_048605168.1, XP_048610163.1, XP_048605519.1, XP_048622155.1, XP_048594846.1, XP_048627981.1, XP_048604862.1, XP_048621926.1, XP_048600318.1, XP_048622627.1, XP_048623922.1, XP_048620208.1, XP_048622769.1	XP_013632935.1, XP_013608060.1														XP_018464654.1, XP_018453711.1
N15.HOG0000036	OG0000000	n829										XP_033132417.1													
N15.HOG0000037	OG0000000	n847																							XP_018467280.1
N15.HOG0000038	OG0000000	n911								XP_048622713.1, XP_048632191.1, XP_048610848.1	XP_013632971.1, XP_013617848.1	XP_033131381.1, XP_009151556.2, XP_033130747.1, XP_033137005.1, XP_009141157.3, XP_033131545.1, XP_033132402.1, XP_033137411.1, XP_033146991.1, XP_033142695.1, XP_033132260.1, XP_033140368.1, XP_033133430.1, XP_033132383.1, XP_033133265.1, XP_033131712.1, XP_009113453.2, XP_033144201.1, XP_033128118.1, XP_033131412.1, XP_033147268.1, XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033145919.1, XP_033141158.1													XP_018458644.1, XP_018474819.1, XP_018464831.1, XP_018459885.1, XP_018487785.1
N15.HOG0000039	OG0000000	n953									XP_013617837.1														XP_018448535.1, XP_018448678.1
N15.HOG0000040	OG0000000	n976								XP_048616758.1															
N15.HOG0000041	OG0000000	n1020										XP_033147468.1										XP_024010601.1			
N15.HOG0000042	OG0000000	n1135								XP_048621624.1		XP_033146645.1													XP_018435304.1
N15.HOG0000043	OG0000000	n1137								XP_048626126.1, XP_048609471.1															XP_018467378.1
N15.HOG0000044	OG0000000	n1143																	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1						
N15.HOG0000045	OG0000000	n1147																	CP1_g39844_DN3_SP0_c.t1						
N15.HOG0000046	OG0000000	n1155								XP_048610906.1	XP_013639847.1, XP_013607596.1, XP_013622052.1, XP_013590886.1, XP_013617292.1														XP_018475517.1
N15.HOG0000047	OG0000000	n1161								XP_048604588.1		XP_033130324.1													
N15.HOG0000048	OG0000000	n1165								XP_022563908.1	XP_013594978.1														
N15.HOG0000049	OG0000000	n1226								XP_048634050.1	XP_013616947.1	XP_033140624.1, XP_033129388.1, XP_033130766.1													XP_018459921.1
N15.HOG0000050	OG0000000	n1255								XP_048618529.1	XP_013639843.1	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1													XP_018458866.1
N15.HOG0000051	OG0000000	n1268								XP_048611829.1															
N15.HOG0000052	OG0000000	n1328								XP_048599884.1, XP_013718283.1		XP_033129977.1, XP_033146608.1, XP_033129968.1													
N15.HOG0000053	OG0000000	n1333										XP_033131705.1													
N15.HOG0000054	OG0000000	n1339									XP_013601799.1														
N15.HOG0000055	OG0000000	n1348									XP_013601618.1														
N15.HOG0000056	OG0000000	n1373									XP_013587282.1														
N15.HOG0000057	OG0000002	n2																				XP_024009397.1, XP_024004920.1			
N15.HOG0000058	OG0000002	n9																				XP_024014502.1, XP_024010212.1			
N15.HOG0000059	OG0000002	n27									XP_013617415.1														
N15.HOG0000060	OG0000002	n34								XP_022558213.1	XP_013613445.1														
N15.HOG0000061	OG0000002	n36									XP_013624612.1											XP_024010711.1			
N15.HOG0000062	OG0000002	n58									XP_013632468.1	XP_033138748.1													
N15.HOG0000063	OG0000002	n70																				XP_024010270.1			
N15.HOG0000064	OG0000002	n71																	CP4_g26879_DN2_SP0_c.t1						
N15.HOG0000065	OG0000002	n82																				XP_024014438.1			
N15.HOG0000066	OG0000002	n84																				XP_024007318.1, XP_024011338.1			
N15.HOG0000067	OG0000002	n86								XP_048604803.1															
N15.HOG0000068	OG0000002	n94								XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1	XP_013617483.1, XP_013617539.1											XP_024006551.1			
N15.HOG0000069	OG0000002	n103																				XP_024009464.1, XP_024006130.1, XP_024014521.1			
N15.HOG0000070	OG0000002	n181									XP_013639626.1											XP_024007921.1			
N15.HOG0000071	OG0000002	n187																				XP_024006401.1, XP_024014700.1			
N15.HOG0000072	OG0000002	n209																	CP1_g40005_DN2_SP0_c.t1						
