Orthogroup	Raphanus_sativus	Alyssum_gmelinii
OG0000000	XP_018454350.1	Ag004G340890, Ag001G084200
OG0000000	XP_018462401.1, XP_018463541.1, XP_018459749.1	Ag002G196660
OG0000000	XP_018459921.1	Ag002G167150
OG0000003	XP_018460462.1, XP_018463058.1	Ag007G617260
OG0000003	XP_018461854.1	Ag008G680570, Ag004G365940
OG0000003	XP_018458503.1, XP_018464823.1, XP_018473769.1, XP_018460386.1, XP_018465458.1, XP_018464439.1, XP_018463188.1, XP_018462737.1, XP_018464076.1, XP_018465694.1, XP_018459974.1, XP_018462024.1, XP_018463630.1, XP_018463010.1	Ag007G647490
OG0000004	XP_018474039.1, XP_018473868.1, XP_018473865.1, XP_018435931.1	Ag005G427550
OG0000004	XP_018448539.1, XP_018443672.1, XP_018443671.1, XP_018488129.1, XP_018487799.1, XP_018462308.1, XP_018462595.1, XP_018435292.1, XP_018464994.1, XP_018463801.1	Ag006G503330
OG0000005	XP_018479454.1	Ag008G703520, Ag005G473830, Ag001G076570
OG0000005	XP_018454182.1, XP_018454026.1	Ag005G452100
OG0000005	XP_018443533.1, XP_018481184.1, XP_018467418.1	Ag003G254660
OG0000005	XP_018448691.1, XP_018435561.1, XP_018479324.1	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	XP_018458816.1	Ag006G527380
OG0000005	XP_018473658.1	Ag002G157290, Ag001G061510
OG0000005	XP_018467691.1	Ag005G488800
OG0000006	XP_018487746.1	Ag005G455250
OG0000007	XP_018453653.1	Ag003G269320
OG0000007	XP_018443420.1	Ag008G681210
OG0000007	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1	Ag006G520850, Ag003G220210
OG0000007	XP_018459162.1	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	XP_018463500.1, XP_018465308.1, XP_018459856.1, XP_018443699.1	Ag002G132800
OG0000008	XP_018462956.1	Ag005G451490
OG0000008	XP_018488004.1, XP_018453879.1	Ag002G152740, Ag007G618090, Ag001G039140
OG0000008	XP_018480006.1, XP_018453589.1	Ag001G065030, Ag001G070290
OG0000008	XP_018487725.1, XP_018438736.1, XP_018459044.1	Ag001G015890
OG0000012	XP_018480111.1	Ag007G638410
OG0000012	XP_018448573.1	Ag001G026980
OG0000012	XP_018460031.1, XP_018453821.1, XP_018458592.1, XP_018448717.1, XP_018458661.1	Ag002G161720
OG0000013	XP_018487913.1, XP_018443711.1, XP_018448766.1, XP_018464198.1, XP_018459729.1, XP_018463067.1, XP_018487762.1	Ag001G041140
OG0000014	XP_018453670.1	Ag008G691080
OG0000014	XP_018479118.1, XP_018435897.1	Ag003G252810
OG0000014	XP_018463271.1	Ag001G020750
OG0000015	XP_018448688.1, XP_018443665.1, XP_018458093.1	Ag002G110750
OG0000015	XP_018435929.1	Ag008G675720
OG0000017	XP_018463043.1	Ag005G432180, Ag001G042370
OG0000018	XP_018465850.1	Ag007G609170
OG0000019	XP_018475002.1	Ag003G276070
OG0000020	XP_018482431.1	Ag005G440730
OG0000020	XP_018460967.1, XP_018463613.1, XP_018460166.1, XP_018460165.1, XP_018435314.1, XP_018461372.1, XP_018487881.1, XP_018461054.1	Ag003G281030, Ag003G281020
OG0000020	XP_018487698.1	Ag005G441960
OG0000021	XP_018474062.1	Ag008G685590
OG0000021	XP_018473840.1	Ag002G135150
OG0000021	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1	Ag002G201670
OG0000023	XP_018468520.1, XP_018468522.1, XP_018468512.1, XP_018468509.1, XP_018468514.1	Ag006G545600, Ag006G549030
OG0000023	XP_018464962.1, XP_018471375.1, XP_018461167.1, XP_018461172.1, XP_018466880.1, XP_018451933.1, XP_018448914.1, XP_018483533.1, XP_018478194.1, XP_018483343.1, XP_018448955.1, XP_018451939.1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	XP_018454315.1, XP_018476504.1, XP_018476512.1	Ag002G145500
OG0000023	XP_018454312.1	Ag002G145450
OG0000023	XP_018448922.1, XP_018448923.1	Ag006G547270
OG0000023	XP_018468502.1	Ag006G545440
