Orthogroup	Arabis_alpina	Brassica_napus
OG0000002	Aa_G645190.h1.t1	XP_022565049.2
OG0000002	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1	XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1
OG0000002	Aa_G109850.h1.t1, Aa_G417360.h1.t1	XP_013730849.1
OG0000002	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1	XP_013689910.2
OG0000002	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1, XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1, XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1, XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1, XP_022566326.2
OG0000003	Aa_G301670.h1.t1	XP_048630494.1, XP_022553650.2, XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1, XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1, XP_048599712.1, XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1, XP_013713350.1, XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1, XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1, XP_048605472.1, XP_022575815.1, XP_048599772.1
OG0000003	Aa_G878030.h1.t1	XP_048612100.1
OG0000005	Aa_G455310.h1.t1	XP_013751330.1, XP_048612061.1, XP_048626961.1, XP_013745159.1, XP_048604761.1
OG0000006	Aa_G596260.h1.t1	XP_013747307.1
OG0000006	Aa_G727680.h1.t1	XP_048608711.1, XP_048624937.1, XP_048600452.1, XP_048624466.1
OG0000006	Aa_G85610.h1.t1	XP_048633966.1
OG0000007	Aa_G60120.h1.t1	XP_013704198.1, XP_013709207.1, XP_048632395.1, XP_013739370.1, XP_048608217.1, XP_013679168.1, XP_013694314.1, XP_048629182.1, XP_013699903.1, XP_013739523.2, XP_048621886.1, XP_013751838.3, XP_048605509.1, XP_013726320.2, XP_048599635.1, XP_013700020.1, XP_048635088.1, XP_022569889.1, XP_013657892.1
OG0000008	Aa_G302250.h1.t1	XP_048597022.1, XP_013658616.2, XP_048623802.1
OG0000010	Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1, Aa_G7690.h1.t1, Aa_G848940.h1.t1	XP_022560075.1
OG0000010	Aa_G192810.h1.t1	YP_717137.1
OG0000011	Aa_G378160.h1.t1, Aa_G870430.h1.t1	XP_048590890.1
