Alyssum_gmelinii	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Ag001G000020	429	AT5G48930.1	AT5G48930.1	orthologue	GO:0016747;GO:0016020;GO:0009963;GO:0005737;GO:0009809;GO:0047205;GO:0047172;GO:0005515;GO:0071555	Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133) (Hydroxycinnamoyl transferase) (AtHCT) (Hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase)
Ag001G000030	187	AT5G48920.1	AT5G48920.1	orthologue	GO:0009834;GO:0009505;GO:2000652;GO:0003674;GO:0005634;GO:1905177;GO:0005886;GO:0005576;GO:0071555	Protein TRACHEARY ELEMENT DIFFERENTIATION-RELATED 7
Ag001G000040	519	AT1G54370.1	AT1G54370.1	orthologue	GO:0015386;GO:0015385;GO:1902600;GO:0071805;GO:0005737;GO:0006814;GO:0005768;GO:0098719;GO:0051453;GO:0005886;GO:0010351;GO:0015081;GO:0006885;GO:0006813;GO:0010008;GO:0032580;GO:0006812;GO:0015297;GO:0016020;GO:0055085	Sodium/hydrogen exchanger 5 (Na(+)/H(+) exchanger 5) (NHE-5)
Ag001G000050	499	AT1G54360.6	AT1G54360.6	orthologue	GO:0051123;GO:0016251;GO:0005634;GO:0005669;GO:0046982;GO:0005515;GO:0046695;GO:0006367;GO:0003713;GO:0000124	TBP-ASSOCIATED FACTOR 6B;Transcription initiation factor TFIID subunit 6b (TBP-associated factor 6b) (AtTAF6b)
Ag001G000060	712	AT1G54350.1	AT1G54350.1	orthologue	GO:0055085;GO:0009507;GO:0042626;GO:0016887;GO:0140359;GO:0005524;GO:0016020	ABC transporter D family member 2, chloroplastic (ABC transporter ABCD.2) (AtABCD2) (EC 7.-.-.-)
Ag001G000070	416	AT1G54340.1	AT1G54340.1	orthologue	GO:0000287;GO:0006102;GO:0009507;GO:0006739;GO:0005777;GO:0004450;GO:0051287;GO:0005739;GO:0005634;GO:0006099;GO:0016616	Peroxisomal isocitrate dehydrogenase [NADP] (EC 1.1.1.42);isocitrate dehydrogenase (NADP(+)) (EC 1.1.1.42)
Ag001G000080	314	AT1G54330.1	AT1G54330.1	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0003677	NAC domain containing protein 20
Ag001G000090	349	AT1G54320.1	AT1G54320.1	orthologue	GO:0005794;GO:0005515;GO:0005886;GO:0005783;GO:0005634;GO:0000139;GO:0005789;GO:0016020	ALA-interacting subunit 3 (AtALIS3)
Ag001G000100	437	AT1G54310.2	AT1G54310.2	orthologue	GO:0005737;GO:0008150;GO:0003723;GO:0006364;GO:0008168;GO:0032259;GO:0009383;GO:0070475	At1g54310/F20D21_13 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Ag001G000110	145	AT1G56200.1	AT1G56200.1	orthologue	GO:0005634;GO:0009507;GO:0009793;GO:0003674;GO:0009658;GO:0010027;GO:0090056;GO:0016020	At1g56200/F14G9_26 (Embryo defective 1303);Embryo defective 1303
Ag001G000120	479	AT1G56190.1	AT1G56190.1	orthologue	GO:0004672;GO:0006094;GO:0005829;GO:0009570;GO:0019375;GO:0006096;GO:0004618;GO:0019253;GO:0050691;GO:0009536;GO:0009579;GO:0009507;GO:0005524;GO:0005634;GO:0010027;GO:0043531;GO:0005739;GO:0016020;GO:0046872	Phosphoglycerate kinase (EC 2.7.2.3);Phosphoglycerate kinase 2, chloroplastic (EC 2.7.2.3)
Ag001G000130	381	AT1G56180.1	AT1G56180.1	orthologue	GO:0004176;GO:0009507;GO:0042651;GO:0006508;GO:0004222;GO:0005524;GO:0048366	ATP-dependent zinc metalloprotease;ATP-dependent zinc metalloprotease (At1g56180/F14G9_20)
Ag001G000140	198	AT1G56170.1	AT1G56170.1	orthologue	GO:0006357;GO:0006355;GO:0005515;GO:0016602;GO:0003700;GO:0000981;GO:0005634;GO:0045893;GO:0000976;GO:0005737;GO:0000978;GO:0046982;GO:0003677	Nuclear transcription factor Y subunit C-2 (AtNF-YC-2) (Transcriptional activator HAP5B)
Ag001G000160	95	AT3G55050.1	AT3G55050.1	other	GO:0017018;GO:0004722;GO:0005575;GO:1902531;GO:0046872	Probable protein phosphatase 2C 48 (AtPP2C48) (EC 3.1.3.16) (Protein phosphatase 2C 6)
Ag001G000170	254	AT1G56160.1	AT1G56160.1	orthologue	GO:0009866;GO:0010468;GO:1990532;GO:1990641;GO:0010447;GO:0098849;GO:0005515;GO:0010043;GO:0051365;GO:1990359;GO:0002237;GO:0019748;GO:0005634;GO:0003700;GO:0003677	Transcription factor MYB72 (Myb-related protein 72) (AtMYB72)
Ag001G000190	121	AT1G56150.1	AT1G56150.1	orthologue	GO:0003674;GO:0005737;GO:0009734;GO:0009733	Auxin-responsive protein SAUR71 (Protein SMALL AUXIN UP RNA 71)
Ag001G000200	351	AT3G19520.3, AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1	AT1G23950.2	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;UPF0725 protein At3g19520;Uncharacterized protein
Ag001G000210	1036	AT1G56145.2	AT1G56145.2	orthologue	GO:0044024;GO:0004674;GO:0016301;GO:0005886;GO:0004672;GO:0045088;GO:0005524;GO:0006468;GO:0009506;GO:0005634;GO:0005576;GO:0005515	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag001G000230	995	AT1G56140.1, AT1G56130.2	AT1G56140.1	orthologue	GO:0004674;GO:0005886;GO:0052542;GO:0045088;GO:0004672;GO:0044024;GO:0006468;GO:0005524;GO:0009507;GO:0106310;GO:0016020;GO:0005515	Probable LRR receptor-like serine/threonine-protein kinase At1g56130 (EC 2.7.11.1);Probable LRR receptor-like serine/threonine-protein kinase At1g56140 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag001G000240	1025	AT1G56140.1, AT1G56130.2	AT1G56130.2	orthologue	GO:0004674;GO:0005886;GO:0052542;GO:0045088;GO:0004672;GO:0044024;GO:0006468;GO:0005524;GO:0009507;GO:0106310;GO:0016020;GO:0005515	Probable LRR receptor-like serine/threonine-protein kinase At1g56130 (EC 2.7.11.1);Probable LRR receptor-like serine/threonine-protein kinase At1g56140 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag001G000250	1023	AT1G56120.1	AT1G56120.1	other	GO:0045088;GO:0016310;GO:0004672;GO:0005515;GO:0044024;GO:0004674;GO:0005886;GO:0006468;GO:0016301;GO:0005524;GO:0016020	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag001G000260	534	AT1G56110.1	AT1G56110.1	orthologue	GO:0009505;GO:0030515;GO:0005730;GO:0032040;GO:0009506;GO:0005634;GO:0031428;GO:0042254	Nucleolar protein 56
Ag001G000270	170	AT4G00872.1	AT4G00872.1	orthologue	GO:0043086;GO:0005737;GO:0009827;GO:0009505;GO:0004857;GO:0046910	Plant invertase/pectin methylesterase inhibitor superfamily protein
Ag001G000290	168	AT4G00872.1	AT4G00872.1	orthologue	GO:0043086;GO:0005737;GO:0009827;GO:0009505;GO:0004857;GO:0046910	Plant invertase/pectin methylesterase inhibitor superfamily protein
Ag001G000300	275	AT1G56090.2	AT1G56090.2	orthologue	GO:0005737;GO:0003674;GO:0016020;GO:0005515	At1g56090 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
Ag001G000310	527	AT1G53720.1, AT1G56085.1	AT1G53720.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005515;GO:0005634;GO:0003755;GO:0008270;GO:0003723;GO:0003676;GO:0000413	Cyclophilin;Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8);Peptidyl-prolyl cis-trans isomerase CYP59 (AtCYP59) (PPIase CYP59) (EC 5.2.1.8) (Cyclophilin-59)
Ag001G000320	309	AT1G56080.1	AT1G56080.1	orthologue	GO:0010168;GO:0005515;GO:0005634;GO:0080119	At1g56080 (Interactor of constitutive active ROPs protein)
Ag001G000330	843	AT1G56070.1	AT1G56070.1	orthologue	GO:0003924;GO:0003746;GO:0005737;GO:0005507;GO:0009409;GO:0005886;GO:0043022;GO:0009631;GO:0000325;GO:0006414;GO:0009507;GO:0003729;GO:0005829;GO:0009506;GO:0005730;GO:1990904;GO:0005634;GO:0005525	Elongation factor 2 (EF-2) (EC 3.6.5.-) (Protein LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1)
Ag001G000350	70	AT1G56060.2	AT1G56060.2	orthologue	GO:0005515;GO:1901000;GO:0005739;GO:0005737;GO:0005886;GO:0009651;GO:0055078;GO:1901001;GO:1903426	Cysteine-rich/transmembrane domain protein B;Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 3 (AthCYSTM3)
Ag001G000360	420	AT1G56050.1	AT1G56050.1	orthologue	GO:0009570;GO:0005634;GO:0008150;GO:0009507;GO:0005737;GO:0016887;GO:0005524;GO:0005525;GO:0043023	Obg-like ATPase 1
Ag001G000370	539	AT3G45690.1, AT3G45680.1	AT3G45680.1	orthologue	GO:0055085;GO:0006857;GO:0015706;GO:0005886;GO:0071472;GO:0022857;GO:0015112;GO:0009624;GO:0042128;GO:0016020	Protein NRT1/ PTR FAMILY 2.3 (AtNPF2.3) (Probable nitrate excretion transporter 3) (Protein NAXT1-like 2);Putative protein NRT1/ PTR FAMILY 2.2 (AtNPF2.2) (Protein NAXT1-like 3) (Putative nitrate excretion transporter 4)
